"科目","金額[百万円]"
"年度","2016"
"期間（自）","20160401"
"期間（至）","20170331"
"業務活動収支 業務支出","100404"
"業務活動収支 業務支出 業務費用支出","60821"
"業務活動収支 業務支出 業務費用支出 人件費支出","17747"
"業務活動収支 業務支出 業務費用支出 物件費等支出","41073"
"業務活動収支 業務支出 業務費用支出 支払利息支出","53"
"業務活動収支 業務支出 業務費用支出 その他の支出","1947"
"業務活動収支 業務支出 移転費用支出","39582"
"業務活動収支 業務支出 移転費用支出 補助金等支出","12539"
"業務活動収支 業務支出 移転費用支出 社会保障給付支出","19560"
"業務活動収支 業務支出 移転費用支出 他会計への繰出支出","7095"
"業務活動収支 業務支出 移転費用支出 その他の支出","388"
"業務活動収支 業務収入","122740"
"業務活動収支 業務収入 税収等収入","97523"
"業務活動収支 業務収入 国都等補助金収入","14831"
"業務活動収支 業務収入 使用料及び手数料収入","7725"
"業務活動収支 業務収入 その他の収入","2661"
"業務活動収支 臨時支出","0"
"業務活動収支 臨時支出 災害復旧事業費支出","0"
"業務活動収支 臨時支出 その他の支出","0"
"業務活動収支 臨時収入","0"
"業務活動収支","22337"
"投資活動収支 投資活動支出","31785"
"投資活動収支 投資活動支出 公共施設等整備費支出","6769"
"投資活動収支 投資活動支出 基金積立金支出","24519"
"投資活動収支 投資活動支出 投資及び出資金支出","0"
"投資活動収支 投資活動支出 貸付金支出","497"
"投資活動収支 投資活動支出 その他の支出","0"
"投資活動収支 投資活動収入","7987"
"投資活動収支 投資活動収入 国都等補助金収入","4408"
"投資活動収支 投資活動収入 基金取崩収入","2202"
"投資活動収支 投資活動収入 貸付金元金回収収入","500"
"投資活動収支 投資活動収入 資産売却収入","877"
"投資活動収支 投資活動収入 その他の収入","0"
"投資活動収支","-23798"
"財務活動収支 財務活動支出","938"
"財務活動収支 財務活動支出 地方債償還支出","938"
"財務活動収支 財務活動支出 その他の支出","0"
"財務活動収支 財務活動収入","0"
"財務活動収支 財務活動収入 地方債発行収入","0"
"財務活動収支 財務活動収入 その他の収入","0"
"財務活動収支","-938"
"本年度資金収支額","-2400"
"前年度末資金残高","9328"
"本年度末資金残高","6929"
"前年度末歳計外現金残高","10163"
"本年度歳計外現金増減額","1773"
"本年度末歳計外現金残高","11937"
"本年度末現金預金残高","18866"

"一般会計財務書類（資金収支計算書）(平成28年4月1日から平成29年3月31日)","Ver201703"
