区分,年,事業所数[か所]総数,事業所数[か所]1～4人,事業所数[か所]5～9人,事業所数[か所]10～19人,事業所数[か所]20～29人,事業所数[か所]30～49人,事業所数[か所]50～99人,事業所数[か所]100～299人,事業所数[か所]300～499人,事業所数[か所]500人以上,事業所数[か所]派遣従業者のみ,従業者数[人]総数,従業者数[人]1～4人,従業者数[人]5～9人,従業者数[人]10～19人,従業者数[人]20～29人,従業者数[人]30～49人,従業者数[人]50～99人,従業者数[人]100～299人,従業者数[人]300～499人,従業者数[人]500人以上
製造業,平成13年,5670,3654,1132,564,144,81,59,27,9,,,44032,8592,7315,7450,3377,3044,4078,4136,6040,
製造業,平成16年,4926,3257,935,461,128,76,43,17,8,,,35752,7523,6066,6070,3006,2850,3011,2590,4636,
製造業,平成18年,4656,3036,924,434,121,70,45,19,4,2,,33762,6996,6006,5744,2818,2523,3040,2738,1699,2198
製造業,平成21年,4306,2785,839,419,130,66,41,23,,,3,32348,6490,5415,5482,3057,2507,2862,6535,,
製造業,平成24年,3645,2398,736,315,92,50,27,20,,,7,27281,5412,4775,4168,2118,1953,1786,7069,,
卸・小売業,平成13年,7540,4989,1374,713,214,151,67,24,7,,,52060,11632,8804,9507,5001,5614,4469,3634,3399,
卸・小売業,平成16年,4986,3108,947,558,174,102,64,25,7,,,39471,7218,6149,7524,4159,3827,4177,3529,2888,
卸・小売業,平成18年,5068,3074,1003,578,185,121,65,34,3,2,,42002,7105,6474,7766,4391,4566,4422,4958,1203,1117
卸・小売業,平成21年,4944,2949,1015,553,213,98,75,33,,,8,41328,6907,6598,7418,5020,3629,4994,6762,,
卸・小売業,平成24年,4413,2516,885,552,210,122,78,33,,,17,43172,5859,5732,7432,4965,4578,5487,9119,,
サービス業,平成13年,3439,2140,607,302,135,103,58,44,13,,,39211,4705,3834,4023,3226,3748,4046,7183,8446,
サービス業,平成16年,2193,1485,369,173,53,57,21,25,6,,,19188,3252,2300,2321,1238,2111,1599,3713,2654,
サービス業,平成18年,2272,1497,392,181,65,53,39,20,9,1,,21943,3242,2454,2487,1506,1945,2691,3339,3477,802
サービス業,平成21年,814,454,145,90,38,28,28,25,,,6,13345,1022,931,1167,914,1048,1829,6434,,
サービス業,平成24年,761,402,153,90,41,24,20,23,,,8,12719,897,979,1186,1004,920,1376,6357,,
