施設名,所在地,開設年月日,敷地面積(㎡),延床面積(㎡)
すみだ産業会館,江東橋3-9-10,昭58.9.1,6732.02の10分の1,4069.59
すみだ中小企業センター,文花1-19-1,昭61.4.1,3234.08,9997.01
