,開設年月日,,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
就職支援コーナーすみだ,平16.4.12,新規求職者数,389,528,479,468,420
就職支援コーナーすみだ,平16.4.12,紹介者数,696,1830,1649,1320,1176
就職支援コーナーすみだ,平16.4.12,就職者数,91,229,226,188,238
就職支援コーナーすみだ,平16.4.12,閲覧者数,1589,2473,2291,2499,2571
就職支援コーナーすみだ,平16.4.12,検索機利用者数,2702,3408,2735,2312,2247
就職支援コーナーすみだ,平16.4.12,来所者数,5822,9151,8462,8790,9562
若者サポートコーナー,平18.5.8,個別相談利用者数,276,203,537,445,498
