業種別,事業所数[か所]平成21年,事業所数[か所]平成22年,事業所数[か所]平成24年,事業所数[か所]平成25年,事業所数[か所]平成26年,従業者数[人]平成21年,従業者数[人]平成22年,従業者数[人]平成24年,従業者数[人]平成25年,従業者数[人]平成26年,製造品出荷額等[百万円]平成21年,製造品出荷額等[百万円]平成22年,製造品出荷額等[百万円]平成24年,製造品出荷額等[百万円]平成25年,製造品出荷額等[百万円]平成26年
食料品,48,45,37,37,34,624,657,535,560,441,11308,9945,10400,10126,8417
飲料・たばこ・飼料製造業,4,4,5,5,5,275,285,322,316,324,632,3911,14292,16318,8071
繊維工業,92,85,90,75,70,752,697,728,646,591,16139,12781,15578,11632,10580
木材・木製品製造業,8,9,8,7,7,51,56,56,52,57,473,503,795,607,663
家具・装備品製造業,19,17,21,14,15,143,124,135,84,96,1928,1607,1524,1250,1561
パルプ・紙・紙加工品製造業,80,71,63,54,55,723,653,604,485,479,8399,7596,7690,5713,6091
印刷・同関連業,201,177,159,156,152,2783,2386,2256,2388,2435,40280,32963,32925,31891,32575
化学工業,18,17,20,20,17,2404,2410,2409,2390,2439,88293,88757,93529,115099,118891
石油製品・石炭製品製造業,2,2,1,1,1,34,33,16,17,16,X,X,X,X,X
プラスチック製品製造業,68,57,54,46,41,752,653,653,562,506,7601,7966,8462,6775,6736
ゴム製品製造業,66,61,61,52,56,659,627,636,540,571,7067,7425,7735,6385,7740
なめし革・同製品､毛皮製造業,95,84,78,66,59,1081,1005,902,855,808,21853,19548,16585,16299,15658
窯業・土石製品製造業,15,13,13,10,10,453,319,448,365,357,4939,2804,5455,4701,4864
鉄鋼業,10,7,9,12,8,235,214,239,257,223,7090,8895,9644,10114,9603
非鉄金属製造業,7,6,11,9,9,91,92,66,58,54,3915,4023,1429,1397,1346
金属製品製造業,215,187,173,147,145,2019,1676,1440,1297,1341,28262,24806,19890,16615,18082
はん用機械器具製造業,21,18,15,14,16,230,210,189,171,182,4788,3536,3493,3885,3470
生産用機械器具製造業,72,62,38,39,36,807,796,583,577,557,9499,9832,7735,6714,6585
業務用機械器具製造業,14,15,10,10,9,425,447,68,59,61,11421,12365,673,747,820
電子部品・デバイス・電子回路製造業,8,5,2,3,4,91,72,18,32,37,965,872,X,X,X
電気機械器具製造業,15,14,11,9,10,118,147,101,108,114,1321,1905,1317,1551,1830
情報通信機械器具製造業,2,3,3,1,1,15,29,20,8,10,X,X,220,X,X
輸送用機械器具製造業,10,11,11,11,11,88,112,103,104,107,1333,1424,1766,1434,1418
その他,65,62,64,62,57,589,606,577,518,478,7872,8550,8269,7517,6850
電子部品・デバイス,,,,,,,,,,,,,,,
輸送用機械器具,10,11,11,11,,88,112,103,104,,1333,1424,1766,1434,
精密機械器具,,,,,,,,,,,,,,,
その他,65,62,64,62,,589,606,577,518,,7872,8550,8269,7517,
