区分,年度,申込み件数[件],申込み金額[千円],融資(貸付)件数[件],融資(貸付)金額[千円],備考
運転資金,23,539,4471900,467,3483200,
運転資金,24,645,5358700,532,3884100,
運転資金,25,560,4918400,485,3824100,
運転資金,26,456,3907000,426,3397100,
運転資金,27,504,4359600,472,4017100,
設備資金,23,86,574600,59,333700,
設備資金,24,82,427400,62,298700,
設備資金,25,75,455800,60,332700,
設備資金,26,50,392100,38,215900,
設備資金,27,57,370400,50,264900,
産業支援資金（設備近代化）,23,28,291600,25,196900,
産業支援資金（設備近代化）,24,21,192900,22,231100,
産業支援資金（設備近代化）,25,28,302400,26,258700,
産業支援資金（設備近代化）,26,21,181200,17,138100,
産業支援資金（設備近代化）,27,43,366600,39,344600,
産業支援資金（店舗改善）,23,9,70300,3,19400,
産業支援資金（店舗改善）,24,12,105800,10,77800,
産業支援資金（店舗改善）,25,7,24200,4,12400,
産業支援資金（店舗改善）,26,4,55400,3,30800,
産業支援資金（店舗改善）,27,11,123700,9,107400,
公害防止資金,23,1,660,1,660,
公害防止資金,24,3,35200,1,10000,
公害防止資金,25,1,4910,0,0,
公害防止資金,26,0,0,1,4910,
公害防止資金,27,1,1700,0,0,
アスベスト対策資金,23,0,0,0,0,平成17年9月12日より開始。
アスベスト対策資金,24,0,0,0,0,
アスベスト対策資金,25,1,5000,0,0,
アスベスト対策資金,26,0,0,0,0,
アスベスト対策資金,27,1,8310,1,8310,
事業共同化資金,23,1,15000,0,0,平成20年4月1日より開始。
事業共同化資金,24,1,6000,0,0,
事業共同化資金,25,0,0,0,0,
事業共同化資金,26,0,0,0,0,
事業共同化資金,27,0,0,0,0,
経営安定資金,23,724,4684400,724,4250600,
経営安定資金,24,614,4075200,538,3295500,
経営安定資金,25,475,3327200,444,2890800,
経営安定資金,26,117,813100,116,770700,
経営安定資金,27,155,1187900,143,1058000,
チャレンジ（旧創業）支援資金,23,107,772400,70,393100,平成25年度からチャレンジ支援資金に改称。
チャレンジ（旧創業）支援資金,24,114,737600,72,416400,
チャレンジ（旧創業）支援資金,25,165,960800,79,324700,
チャレンジ（旧創業）支援資金,26,197,1360600,103,570400,
チャレンジ（旧創業）支援資金,27,175,1102000,121,607800,
小規模企業資金,23,442,1477000,366,1019300,平成19年10月1日より開始。
小規模企業資金,24,399,1372100,325,906600,
小規模企業資金,25,439,1544400,329,926900,
小規模企業資金,26,480,1807900,381,1177700,
小規模企業資金,27,486,1835200,421,1396700,
年末短期運転資金,23,222,602200,182,468700,
年末短期運転資金,24,310,833300,257,644000,
年末短期運転資金,25,259,693500,223,558600,
年末短期運転資金,26,202,537700,188,491700,
年末短期運転資金,27,238,612700,230,585000,
震災復旧資金,23,101,628100,68,400075,平成23年4月1日から平成23年7月29日まであっせん受付を行っていた。
震災復旧資金,24,,,,,
震災復旧資金,25,,,,,
震災復旧資金,26,,,,,
震災復旧資金,27,,,,,
小規模企業特別融資,23,0,0,0,0,平成28年3月31日付で廃止
小規模企業特別融資,24,2,5000,2,4400,
小規模企業特別融資,25,2,4900,0,0,
小規模企業特別融資,26,2,10000,0,0,
小規模企業特別融資,27,0,0,0,0,
