,,事業所数[か所]平成16年,事業所数[か所]平成18年,事業所数[か所]平成21年,事業所数[か所]平成24年,事業所数[か所]平成26年,従業者数[人]平成16年,従業者数[人]平成18年,従業者数[人]平成21年,従業者数[人]平成24年,従業者数[人]平成26年
東京都計,,664562,690556,694212,701848,662360,7752604,8704870,9520835,8655267,9657306
区部計,,538602,557107,553684,563665,526748,6456600,7213675,7902039,7211906,8066791
合計,,17630,17940,18084,16181,16884,149700,163661,178134,168493,179072
墨田区,農業,2,3,,,,12,16,,,
墨田区,農業，林業,,,2,1,1,,,6,3,7
墨田区,鉱業，採石業，砂利採取業,1,1,,1,,5,17,,2,
墨田区,建設業,982,1073,1132,1004,1025,8415,8934,9473,9746,9365
墨田区,製造業,4925,4656,4306,3645,3466,35749,33762,32348,27281,25701
墨田区,電気･ガス・熱供給・水道業,1,5,7,3,6,5,105,86,20,84
墨田区,情報通信業　,95,129,225,200,218,4866,4814,5841,5776,7385
墨田区,運輸業　,425,392,,,,8250,7925,,,
墨田区,運輸業，郵便業,,,388,310,308,,,10390,8674,7939
墨田区,卸売業，小売業　,4986,5068,4944,4413,4517,39468,42002,41328,43172,42904
墨田区,金融業，保険業,173,162,191,173,212,8224,8087,7794,11034,11866
墨田区,不動産業,955,969,,,,3536,4391,,,
墨田区,不動産業，物品賃貸業,,,1293,1197,1300,,,6954,7137,6402
墨田区,学術研究，専門・技術サービス業,,,573,521,582,,,6450,4258,4825
墨田区,飲食店・宿泊業　,2135,2140,,,,12550,13233,,,
墨田区,宿泊業，飲食サービス業,,,2087,1939,2110,,,15893,15102,18452
墨田区,生活関連サービス業，娯楽業,,,1045,977,979,,,8608,10681,7379
墨田区,教育、学習支援業　,173,255,261,220,325,2391,3960,4221,2412,4595
墨田区,医療、福祉　,555,732,732,778,981,6962,10529,11365,10127,15491
墨田区,複合サービス事業　,29,55,43,38,41,80,848,355,349,831
墨田区,サ－ビス業（他に分類されないもの）,2193,2272,825,761,782,19187,21943,13625,12719,12615
墨田区,公務,,28,30,,31,,3095,3397,,3231
