区分,,商店数[箇所] 平成9年,商店数[箇所] 平成11年,商店数[箇所] 平成14年,商店数[箇所] 平成16年,商店数[箇所] 平成19年,従業者数[人]平成9年,従業者数[人]平成11年,従業者数[人]平成14年,従業者数[人]平成16年,従業者数[人]平成19年,販売額[百万円]平成9年,販売額[百万円]平成11年,販売額[百万円]平成14年,販売額[百万円]平成16年,販売額[百万円]平成19年
総数,,5235,5677,5168,4943,4583,33229,41701,39150,37319,37604,1796976,2385858,1918048,2075900,2273374
卸売業,,2190,2522,2350,2231,2084,19749,25853,23631,22720,23088,1521934,2057795,1616020,1769798,1988362
小売業,,3045,3155,2818,2712,2499,13480,15848,15519,14599,14516,275042,328064,302028,306102,285012
内訳,織物・衣服・身の回り品,457,457,365,343,363,1236,2129,1320,1202,1869,15228,78370,13165,18255,44818
内訳,飲食料品,1269,1236,1190,1124,947,6166,6623,6935,6431,6696,97211,91523,90119,84737,94508
内訳,各種商品小売,6,5,7,8,2,840,742,1835,1625,356,50526,27939,81348,84479,X
内訳,各種商品小売（百貨店　内数）,3,3,6,6,1,814,X,1829,1617,343,49652,X,X,X,X
内訳,自動車・自転車,154,176,151,158,133,1053,1063,880,896,741,36050,26160,20032,23388,20663
内訳,家具・じゅう器・家庭用機械器具,267,281,247,237,211,840,1221,1000,965,987,18510,32546,36988,39609,42515
内訳,その他,892,1000,858,842,843,3345,4070,3549,3480,3867,57517,71527,60377,55633,X
