,,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
常駐相談,金融(融資）,269,269,298,271,311
常駐相談,経営,41,28,17,15,21
常駐相談,労働,2,1,0,0,0
常駐相談,税務,0,0,0,,0
常駐相談,経理,0,0,0,1,0
常駐相談,創業,1,4,5,3,3
常駐相談,その他,6,10,11,9,6
完全予約制相談,知的財産権,67,108,90,66,72
完全予約制相談,労務,0,1,0,1,4
完全予約制相談,デザイン,2,3,2,2,1
完全予約制相談,その他,0,0,0,0,2
完全予約制相談,計,388,424,423,368,420
