,平成24年,平成25年,平成26年,平成27年,平成28年
普通銀行,15,15,15,15,15
信託銀行,0,0,0,0,0
信用金庫,20,19,19,19,19
信用組合,12,12,12,12,12
商工組合中央金庫,1,1,1,1,1
総数,48,47,47,47,47
