区分,平成2年,平成7年,平成12年,平成17年,平成22年
農・林業,64,45,52,58,64
漁・水産業,9,2,4,1,1
鉱業,10,7,25,9,15
建設業,8723,9093,8336,7526,6275
製造業,41363,35259,28145,22398,17456
卸・小売業、飲食店,39662,37597,35883,35731,30511
金融保険業,3978,3609,3275,3413,3722
不動産業,2276,2501,2567,3056,3806
運輸通信業,6713,6900,7264,12648,13659
電気・ガス・水道業,263,488,413,380,390
サービス業,24780,27086,31230,32602,28632
公務,1859,1889,1950,2186,2285
分類不能のもの,1193,1589,2818,3998,16307
計,130893,126065,121962,124006,123123
