,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
食品関係,88,57,123,77,87
金融・保険サービス,212,143,133,149,99
家庭用品,80,94,102,93,95
衣料品,110,128,151,135,94
土地・建物・設備,276,249,255,251,44
運輸・通信サービス,441,414,428,521,607
その他,724,700,723,719,949
合計,1931,1785,1915,1945,1975
