区分,商店数[箇所] 平成9年,商店数[箇所] 平成11年,商店数[箇所] 平成14年,商店数[箇所] 平成16年,商店数[箇所] 平成19年,従業者数[人]平成9年,従業者数[人]平成11年,従業者数[人]平成14年,従業者数[人]平成16年,従業者数[人]平成19年,販売額[百万円]平成9年,販売額[百万円]平成11年,販売額[百万円]平成14年,販売額[百万円]平成16年,販売額[百万円]平成19年
総数,5235,5677,5168,4943,4583,33229,41701,39150,37319,40940,1796976,2385858,1918048,2075900,2273374
1～2人,2221,2279,2061,2015,1714,3830,3653,3470,3346,2815,66339,60707,68999,64639,47284
3～4人,1370,1380,1204,1149,1057,4638,4661,4079,3889,3590,118470,127426,91356,97896,137322
5～9人,908,1072,1012,902,898,5783,6866,6611,5868,5802,263567,281462,260058,244023,242307
10～19人,439,537,510,528,526,5901,7146,6900,7106,7026,311232,356937,329608,358739,350848
20～29人,142,199,171,167,174,3309,4647,4047,3996,4166,202244,260633,222133,206750,203362
30～49人,95,119,123,93,115,3627,4443,4531,3481,4259,276452,313818,236202,288754,413267
50～99人,42,66,60,59,60,2748,4477,4037,3856,4079,215949,388571,309043,379314,338220
100人以上,18,25,27,30,39,3393,5808,5475,5777,9203,342724,596304,400648,435785,540765
