,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
技術相談[件],1670,1580,1858,1777,1756
CAD相談[件],151,120,138,171,165
　（うち巡回相談）,748,734,964,898,788
パソコン相談[件],890,896,20,9,13
