区分,平成2年,平成7年,平成12年,平成17年,平成22年
雇用者,86012,82957,86138,91654,84727
役員,14984,13480,13383,12047,10383
雇人のある業主,5952,6680,4787,4359,2672
雇人のない業主,12776,11872,10109,9692,8124
家族従業者,11158,11043,7029,5837,3719
家庭内職者,不詳,不詳,495,397,253
不詳,11,33,21,20,13245
計,130893,126065,121962,124006,123123
