施設名,施設内容,利用者数[人]平成23年度,利用者数[人]平成24年度,利用者数[人]平成25年度,利用者数[人]平成26年度,利用者数[人]平成27年度
東墨田会館,講習室,1882,2415,1949,4144,6219
東墨田会館,談話室,1735,1208,1742,621,683
東墨田会館,娯楽室,2961,2608,3319,4407,4891
