"館名","一般図書[冊]","ヤング[冊]","児童図書[冊]","紙芝居[組]","デイジー[組]","一般雑誌[冊]","児童雑誌[冊]","CD[組]","LD[組]","DVD[組]","カセット[組]","スライド[組]","16mm[巻]","ビデオ[組]","その他視聴覚","合計"
"みなと","163388","10562","35791","1437","0","13574","1051","19763","1130","7533","0","84","642","2050","5","257010"
"三田","206960","12453","33123","773","732","17314","2665","8182","0","2186","4030","0","0","0","63","288481"
"麻布","108266","8433","21987","599","0","3628","347","3649","0","1471","0","0","0","0","0","148380"
"赤坂","129739","8753","30491","862","0","5209","380","5832","0","1602","0","0","0","0","0","182868"
"高輪","114632","5130","38462","999","0","4580","462","8700","0","2257","0","0","0","0","0","175222"
"高輪(分室)","785","25056","33751","609","0","825","1001","1960","0","1168","0","0","0","0","0","65155"
"港南","127201","5656","28651","614","0","4153","389","8024","665","2027","0","0","0","0","0","177380"
"合計","850971","76043","222256","5893","732","49283","6295","56110","1795","18244","4030","84","642","2050","68","1294496"

"令和4年度港区行政資料集　図書館別資料所蔵状況","Ver202204",,,,,,,,,,,,,,,
