"運行ルート","行き先","停留所番号","停留所名","時刻1","時刻2","時刻3","時刻4","時刻5","時刻6","時刻7","時刻8","時刻9","時刻10","時刻11","時刻12","時刻13","時刻14","時刻15","時刻16","時刻17","時刻18","時刻19","時刻20","時刻21","時刻22","時刻23","時刻24","時刻25","時刻26","時刻27","時刻28","時刻29","時刻30","時刻31"
"芝ルート","みなとパーク芝浦","58","新橋駅","7:55","8:27","8:59","9:20","9:47","10:07","10:39","11:01","11:27","11:47","12:19","12:47","13:07","13:27","13:59","14:20","14:47","15:07","15:39","16:01","16:22","16:47","17:19","17:39","18:04","18:24","18:47","19:19","19:39","19:56","20:25"
"芝ルート","みなとパーク芝浦","59","新橋駅北口","7:58","8:30","9:02","9:23","9:50","10:10","10:42","11:04","11:30","11:50","12:22","12:50","13:10","13:30","14:02","14:23","14:50","15:10","15:42","16:04","16:25","16:50","17:22","17:42","18:07","18:27","18:50","19:22","19:42","19:59","20:28"
"芝ルート","みなとパーク芝浦","60","西新橋二丁目","8:01","8:33","9:05","9:26","9:53","10:13","10:45","11:07","11:33","11:53","12:25","12:53","13:13","13:33","14:05","14:26","14:53","15:13","15:45","16:07","16:28","16:53","17:25","17:45","18:10","18:30","18:53","19:25","19:45","20:02","20:31"
"芝ルート","みなとパーク芝浦","61","虎ノ門一丁目","8:03","8:35","9:07","9:28","9:55","10:15","10:47","11:09","11:35","11:55","12:27","12:55","13:15","13:35","14:07","14:28","14:55","15:15","15:47","16:09","16:30","16:55","17:27","17:47","18:12","18:32","18:55","19:27","19:47","20:04","20:33"
"芝ルート","みなとパーク芝浦","62","虎ノ門二丁目","8:06","8:40","9:12","9:33","10:00","10:20","10:52","11:14","11:40","12:00","12:32","13:00","13:20","13:40","14:12","14:33","15:00","15:20","15:52","16:14","16:35","17:00","17:32","17:52","18:17","18:37","19:00","19:32","19:52","20:07","20:36"
"芝ルート","みなとパーク芝浦","63","愛宕一丁目","8:08","8:44","9:16","9:37","10:04","10:24","10:56","11:18","11:44","12:04","12:36","13:04","13:24","13:44","14:16","14:37","15:04","15:24","15:56","16:18","16:39","17:04","17:36","17:56","18:21","18:41","19:04","19:36","19:56","20:09","20:38"
"芝ルート","みなとパーク芝浦","65","慈恵医大病院入口","8:12","8:48","9:20","9:41","10:08","10:28","11:00","11:22","11:48","12:08","12:40","13:08","13:28","13:48","14:20","14:41","15:08","15:28","16:00","16:22","16:43","17:08","17:40","18:00","18:25","18:45","19:08","19:40","20:00","20:13","20:42"
"芝ルート","みなとパーク芝浦","66","愛宕警察署","8:14","8:50","9:22","9:43","10:10","10:30","11:02","11:24","11:50","12:10","12:42","13:10","13:30","13:50","14:22","14:43","15:10","15:30","16:02","16:24","16:45","17:10","17:42","18:02","18:27","18:47","19:10","19:42","20:02","20:15","20:44"
"芝ルート","みなとパーク芝浦","67","御成門駅","8:15","8:51","9:23","9:44","10:11","10:31","11:03","11:25","11:51","12:11","12:43","13:11","13:31","13:51","14:23","14:44","15:11","15:31","16:03","16:25","16:46","17:11","17:43","18:03","18:28","18:48","19:11","19:43","20:03","20:16","20:45"
"芝ルート","みなとパーク芝浦","68","港区役所","8:17","8:53","9:25","9:46","10:13","10:33","11:05","11:27","11:53","12:13","12:45","13:13","13:33","13:53","14:25","14:46","15:13","15:33","16:05","16:27","16:48","17:13","17:45","18:05","18:30","18:50","19:13","19:45","20:05","20:18","20:47"
"芝ルート","みなとパーク芝浦","69","芝公園駅","8:18","8:54","9:26","9:47","10:14","10:34","11:06","11:28","11:54","12:14","12:46","13:14","13:34","13:54","14:26","14:47","15:14","15:34","16:06","16:28","16:49","17:14","17:46","18:06","18:31","18:51","19:14","19:46","20:06","20:19","20:48"
"芝ルート","みなとパーク芝浦","69-2","芝園橋","8:20","8:57","9:29","9:50","10:17","10:37","11:09","11:31","11:57","12:17","12:49","13:17","13:37","13:57","14:29","14:50","15:17","15:37","16:09","16:31","16:52","17:17","17:49","18:09","18:34","18:54","19:17","19:49","20:09","20:21","20:50"
"芝ルート","みなとパーク芝浦","70","金杉橋","8:22","8:59","9:31","9:52","10:19","10:39","11:11","11:33","11:59","12:19","12:51","13:19","13:39","13:59","14:31","14:52","15:19","15:39","16:11","16:33","16:54","17:19","17:51","18:11","18:36","18:56","19:19","19:51","20:11","20:23","20:52"
"芝ルート","みなとパーク芝浦","71","芝一丁目","8:25","9:06","9:35","9:56","10:23","10:45","11:15","11:37","12:05","12:23","12:55","13:23","13:45","14:05","14:36","14:56","15:23","15:43","16:15","16:37","16:58","17:23","17:53","18:15","18:40","19:00","19:23","19:55","20:15","20:26","20:55"
"芝ルート","みなとパーク芝浦","72","芝四丁目","8:27","9:09","9:38","9:59","10:26","10:48","11:18","11:40","12:08","12:26","12:58","13:26","13:48","14:08","14:39","14:59","15:26","15:46","16:18","16:40","17:01","17:26","17:56","18:18","18:43","19:03","19:26","19:58","20:18","20:28","20:57"
"芝ルート","みなとパーク芝浦","28","三田線三田駅前","8:28","9:10","9:39","10:00","10:27","10:49","11:19","11:41","12:09","12:27","12:59","13:27","13:49","14:09","14:40","15:00","15:27","15:47","16:19","16:41","17:02","17:27","17:57","18:19","18:44","19:04","19:27","19:59","20:19","20:29","20:58"
