"科目","金額[百万円]"
"年度","2021"
"期間（自）","20210401"
"期間（至）","20220331"
"業務活動収支 業務支出","178069"
"業務活動収支 業務支出 業務費用支出","83553"
"業務活動収支 業務支出 業務費用支出 人件費支出","21489"
"業務活動収支 業務支出 業務費用支出 物件費等支出","58983"
"業務活動収支 業務支出 業務費用支出 支払利息支出","5"
"業務活動収支 業務支出 業務費用支出 その他の支出","3075"
"業務活動収支 業務支出 移転費用支出","94516"
"業務活動収支 業務支出 移転費用支出 補助金等支出","66798"
"業務活動収支 業務支出 移転費用支出 社会保障給付支出","26282"
"業務活動収支 業務支出 移転費用支出 その他の支出","1436"
"業務活動収支 業務収入","198968"
"業務活動収支 業務収入 税収等収入","128058"
"業務活動収支 業務収入 国都等補助金収入","58252"
"業務活動収支 業務収入 使用料及び手数料収入","8635"
"業務活動収支 業務収入 その他の収入","4023"
"業務活動収支 臨時支出","-"
"業務活動収支 臨時支出 災害復旧事業費支出","-"
"業務活動収支 臨時支出 その他の支出","-"
"業務活動収支 臨時収入","4"
"業務活動収支","20902"
"投資活動収支 投資活動支出","48171"
"投資活動収支 投資活動支出 公共施設等整備費支出","25610"
"投資活動収支 投資活動支出 基金積立金支出","22085"
"投資活動収支 投資活動支出 投資及び出資金支出","-"
"投資活動収支 投資活動支出 貸付金支出","476"
"投資活動収支 投資活動支出 その他の支出","-"
"投資活動収支 投資活動収入","27259"
"投資活動収支 投資活動収入 国都等補助金収入","4708"
"投資活動収支 投資活動収入 基金取崩収入","19879"
"投資活動収支 投資活動収入 貸付金元金回収収入","520"
"投資活動収支 投資活動収入 資産売却収入","2153"
"投資活動収支 投資活動収入 その他の収入","-"
"投資活動収支","-20912"
"財務活動収支 財務活動支出","350"
"財務活動収支 財務活動支出 地方債償還支出","152"
"財務活動収支 財務活動支出 その他の支出","198"
"財務活動収支 財務活動収入","-"
"財務活動収支 財務活動収入 地方債発行収入","-"
"財務活動収支 財務活動収入 その他の収入","-"
"財務活動収支","-350"
"本年度資金収支額","-359"
"前年度末資金残高","15572"
"比例連結割合変更に伴う差額","-"
"本年度末資金残高","15213"
"前年度末歳計外現金残高","7742"
"本年度歳計外現金増減額","-87"
"本年度末歳計外現金残高","7656"
"本年度末現金預金残高","22869"

"全体会計財務書類（資金収支計算書）(令和3年4月1日から令和4年3月31日)","Ver202203"
