"年度","生活一般[件]","児童[件]","経済的支援・生活援護[件]","その他[件]","合計[件]"
"2014","935","104","483","1398","2920"
"2015","580","48","775","2402","3805"
"2016","642","81","764","2364","3851"
"2017","658","140","580","3508","4886"
"2018","558","130","429","3707","4824"

"令和元年度港区行政資料集　母子・父子福祉相談状況","Ver201903",,,,
