"名称","種別","総合支所","町丁目","公園面積[平方メートル]","調査区域面積[平方メートル]","樹木被覆地[平方メートル]","草地[平方メートル]","屋上緑地[平方メートル]","緑被地[平方メートル]","裸地[平方メートル]","水面[平方メートル]","緑被率[％]","樹木被覆率[％]","草地率[％]","屋上緑地率[％]","裸地率[％]","水面率[％]"
"本芝公園","区立公園","芝地区","芝四丁目","4,298 ","4,392 ","1,675 ","5 ","0 ","1,681 ","0 ","0 ","38.26 ","38.14 ","0.12 ","0.00 ","0.00 ","0.00 "
"浜崎公園","区立公園","芝地区","海岸一丁目","633 ","662 ","308 ","0 ","0 ","308 ","271 ","0 ","46.48 ","46.48 ","0.00 ","0.00 ","40.96 ","0.00 "
"イタリア公園","区立公園","芝地区","東新橋一丁目","3,660 ","3,638 ","1,510 ","576 ","0 ","2,087 ","0 ","0 ","57.36 ","41.52 ","15.84 ","0.00 ","0.00 ","0.00 "
"汐留西公園","区立公園","芝地区","東新橋二丁目","980 ","1,015 ","123 ","0 ","0 ","123 ","0 ","0 ","12.14 ","12.14 ","0.00 ","0.00 ","0.00 ","0.00 "
"桜田公園","区立公園","芝地区","新橋三丁目","2,671 ","2,680 ","531 ","0 ","0 ","531 ","0 ","0 ","19.82 ","19.82 ","0.00 ","0.00 ","0.00 ","0.00 "
"塩釜公園","区立公園","芝地区","新橋五丁目","842 ","841 ","405 ","0 ","0 ","405 ","192 ","0 ","48.17 ","48.17 ","0.00 ","0.00 ","22.77 ","0.00 "
"南桜公園","区立公園","芝地区","西新橋二丁目","5,219 ","5,150 ","2,249 ","759 ","0 ","3,008 ","358 ","0 ","58.41 ","43.68 ","14.73 ","0.00 ","6.95 ","0.00 "
"芝給水所公園","区立公園","芝地区","芝公園三丁目","11,062 ","11,044 ","1,917 ","385 ","0 ","2,302 ","0 ","0 ","20.84 ","17.36 ","3.49 ","0.00 ","0.00 ","0.00 "
"芝公園","区立公園","芝地区","芝公園四丁目","13,522 ","13,643 ","5,034 ","4,542 ","0 ","9,576 ","0 ","0 ","70.19 ","36.90 ","33.29 ","0.00 ","0.00 ","0.00 "
"狸穴公園","区立公園","麻布地区","麻布狸穴町","1,772 ","1,746 ","1,016 ","25 ","0 ","1,041 ","483 ","0 ","59.60 ","58.16 ","1.44 ","0.00 ","27.67 ","0.00 "
"本村公園","区立公園","麻布地区","南麻布三丁目","493 ","472 ","347 ","0 ","0 ","347 ","0 ","0 ","73.55 ","73.55 ","0.00 ","0.00 ","0.00 ","0.00 "
"有栖川宮記念公園","区立公園","麻布地区","南麻布五丁目","67,131 ","66,859 ","46,936 ","3,962 ","5 ","50,903 ","3,850 ","1,239 ","76.13 ","70.20 ","5.93 ","0.01 ","5.76 ","1.85 "
"笄公園","区立公園","麻布地区","西麻布三丁目","2,441 ","2,539 ","1,810 ","0 ","0 ","1,810 ","521 ","0 ","71.31 ","71.31 ","0.00 ","0.00 ","20.51 ","0.00 "
"三河台公園","区立公園","麻布地区","六本木四丁目","2,588 ","2,557 ","1,689 ","0 ","0 ","1,689 ","0 ","0 ","66.06 ","66.06 ","0.00 ","0.00 ","0.00 ","0.00 "
"さくら坂公園","区立公園","麻布地区","六本木六丁目","1,540 ","1,471 ","855 ","0 ","0 ","855 ","0 ","0 ","58.09 ","58.09 ","0.00 ","0.00 ","0.00 ","0.00 "
"六本木西公園","区立公園","麻布地区","六本木七丁目","2,187 ","2,078 ","520 ","0 ","0 ","520 ","1,329 ","0 ","25.05 ","25.05 ","0.00 ","0.00 ","63.98 ","0.00 "
"横川省三記念公園","区立公園","麻布地区","麻布台一丁目","572 ","544 ","461 ","0 ","0 ","461 ","0 ","0 ","84.61 ","84.61 ","0.00 ","0.00 ","0.00 ","0.00 "
"網代公園","区立公園","麻布地区","麻布十番二丁目","1,359 ","1,342 ","673 ","0 ","0 ","673 ","446 ","0 ","50.15 ","50.15 ","0.00 ","0.00 ","33.25 ","0.00 "
"新広尾公園","区立公園","麻布地区","麻布十番四丁目","2,059 ","2,047 ","514 ","0 ","0 ","514 ","0 ","5 ","25.11 ","25.11 ","0.00 ","0.00 ","0.00 ","0.26 "
"飯倉公園","区立公園","麻布地区","東麻布一丁目","2,192 ","2,156 ","1,068 ","132 ","0 ","1,200 ","388 ","0 ","55.67 ","49.55 ","6.12 ","0.00 ","18.00 ","0.00 "
"一の橋公園","区立公園","芝地区","東麻布三丁目","4,828 ","4,597 ","349 ","11 ","0 ","361 ","0 ","30 ","7.84 ","7.60 ","0.24 ","0.00 ","0.00 ","0.65 "
"円通寺坂公園","区立公園","赤坂地区","赤坂五丁目","1,715 ","1,715 ","962 ","68 ","0 ","1,031 ","0 ","0 ","60.11 ","56.13 ","3.99 ","0.00 ","0.00 ","0.00 "
"一ツ木公園","区立公園","赤坂地区","赤坂五丁目","4,654 ","4,518 ","3,606 ","0 ","0 ","3,606 ","0 ","0 ","79.82 ","79.82 ","0.00 ","0.00 ","0.00 ","0.00 "
"氷川公園","区立公園","赤坂地区","赤坂六丁目","3,071 ","2,933 ","1,601 ","0 ","0 ","1,601 ","0 ","0 ","54.58 ","54.58 ","0.00 ","0.00 ","0.00 ","0.00 "
"高橋是清翁記念公園","区立公園","赤坂地区","赤坂七丁目","5,321 ","5,528 ","5,415 ","0 ","0 ","5,415 ","0 ","0 ","97.95 ","97.95 ","0.00 ","0.00 ","0.00 ","0.00 "
"乃木公園","区立公園","赤坂地区","赤坂八丁目","3,293 ","3,285 ","2,521 ","19 ","0 ","2,540 ","0 ","0 ","77.32 ","76.72 ","0.59 ","0.00 ","0.00 ","0.00 "
"檜町公園","区立公園","赤坂地区","赤坂九丁目","16,370 ","16,369 ","9,411 ","2,862 ","0 ","12,273 ","0 ","1,281 ","74.98 ","57.49 ","17.48 ","0.00 ","0.00 ","7.83 "
"青葉公園","区立公園","赤坂地区","南青山一丁目","1,003 ","962 ","576 ","0 ","0 ","576 ","0 ","0 ","59.85 ","59.85 ","0.00 ","0.00 ","0.00 ","0.00 "
"青山公園","区立公園","赤坂地区","南青山二丁目","9,753 ","9,704 ","1,725 ","6 ","0 ","1,731 ","193 ","0 ","17.83 ","17.77 ","0.06 ","0.00 ","1.99 ","0.00 "
"亀塚公園","区立公園","高輪地区","三田四丁目","9,183 ","9,202 ","6,478 ","1,252 ","0 ","7,729 ","339 ","0 ","83.99 ","70.39 ","13.60 ","0.00 ","3.68 ","0.00 "
"三田台公園","区立公園","高輪地区","三田四丁目","4,778 ","5,166 ","2,338 ","2,353 ","0 ","4,691 ","241 ","0 ","90.81 ","45.26 ","45.55 ","0.00 ","4.67 ","0.00 "
"高松くすのき公園","区立公園","高輪地区","高輪一丁目","3,639 ","3,501 ","1,905 ","440 ","0 ","2,346 ","248 ","0 ","67.00 ","54.42 ","12.58 ","0.00 ","7.10 ","0.00 "
"高輪森の公園","区立公園","高輪地区","高輪三丁目","4,917 ","4,934 ","4,529 ","177 ","0 ","4,705 ","9 ","0 ","95.37 ","91.79 ","3.58 ","0.00 ","0.19 ","0.00 "
"高輪公園","区立公園","高輪地区","高輪三丁目","5,958 ","5,662 ","3,994 ","27 ","0 ","4,021 ","1,192 ","0 ","71.02 ","70.55 ","0.47 ","0.00 ","21.05 ","0.00 "
"白金公園","区立公園","高輪地区","白金三丁目","1,484 ","1,553 ","391 ","157 ","0 ","549 ","205 ","0 ","35.33 ","25.19 ","10.14 ","0.00 ","13.17 ","0.00 "
"新浜公園","区立公園","芝浦・港南地区","芝浦一丁目","1,183 ","1,207 ","822 ","256 ","0 ","1,077 ","0 ","0 ","89.26 ","68.07 ","21.19 ","0.00 ","0.00 ","0.00 "
"芝浦公園","区立公園","芝浦・港南地区","芝浦一丁目","6,800 ","7,159 ","1,026 ","26 ","0 ","1,052 ","3,443 ","0 ","14.69 ","14.33 ","0.36 ","0.00 ","48.09 ","0.00 "
"高浜公園","区立公園","芝浦・港南地区","港南一丁目","1,696 ","1,754 ","706 ","35 ","0 ","742 ","0 ","0 ","42.27 ","40.25 ","2.01 ","0.00 ","0.00 ","0.00 "
"プラタナス公園","区立公園","芝浦・港南地区","芝浦四丁目","2,500 ","2,382 ","875 ","643 ","0 ","1,519 ","0 ","0 ","63.76 ","36.75 ","27.02 ","0.00 ","0.00 ","0.00 "
"埠頭公園","区立公園","芝浦・港南地区","海岸三丁目","8,935 ","9,112 ","1,567 ","36 ","0 ","1,603 ","186 ","0 ","17.59 ","17.20 ","0.39 ","0.00 ","2.04 ","0.00 "
"芝浦中央公園","区立公園","芝浦・港南地区","港南一丁目","45,782 ","48,936 ","13,662 ","13,848 ","0 ","27,510 ","921 ","0 ","56.22 ","27.92 ","28.30 ","0.00 ","1.88 ","0.00 "
"こうなん星の公園","区立公園","芝浦・港南地区","港南一丁目","2,150 ","2,176 ","452 ","0 ","0 ","452 ","0 ","0 ","20.80 ","20.80 ","0.00 ","0.00 ","0.00 ","0.00 "
"東八ツ山公園","区立公園","芝浦・港南地区","港南二丁目","1,837 ","1,925 ","494 ","0 ","0 ","494 ","1,303 ","0 ","25.65 ","25.65 ","0.00 ","0.00 ","67.69 ","0.00 "
"汐の公園","区立公園","芝浦・港南地区","港南二丁目","1,501 ","1,521 ","527 ","0 ","0 ","527 ","0 ","0 ","34.64 ","34.64 ","0.00 ","0.00 ","0.00 ","0.00 "
"杜の公園","区立公園","芝浦・港南地区","港南二丁目","1,875 ","1,873 ","1,038 ","34 ","0 ","1,072 ","0 ","0 ","57.23 ","55.39 ","1.84 ","0.00 ","0.00 ","0.00 "
"港南和楽公園","区立公園","芝浦・港南地区","港南四丁目","3,801 ","3,781 ","886 ","627 ","0 ","1,513 ","1,832 ","0 ","40.02 ","23.43 ","16.59 ","0.00 ","48.45 ","0.00 "
"港南公園","区立公園","芝浦・港南地区","港南四丁目","6,077 ","6,003 ","2,055 ","465 ","0 ","2,521 ","2,669 ","0 ","41.99 ","34.24 ","7.75 ","0.00 ","44.46 ","0.00 "
