産業,Industry,組合数 Unions／平成29年 2017,組合数 Unions／平成30年 2018,組合員数 No. of Members／平成29年2017,組合員数 No. of Members／平成30年 2018
総数,Total,7191,7093,2259681,2313135
農業，林業,Agriculture and forestry,4,4,148,155
漁業,Fisheries,14,14,1087,1123
鉱業，採石業，砂利採取業,Mining and quarrying of stone and gravel,8,8,1150,1208
建設業,Construction,346,342,215175,215250
製造業,Manufacturing,1190,1171,330918,333870
電気・ガス・熱供給・水道業,Electricity， gas， heat supply and water,139,139,19423,18573
情報通信業,Information and communications,545,538,197128,196620
運輸業，郵便業,Transport and postal activities ,1247,1219,217877,213446
卸売業，小売業,Wholesale and retail trade,855,857,308550,327224
金融業，保険業,Finance and insurance,512,493,274950,282402
不動産業，物品賃貸業,Real estate and goods rental and leasing,78,76,14315,14851
学術研究，専門・技術サービス業,Scientific research， professional and technical services,257,254,36954,36064
宿泊業，飲食サービス業,Accommodations， eating and drinking services,104,102,164983,183004
生活関連サービス業，娯楽業,Living-related and personal services and amusement services,134,134,53779,60369
教育，学習支援業,Education， learning support,425,423,87724,85826
医療，福祉,Medical， health care and welfare,434,434,117951,125239
複合サービス事業,Compound services,64,64,6687,6637
サービス業 (他に分類されないもの),Services， n.e.c.,397,392,86419,89581
公 務 (他に分類されるものを除く),Government， except elsewhere classified,274,266,95620,93307
分類不能の産業,Industries unable to classify,164,163,28843,28386
,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　7  労働 7  LABOR,,,,,
7-7  産業別労働組合組織状況 (平成29，30年) 7-7  LABOR UNIONS BY INDUSTRY ( 2017 and 2018 ),,,,,
6月30日現在。 　　,,,,,
Figures are as of June 30.,,,,,
資料：都産業労働局 ｢労働組合基礎調査」 Source: Bureau of Industrial and Labor Affairs， TMG,,,,,
