年次（平成）,Year,区分階層,項番 Item number,種類,Kind,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received,既済 Disposed／総数 Total,既済 Disposed／調停成立 Successful conciliation,既済 Disposed／調停不成立 Unsuccessful conciliation,既済 Disposed／取下 Withdrawal,既済 Disposed／合意に相当する審判 a),既済 Disposed／調停に代わる審判 b),既済 Disposed／調停をしないもの Non-conciliation,既済 Disposed／その他 Others,未済 Pending,異議 Objection／合意に相当する審判 a),異議 Objection／調停に代わる審判 b)
29,2017,0,,総数,Total,23558,7907,15651,15163,7539,3225,2816,230,738,141,474,8395,5,120
30,2018,0,,総数,Total,24063,8395,15668,15391,7762,3104,2829,249,812,149,486,8672,2,124
30,2018,1,,別表第二調停事件総数,Total number of domestic relations conciliation cases stipulated in Appended Table 2 of the Domestic Relations Case Procedure Act,14353,5155,9198,8823,4995,1003,1684,-,693,74,374,5530,-,119
30,2018,2,1,夫婦の同居・協力扶助,Cohabitation， cooperation， and mutual assistance between husband and wife,23,7,16,16,2,7,5,-,-,1,1,7,-,-
30,2018,2,2,婚姻費用の分担,Sharing of living expenses arising from marriage,4152,1214,2938,2783,1781,304,469,-,121,12,96,1369,-,46
30,2018,2,3,子の監護者の指定その他の処分,Designation of a child custodian and other dispositions,5472,1905,3567,3371,1816,459,632,-,207,38,219,2101,-,55
30,2018,2,,うち監護者の指定,(of which) Designation of a child custodian,488,145,343,278,97,82,62,-,7,-,30,210,-,-
30,2018,2,,うち養育費請求,(of which) Claim for child support payments,1965,586,1379,1379,818,153,207,-,133,15,53,586,-,24
30,2018,2,,うち面会交流,(of which) Visitation and contacts,2679,1064,1615,1500,837,173,302,-,61,18,109,1179,-,31
30,2018,2,,うち子の引渡し,(of which) Surrender of child custody ,322,104,218,202,62,50,55,-,5,5,25,120,-,-
30,2018,2,4,財産の分与に関する処分,Disposition regarding the distribution of property,359,138,221,214,115,35,45,-,10,-,9,145,-,3
30,2018,2,5,祭祀の承継者の指定,Appointment of a successor of rights relating to rituals,36,9,27,23,4,8,7,-,2,-,2,13,-,1
30,2018,2,6,離縁後の親権者の指定,Designation of person who is to have parental authority upon dissolution of adoptive relationship,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,2018,2,7,親権者の指定又は変更,Designation or change of person having parental authority,602,151,451,447,269,35,105,-,23,7,8,155,-,4
30,2018,2,8,扶養に関する処分,Disposition on support,105,32,73,68,27,15,18,-,4,2,2,37,-,-
30,2018,2,9,遺産の分割に関する処分など,Disposition on division of estate， etc. ,3364,1627,1737,1739,872,120,388,-,313,14,32,1625,-,9
30,2018,2,10,寄与分を定める処分,Disposition to determine an heir's contributory portion,109,40,69,59,37,9,7,-,5,-,1,50,-,-
30,2018,2,11,請求すべき按分割合に関する処分,Disposition regarding the pro rata share to be requested,131,32,99,103,72,11,8,-,8,-,4,28,-,1
30,2018,2,12,生活保護法77条2項の事件,Cases under Article 77， Paragraph 2 of the Public Assistance Act,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,2018,2,13,推定相続人の廃除及びその取消し（家事審判法第9条乙類）,Disinheritance of a presumptive heir / rescission of such disinheritance (Article 9， Clause 2 of the Domestic Relations Trial Act),-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,2018,1,,別表第二以外の調停事件総数,Total number of cases of conciliation of domestic relations other than those stipulated in Appended Table 2 of the Domestic Relations Case Procedure Act,9710,3240,6470,6568,2767,2101,1145,249,119,75,112,3142,2,5
30,2018,2,1,婚姻中の夫婦間の事件,Cases between married couple,7656,2612,5044,5077,2380,1651,802,-,110,46,88,2579,-,4
30,2018,2,2,婚姻外の男女間の事件,Cases between men and women outside of marriage,15,4,11,11,7,1,3,-,-,-,-,4,-,-
30,2018,2,3,離婚その他男女関係解消に基づく慰謝料,Compensation for divorce or breakup of a male-female relationship,50,19,31,34,16,8,7,-,-,1,2,16,-,-
30,2018,2,4,親族間の紛争,Dispute among relatives,299,76,223,235,54,104,68,-,2,5,2,64,-,-
30,2018,2,5,合意に相当する審判事項,Ruling equivalent to agreement,585,153,432,460,1,84,100,249,1,13,12,125,2,-
30,2018,2,,うち協議離婚無効・取消し,(of which) Invalidation/annulment of divorce by agreement,55,10,45,45,1,15,7,20,-,1,1,10,-,-
