年次(平成),Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total／延長 Length,総数 Total／面積 Area,コンクリート Concrete／延長 Length,コンクリート Concrete／面積 Area,高級アスファルト High-class asphalt／延長 Length,高級アスファルト High-class asphalt／面積 Area,ブロック Block／延長 Length,ブロック Block／面積 Area,コンクリート平板 Concrete boards／延長 Length,コンクリート平板 Concrete boards／面積 Area,簡易 Simple pavement／延長 Length,簡易 Simple pavement／面積 Area,砂利 Gravel roads／延長 Length,砂利 Gravel roads／面積 Area,その他 Others／延長 Length,その他 Others／面積 Area
27,2015,0,13000,,総数,Tokyo-to,24498186,186379779,547186,8731742,14633909,112436334,182471,6252092,50932,2668779,6495552,42341627,2566726,5363157,21410,8586048
28,2016,0,13000,,総数,Tokyo-to,24522639,187047726,545225,8788813,14783382,113267052,182374,6291686,51089,2664172,6383947,41925299,2555378,5352200,21244,8758504
29,2017,0,13000,,総数,Tokyo-to,24557683,187626292,545763,8778635,14841571,113713245,187553,6358346,52819,2698787,6388592,41996627,2520301,5282649,21084,8798003
30,2018,0,13000,,総数,Tokyo-to,24622612,188402007,548186,8841011,14906394,114197450,189662,6433326,52935,2728983,6392987,42091010,2511979,5264939,20469,8845288
31,2019,0,13000,,総数,Tokyo-to,24647916,188847170,550419,8842291,14941102,114536297,190396,6461485,52894,2771740,6392792,42121215,2500146,5232530,20167,8881612
31,2019,1,13100,,区部,All ku,11976665,103599046,74002,3121975,8975860,71919664,142329,4692187,29354,1938577,2739549,19379396,12936,41756,2635,2505491
31,2019,2,13101,1,千代田区,Chiyoda-ku,175573,2785250,744,148816,170846,2015633,3572,200830,351,71520,-,230362,-,-,60,118089
31,2019,2,13102,2,中央区,Chuo-ku,194262,2977204,21,187003,186120,2053792,7512,353642,78,66926,365,164340,-,-,166,151501
31,2019,2,13103,3,港区,Minato-ku,303739,4392587,3434,259450,293407,3108855,5553,310094,990,68000,250,436070,-,-,105,210118
31,2019,2,13104,4,新宿区,Shinjuku-ku,356822,3407629,9263,126591,343714,2805010,3845,124534,-,58120,-,187902,-,-,-,105472
31,2019,2,13105,5,文京区,Bunkyo-ku,207455,1953964,5220,72915,195717,1638423,5835,44819,683,28622,-,121141,-,-,-,48044
31,2019,2,13106,6,台東区,Taito-ku,258517,2626083,165,200092,213414,1856845,4244,223522,-,74350,40694,236367,-,-,-,34907
31,2019,2,13107,7,墨田区,Sumida-ku,296931,2957466,3531,61138,290422,2451210,1034,106615,-,54268,1838,224697,106,218,-,59320
31,2019,2,13108,8,江東区,Koto-ku,395914,5744012,2215,128428,382835,4384460,4676,551635,-,73426,6105,413758,-,-,83,192305
31,2019,2,13109,9,品川区,Shinagawa-ku,388434,3851729,3382,100407,297863,2907023,2384,69838,380,61769,80903,623831,3522,9194,-,79667
31,2019,2,13110,10,目黒区,Meguro-ku,359120,2305808,1241,46048,113858,1022912,4830,63391,-,21811,238951,1121263,-,-,240,30383
31,2019,2,13111,11,大田区,Ota-ku,853791,7580412,10616,199424,796638,6484447,30323,333932,147,29670,15442,338274,14,90,611,194575
31,2019,2,13112,12,世田谷区,Setagaya-ku,1186345,8251012,5244,626114,262139,2642869,7079,72485,403,97288,904848,4727637,6290,14538,342,70081
31,2019,2,13113,13,渋谷区,Shibuya-ku,271849,2780880,8254,88682,221368,2197086,1211,63805,-,54575,41016,305617,-,-,-,71115
31,2019,2,13114,14,中野区,Nakano-ku,368778,2164610,2977,37407,349381,1639365,2333,46012,-,14833,14087,407760,-,-,-,19233
31,2019,2,13115,15,杉並区,Suginami-ku,688836,4626094,854,73352,378503,2508401,15902,667313,-,18466,291503,1243625,1076,2785,998,112152
31,2019,2,13116,16,豊島区,Toshima-ku,307894,2379422,864,27726,266784,1644497,5855,172661,-,268663,34361,215853,-,-,30,50022
31,2019,2,13117,17,北区,Kita-ku,375053,3006555,7304,109227,288464,2081397,2203,73498,-,87219,76691,573562,391,8341,-,73311
31,2019,2,13118,18,荒川区,Arakawa-ku,215350,1664229,1136,33888,191723,1293627,580,57383,-,59192,21861,176397,50,787,-,42955
31,2019,2,13119,19,板橋区,Itabashi-ku,740479,5849199,4819,92772,297736,2945240,9172,66663,-,28483,428752,2602364,-,-,-,113677
31,2019,2,13120,20,練馬区,Nerima-ku,1139823,7471417,1380,112991,666032,4867465,9166,50668,2504,65133,459746,2233387,995,3966,-,137807
31,2019,2,13121,21,足立区,Adachi-ku,1059280,9864839,857,207599,1022945,7000216,3727,879923,15055,341480,16327,1058666,369,1594,-,375361
31,2019,2,13122,22,葛飾区,Katsushika-ku,753524,5682132,481,62731,742818,5193228,4815,42768,5287,175476,-,135903,123,243,-,71783
31,2019,2,13123,23,江戸川区,Edogawa-ku,1078896,9276513,-,119174,1003133,7177663,6478,116156,3476,119287,65809,1600620,-,-,-,143613
31,2019,1,13200,,市部,All shi,10370753,72962434,125571,3604174,5460871,39129228,47164,1653105,23052,781355,3208000,20315957,1488564,3163791,17531,4314824
31,2019,2,13201,1,八王子市,Hachioji-shi,1545762,14823335,22003,424976,904742,8208608,27048,340265,5821,63342,574556,3730880,11592,43947,-,2011317
31,2019,2,13202,2,立川市,Tachikawa-shi,296220,2601646,344,169655,117044,996306,-,82751,978,93457,172842,1133788,5012,14283,-,111406
31,2019,2,13203,3,武蔵野市,Musashino-shi,148942,1152292,233,144106,144751,760245,2306,78401,891,17169,21,123971,522,2581,218,25819
31,2019,2,13204,4,三鷹市,Mitaka-shi,295387,1948842,1915,71072,64801,528602,1011,236358,-,7121,226634,1048079,1022,3513,4,54097
31,2019,2,13205,5,青梅市,Ome-shi,934867,4743893,35659,246256,402430,2949388,-,14924,1295,26521,160539,704804,334944,559763,-,242237
31,2019,2,13206,6,府中市,Fuchu-shi,484520,3835985,2897,395591,173916,1478607,1219,72288,965,33357,291890,1698623,13633,31562,-,125957
31,2019,2,13207,7,昭島市,Akishima-shi,256166,1854800,2158,49040,224845,1250347,-,107917,-,4244,-,321611,29163,72154,-,49487
31,2019,2,13208,8,調布市,Chofu-shi,442215,2740131,2212,264190,60040,656818,82,33076,907,18866,329972,1635762,35767,64105,13235,67314
31,2019,2,13209,9,町田市,Machida-shi,1353013,8669523,10796,194704,942650,6497544,966,28606,-,112984,18745,576414,379856,1016297,-,242974
31,2019,2,13210,10,小金井市,Koganei-shi,178184,1073251,1234,74115,169559,817628,423,23728,-,15698,1886,97280,4920,15922,162,28880
31,2019,2,13211,11,小平市,Kodaira-shi,272723,2045495,704,79383,267510,1512062,-,103229,-,5139,3348,305991,1151,2733,10,36958
31,2019,2,13212,12,日野市,Hino-shi,496692,3360700,7242,73882,131827,1229906,632,17615,628,28166,300476,1717602,55845,98635,42,194894
31,2019,2,13213,13,東村山市,Higashimurayama-shi,302676,1798634,1086,173731,120849,716165,582,39779,-,20257,155770,760324,24389,55738,-,32640
31,2019,2,13214,14,国分寺市,Kokubunji-shi,239800,1313979,103,17360,218658,1105968,1459,23888,-,2101,866,110457,18714,41464,-,12741
31,2019,2,13215,15,国立市,Kunitachi-shi,153928,1295086,525,101803,141134,1032731,975,54359,2027,29088,292,45323,5290,10239,3685,21543
31,2019,2,13218,16,福生市,Fussa-shi,150932,1128454,604,104464,52379,463368,462,33613,11,3137,94307,492638,3169,6904,-,24330
31,2019,2,13219,17,狛江市,Komae-shi,128340,821370,72,78445,125302,600701,171,21527,265,11822,-,78593,2530,5433,-,24849
31,2019,2,13220,18,東大和市,Higashiyamato-shi,235185,1548520,1103,13330,78297,611346,401,44957,329,18531,128467,755835,26588,60225,-,44296
31,2019,2,13221,19,清瀬市,Kiyose-shi,188557,1115548,508,102981,153061,797259,446,2403,150,2758,-,135287,34392,58414,-,16446
31,2019,2,13222,20,東久留米市,Higashikurume-shi,255698,1637667,3583,52908,32505,289089,212,12687,167,5592,208349,1214609,10882,26378,-,36404
31,2019,2,13223,21,武蔵村山市,Musashimurayama-shi,272400,1559633,1211,90773,44280,383108,607,4746,721,5928,155317,863978,70264,144943,-,66157
31,2019,2,13224,22,多摩市,Tama-shi,292655,3185692,3257,147722,219128,1772780,5004,102826,4320,83330,55954,688476,4992,16543,-,374015
31,2019,2,13225,23,稲城市,Inagi-shi,265056,2071898,3863,164744,196749,1179084,1564,60671,2810,83675,3952,287995,56045,103201,73,192528
31,2019,2,13227,24,羽村市,Hamura-shi,164579,1328117,1375,36963,52680,561136,272,48070,-,958,106892,640870,3360,8056,-,32064
31,2019,2,13228,25,あきる野市,Akiruno-shi,741503,3481243,20479,288060,152157,1107786,38,41558,715,82755,215141,1052016,352871,694828,102,214240
31,2019,2,13229,26,西東京市,Nishitokyo-shi,274753,1826700,405,43920,269577,1622646,1284,22863,52,5359,1784,94751,1651,5930,-,31231
31,2019,1,13300,,郡部,All gun,813071,5036749,43787,407038,180822,1467592,203,48331,74,7255,265640,1458077,322545,606592,-,1041864
31,2019,2,13303,1,瑞穂町,Mizuho-machi,243356,1484452,712,99873,34223,411148,-,1910,-,138,131933,755906,76488,195548,-,19929
31,2019,2,13305,2,日の出町,Hinode-machi,142478,898443,4269,41036,47446,365640,203,42246,-,4337,62542,312934,28018,62260,-,69990
31,2019,2,13307,3,檜原村,Hinohara-mura,120317,1024739,11712,88482,42233,293397,-,816,-,1264,19347,116781,47025,75701,-,448298
