年度(平成),Fiscal Year,地域コード,項番,地域,District,総額 Total,特別区税 Ku taxes,地方譲与税 Transferred tax,利子割交付金 Interest income rate,配当割交付金等 Dividend income rate etc.,地方消費税交付金 Grants to local consumption tax,ゴルフ場利用税交付金 Golf tax,自動車取得税交付金 Grants to automobile acquisition tax,地方特例交付金 Exception grants to local government,特別区財政調整交付金 Finance adjustment payment for ku,交通安全対策特別交付金 Special grants for counter plan for traffic safety,分担金及び負担金 Shares and charges,使用料 Fees,手数料 Charges,国庫支出金 National grants-in-aid,都支出金 Metropolitan grants-in-aid,財産収入 Revenues from properties,寄附金 Contributions,繰入金 Transferred,繰越金 Brought forward,諸収入 Miscellaneous,地方債 Debt service
28,2016,13100,,区部,All ku,3728107,1040544,14521,3684,19080,230087,38,6150,4461,987804,970,36236,89763,15915,652858,242369,18720,4386,103294,119118,73636,64471
29,2017,13100,,区部,All ku,3804572,1055051,14477,3983,32983,236248,38,7738,4682,976299,926,39556,89434,16436,659211,267741,32392,3968,140840,106906,70392,45271
30,2018,13100,,区部,All ku,3884864,1086373,14579,4276,25922,201544,38,8121,5379,1068163,868,43717,89554,16768,642270,278972,14990,3639,147959,122864,68032,40839
30,2018,13101,1,千代田区,Chiyoda-ku,58758,19816,298,65,395,9636,-,180,13,6418,20,625,4740,574,4219,3416,274,156,4203,2203,1507,-
30,2018,13102,2,中央区,Chuo-ku,91225,29512,384,104,636,8468,-,232,90,20143,24,918,6005,850,7852,5246,1121,99,1219,1961,5185,1179
30,2018,13103,3,港区,Minato-ku,147313,78379,441,310,1878,12029,-,265,55,6120,36,460,8375,771,12397,8710,1121,151,8299,4974,2542,-
30,2018,13104,4,新宿区,Shinjuku-ku,146455,49409,474,179,1085,10630,-,282,99,28528,33,1932,3932,926,26335,10703,1423,610,278,5662,3034,903
30,2018,13105,5,文京区,Bunkyo-ku,103856,33666,269,138,839,5071,-,160,56,19394,15,1374,2136,472,12649,7474,401,184,11279,5382,1697,1200
30,2018,13106,6,台東区,Taito-ku,102273,22515,330,78,475,4931,-,197,96,29428,23,810,2564,673,20989,7513,459,79,1151,4376,3138,2450
30,2018,13107,7,墨田区,Sumida-ku,121569,24636,357,93,566,5202,-,213,184,42616,23,1571,2615,518,22902,9012,429,433,1893,3865,1424,3015
