地域階層,地域コード,項番 Item number,地域,District,事業所総数／Number of establishments Total,卸売業 Wholesale trade／計 Total,卸売業 Wholesale trade／各種商品卸売業 Wholesale trade， general merchandise,卸売業 Wholesale trade／繊維品卸売業 (衣服，身の回り品を除く) Textile products (except apparel， apparel accessories and notions),卸売業 Wholesale trade／衣服卸売業 Apparel,卸売業 Wholesale trade／身の回り品卸売業 Apparel accessories and notions,卸売業 Wholesale trade／農畜産物・水産物卸売業 Agricultural， animal and poultry farm and aquatic products,卸売業 Wholesale trade／食料・飲料卸売業 Food and beverages,卸売業 Wholesale trade／建築材料卸売業 Building materials,卸売業 Wholesale trade／化学製品卸売業 Chemicals and related products,卸売業 Wholesale trade／石油・鉱物卸売業 Petroleum and minerals,卸売業 Wholesale trade／鉄鋼製品卸売業 Iron and steel products,卸売業 Wholesale trade／非鉄金属卸売業 Non-ferrous metals,卸売業 Wholesale trade／再生資源卸売業 Recycled material,卸売業 Wholesale trade／産業機械器具卸売業 Industry machinery and equipment,卸売業 Wholesale trade／自動車卸売業 Motor vehicles,卸売業 Wholesale trade／電気機械器具卸売業 Electrical machinery， equipment and supplies,卸売業 Wholesale trade／その他の機械器具卸売業 Miscellaneous machinery and equipment,卸売業 Wholesale trade／家具・建具・じゅう器等卸売業 Furniture， fixtures and house furnishings,卸売業 Wholesale trade／医薬品・化粧品等卸売業 Drugs and toiletries,卸売業 Wholesale trade／紙・紙製品卸売業 Paper and paper products,卸売業 Wholesale trade／他に分類されない卸売業 Other products， n.e.c.,小売業 Retail trade／計 Total,小売業 Retail trade／百貨店，総合スーパー Department stores and general merchandise supermarkets,小売業 Retail trade／その他の各種商品小売業 (従業者が常時50人未満のもの) Miscellaneous retail trade， general merchandise (with less than 50 employees),小売業 Retail trade／呉服・服地・寝具小売業 Dry goods， cloth and bedding stores,小売業 Retail trade／男子服小売業 Men's clothing stores,小売業 Retail trade／婦人・子供服小売業 Women's and children's clothing stores,小売業 Retail trade／靴・履物小売業 Footwear stores,小売業 Retail trade／その他の織物・衣服・身の回り品小売業 Miscellaneous dry goods， apparel and apparel accessories stores,小売業 Retail trade／各種食料品小売業 Grocery stores,小売業 Retail trade／野菜・果実小売業 Vegetable and fruit stores,小売業 Retail trade／食肉小売業 Meat and poultry stores,小売業 Retail trade／鮮魚小売業 Fresh fish stores,小売業 Retail trade／酒小売業 Liquor stores,小売業 Retail trade／菓子・パン小売業 Confectioneries and bakeries,小売業 Retail trade／その他の飲食料品小売業 Retail food and beverage stores， n.e.c,小売業 Retail trade／自動車小売業 Motor vehicle stores,小売業 Retail trade／自転車小売業 Bicycle stores,小売業 Retail trade／機械器具小売業 (自動車，自転車を除く) Appliance stores， except motorcycles and bicycles,"小売業 Retail trade／家具・建具・畳小売業 Furniture， fixture and “Tatami"" mat stores",小売業 Retail trade／じゅう器小売業 Household utensil stores,小売業 Retail trade／医薬品・化粧品小売業 Drug and toiletry stores,小売業 Retail trade／農耕用品小売業 Farming and gardening supply stores,小売業 Retail trade／燃料小売業 Fuel stores,小売業 Retail trade／書籍・文房具小売業 Book and stationery stores,小売業 Retail trade／スポーツ用品・がん具・娯楽用品・楽器小売業 Sporting goods， toy， amusement goods and musical instrument stores,小売業 Retail trade／写真機・時計・眼鏡小売業 Camera， watch and  spectacles stores,小売業 Retail trade／他に分類されない小売業 Retail trade， n.e.c,小売業 Retail trade／通信販売・訪問販売小売業 Mail order houses and door-to-door sales,小売業 Retail trade／自動販売機による小売業 Vending machine sales,小売業 Retail trade／その他の無店舗小売業 Miscellaneous nonstore retailers
0,13000,,東京都,Tokyo-to,106460,36504,163,569,1695,1844,3039,3336,2455,2443,453,955,644,818,3038,1123,3043,1698,1311,1577,1039,5261,69956,123,196,1122,1547,5141,1146,3187,1403,1444,1030,694,1828,4770,11154,2617,1079,2683,1295,1167,7318,96,1435,3057,1699,1721,8099,2147,235,523
1,13100,,区部,All ku,84067,32056,147,544,1596,1760,2621,2825,1888,2257,410,907,590,702,2648,866,2628,1505,1139,1320,973,4730,52011,81,112,854,1209,3896,900,2474,874,1101,779,566,1417,3499,8516,1502,770,1984,933,923,5375,34,885,2333,1238,1277,6206,1668,183,422
2,13101,1,千代田区,Chiyoda-ku,5212,2887,26,49,89,93,79,196,122,337,69,78,71,19,267,29,423,166,80,151,110,433,2325,3,8,12,67,187,30,149,29,12,8,6,40,151,405,11,11,137,12,32,158,-,17,223,145,64,274,106,5,23
2,13102,2,中央区,Chuo-ku,6903,4723,21,137,409,258,874,485,133,444,90,170,56,28,300,43,260,116,104,165,143,487,2180,3,2,73,65,146,60,137,14,30,18,24,51,160,365,29,15,39,28,55,180,-,26,74,33,68,347,102,3,33
2,13103,3,港区,Minato-ku,4551,2438,18,23,89,67,151,236,117,190,81,78,55,10,288,87,271,140,101,98,46,292,2113,1,4,26,74,188,33,103,33,19,8,14,44,126,344,51,16,51,20,29,200,1,35,81,59,45,347,114,6,41
2,13104,4,新宿区,Shinjuku-ku,3982,1238,6,8,43,37,98,138,82,72,13,18,16,9,77,20,142,93,54,81,39,192,2744,6,7,34,71,255,67,184,46,37,17,16,61,152,475,26,28,96,39,39,305,2,22,134,86,68,318,113,13,27
2,13105,5,文京区,Bunkyo-ku,2194,1005,3,8,21,22,49,58,43,65,9,10,6,12,52,14,96,220,33,88,44,152,1189,2,1,16,21,70,12,40,17,27,16,19,47,81,207,18,13,32,23,29,144,1,12,77,19,33,139,63,1,9
2,13106,6,台東区,Taito-ku,5972,3325,12,107,122,557,105,151,85,196,8,48,50,30,212,36,218,152,137,54,141,904,2647,1,2,75,82,130,75,231,23,29,27,22,76,202,349,56,26,82,69,80,183,2,23,96,94,61,441,81,10,19
2,13107,7,墨田区,Sumida-ku,3079,1423,4,34,98,111,44,77,93,98,8,104,44,33,139,32,48,39,73,35,53,256,1656,2,2,29,35,113,29,83,19,37,28,28,64,136,274,50,24,49,18,29,167,1,35,58,43,55,172,55,7,14
2,13108,8,江東区,Koto-ku,3151,1201,6,15,21,33,94,114,212,81,15,58,23,41,98,40,63,53,38,26,44,126,1950,4,6,24,48,154,40,85,29,33,31,28,58,128,376,72,22,64,28,28,209,-,51,77,39,48,184,49,18,17
2,13109,9,品川区,Shinagawa-ku,3222,1295,7,8,56,42,74,105,60,90,7,29,34,26,160,50,193,81,52,46,24,151,1927,3,4,35,38,125,38,61,36,41,33,29,65,117,349,44,21,69,40,34,232,-,24,74,24,53,222,83,6,27
2,13110,10,目黒区,Meguro-ku,2002,500,1,5,49,26,31,48,28,21,3,6,11,12,43,19,45,19,24,26,12,71,1502,2,-,16,24,185,30,68,23,38,23,14,30,86,201,32,21,53,57,37,164,4,23,59,27,47,189,34,4,11
2,13111,11,大田区,Ota-ku,5069,1641,4,7,24,17,245,163,108,99,20,70,34,76,230,61,140,52,44,31,29,187,3428,5,5,52,43,180,36,105,50,113,65,57,90,269,624,131,60,154,71,50,385,1,65,149,68,75,406,81,16,22
