年次（平成）,Year,月次,Month,調布飛行場 Chofu Airport／旅客数 Passenger／乗客 Embarked,調布飛行場 Chofu Airport／旅客数 Passenger／降客  Disembarked,大島空港 Oshima Airport／旅客数 Passenger／乗客 Embarked,大島空港 Oshima Airport／旅客数 Passenger／降客 Disembarked,大島空港 Oshima Airport／貨物 Freight／積荷 Loaded(t),大島空港 Oshima Airport／貨物 Freight／降荷 Unloaded(t),大島空港 Oshima Airport／郵便物 Mail／積荷 Loaded(t),大島空港 Oshima Airport／郵便物 Mail／降荷 Unloaded(t),三宅島空港 Miyakejima Airport／旅客数 Passenger／乗客 Embarked,三宅島空港 Miyakejima Airport／旅客数 Passenger／降客 Disembarked,三宅島空港 Miyakejima Airport／貨物 Freight／積荷 Loaded(t),三宅島空港 Miyakejima Airport／貨物 Freight／降荷 Unloaded(t),三宅島空港 Miyakejima Airport／郵便物 Mail／積荷 Loaded(t),三宅島空港 Miyakejima Airport／郵便物 Mail／降荷 Unloaded(t),八丈島空港 Hachijojima Airport／旅客数 Passenger／乗客 Embarked,八丈島空港 Hachijojima Airport／旅客数 Passenger／降客 Disembarked,八丈島空港 Hachijojima Airport／貨物 Freight／積荷 Loaded(t),八丈島空港 Hachijojima Airport／貨物 Freight／降荷 Unloaded(t),八丈島空港 Hachijojima Airport／郵便物 Mail／積荷 Loaded(t),八丈島空港 Hachijojima Airport／郵便物 Mail／降荷 Unloaded(t),新島空港 Niijima Airport／旅客数 Passenger／乗客 Embarked,新島空港 Niijima Airport／旅客数 Passenger／降客 Disembarked,新島空港 Niijima Airport／貨物 Freight／積荷 Loaded(t),新島空港 Niijima Airport／貨物 Freight／降荷 Unloaded(t),新島空港 Niijima Airport／郵便物 Mail／積荷 Loaded(t),新島空港 Niijima Airport／郵便物 Mail／降荷 Unloaded(t),神津島空港 Kozushima Airport／旅客数 Passenger／乗客 Embarked,神津島空港 Kozushima Airport／旅客数 Passenger／降客 Disembarked,神津島空港 Kozushima Airport／貨物 Freight／積荷 Loaded(t),神津島空港 Kozushima Airport／貨物 Freight／降荷 Unloaded(t),神津島空港 Kozushima Airport／郵便物 Mail／積荷 Loaded(t),神津島空港 Kozushima Airport／郵便物 Mail／降荷 Unloaded(t)
26,2014,,,38171,49353,17369,16914,4,21,5,33,10940,5423,4,0,-,-,90734,83949,867,317,16,45,16413,13757,6,24,-,-,11206,9419,1,0,-,-
27,2015,,,41129,53387,15246,14521,4,19,4,24,14211,7942,8,1,-,-,89784,82129,768,304,16,39,14759,17412,5,24,-,-,11279,9175,2,1,-,-
28,2016,,,41290,54057,10058,8701,2,14,-,-,14984,8156,3,2,-,-,94405,85582,756,272,16,40,17905,15153,5,22,-,-,11301,9409,1,0,-,-
29,2017,,,44233,56523,9915,8721,2,14,-,-,16143,9606,2,3,-,-,100584,91097,746,261,18,42,17964,15149,4,18,-,-,12715,10902,2,1,-,-
30,2018,,,43763,54949,9566,8343,2,14,-,-,16328,10085,1,3,-,-,103538,93522,669,239,17,43,17724,15344,3,16,-,-,11583,10193,2,0,-,-
30,2018,1,Jan.,3617,4509,805,686,179,1086,-,-,1302,908,44,253,-,-,7693,6679,52797,24165,1397,2996,1415,1243,132,1364,-,-,1005,797,158,14,-,-
30,2018,2,Feb.,3333,4359,709,633,71,1020,-,-,1280,752,28,227,-,-,6531,6249,44977,19787,1245,3139,1481,1251,210,1299,-,-,901,714,67,25,-,-
30,2018,3,Mar.,3638,5008,931,787,80,1165,-,-,1395,838,23,248,-,-,8507,7755,64145,29243,1516,4131,1603,1199,348,1603,-,-,1099,831,245,17,-,-
30,2018,4,Apr.,3757,4628,954,749,233,1088,-,-,1261,731,104,188,-,-,7745,7502,56363,21819,1389,3838,1510,1386,338,1201,-,-,924,903,236,20,-,-
30,2018,5,May,3889,5101,810,697,112,1228,-,-,1536,869,308,217,-,-,9668,8348,60069,17322,1507,3550,1685,1464,279,1264,-,-,1086,874,469,22,-,-
30,2018,6,June,3066,3839,508,508,63,1174,-,-,1321,730,163,229,-,-,5997,5470,51959,21631,1327,3972,1332,1211,298,1540,-,-,700,629,225,42,-,-
30,2018,7,July,4021,4856,759,730,136,1117,-,-,1547,990,51,236,-,-,10060,9250,59346,15042,1355,4378,1536,1363,172,1388,-,-,1036,958,174,53,-,-
