年次(平成),Year,地域階層,地域コード,項番 Item number,地域,District,木造家屋 Wooden buildings／総数 Total／棟数 Number,木造家屋 Wooden buildings／総数 Total／床面積 Floor space (m2)　,木造家屋 Wooden buildings／専用住宅 Exclusive dwellings／棟数 Number,木造家屋 Wooden buildings／専用住宅 Exclusive dwellings／床面積 Floor space  (m2),木造家屋 Wooden buildings／併用住宅 Multi-use dwellings／棟数 Number,木造家屋 Wooden buildings／併用住宅 Multi-use dwellings／床面積 Floor space (m2),木造家屋 Wooden buildings／アパート Apartment houses／棟数 Number,木造家屋 Wooden buildings／アパート Apartment houses／床面積 Floor space (m2),木造家屋 Wooden buildings／その他 Others／棟数 Number,木造家屋 Wooden buildings／その他 Others／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／総数 Total／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／総数 Total／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／事務所，店舗，百貨店 Offices， stores， department stores 1)／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／事務所，店舗，百貨店 Offices， stores， department stores 1)／床面積(m2) Floor space,種類別非木造家屋 Non-wooden buildings by type／住宅，アパート Houses， apartment houses／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／住宅，アパート Houses， apartment houses／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／病院，ホテルHospitals， hotels／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／病院，ホテルHospitals， hotels／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／工場，倉庫，市場 Factories， storehouses， markets／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／工場，倉庫，市場 Factories， storehouses， markets／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／劇場，娯楽場等，その他 Theaters， amusement & entertainment places， etc. ／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／劇場，娯楽場等，その他 Theaters， amusement & entertainment places， etc. ／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／劇場，娯楽場等，その他Theaters， amusement & entertainment places， etc. ／うち劇場，娯楽場等 of which， Theaters， amusement & entertainment places／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／劇場，娯楽場等，その他 Theaters， amusement & entertainment places， etc. ／うち劇場，娯楽場等 of which， Theaters， amusement & entertainment places／床面積 Floor space (m2),構造別非木造家屋 Non-wooden buildings by structure／鉄骨鉄筋コンクリート造 Steel reinforced concrete／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／鉄骨鉄筋コンクリート造 Steel reinforced concrete／床面積 Floor space (m2),構造別非木造家屋 Non-wooden buildings by structure／鉄筋コンクリート造 Reinforced concrete／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／鉄筋コンクリート造 Reinforced concrete／床面積 Floor space (m2),構造別非木造家屋 Non-wooden buildings by structure／鉄骨造 Steel-frame／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／鉄骨造 Steel-frame／床面積 Floor space (m2) ,構造別非木造家屋 Non-wooden buildings by structure／軽量鉄骨造 Light gauge steel／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／軽量鉄骨造 Light gauge steel／床面積 Floor space (m2),構造別非木造家屋 Non-wooden buildings by structure／れんが造，コンクリートブロック造等 Brick， concrete-block， etc.／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／れんが造，コンクリートブロック造等 Brick， concrete-block， etc.／床面積 Floor space (m2),構造別非木造家屋 Non-wooden buildings by structure／その他 Others／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／その他 Others／床面積 Floor space (m2)
27,2015,0,13000,,総数,Tokyo-to,1928585,196895789,1550077,148917515,98010,14790439,185777,27901685,94721,5286150,820605,482410153,80947,131806002,634884,294845738,4276,10825473,73573,41733091,26925,3199849,…,…,29812,138232511,286188,204857757,269846,108225233,211888,29939509,22467,1138082,404,17061
28,2016,0,13000,,総数,Tokyo-to,1935288,197954571,1562734,150416929,94463,14312751,184926,27957552,93165,5267339,825315,487422635,80913,132685043,639546,299241196,4295,10951354,73789,41330064,26772,3214978,…,…,29677,138323038,287904,208165678,270819,109401602,214539,30409645,21967,1105674,409,16998
29,2017,0,13000,,総数,Tokyo-to,1968857,199073634,1564793,151818895,131441,13940323,178994,28137928,93629,5176488,832099,492564127,83516,135190918,628832,302559918,4400,11144058,85896,39541757,29455,4127476,…,…,30486,137481511,286446,211957144,274762,111171985,218903,30859032,21092,1077039,410,17416
30,2018,0,13000,,総数,Tokyo-to,1974732,200149088,1575568,153120633,127728,13553734,179265,28365365,92171,5109356,838814,497263430,83511,135830855,636145,306151509,4491,11463612,85368,39692273,29299,4125181,…,…,30317,137703188,289284,214798561,277347,112477298,220822,31221949,20653,1049087,391,13347
31,2019,0,13000,,総数,Tokyo-to,1980031,201103648,1586013,154347698,124167,13188929,179030,28510299,90821,5056722,841383,502101920,83503,136817567,639114,309756244,4595,11728977,84985,39671858,29186,4127274,…,…,30165,137788941,290025,217628404,278082,114114584,222414,31529274,20306,1027345,391,13372
31,2019,1,13100,,区部,All ku,1139987,115371378,869652,82197417,98060,10177838,135727,20526596,36548,2469527,610477,397275924,59438,116014666,487150,244146874,3141,9229589,52086,26243908,8662,1640887,102,516609,27203,124368188,224440,167778683,224434,86517284,123184,18085704,11216,526065,-,-
31,2019,2,13101,1,千代田区,Chiyoda-ku,1588,138031,512,42339,539,47994,12,1692,525,46006,9818,24005678,5172,18683888,3979,4020486,112,990321,516,282638,39,28345,6,24432,2452,14116017,4013,4434084,2980,5422892,236,22823,137,9862,-,-
31,2019,2,13102,2,中央区,Chuo-ku,4259,326365,2288,157414,1416,115458,101,10045,454,43448,11603,22516376,5538,14018445,5445,7267732,156,570934,452,631858,12,27407,1,3548,2876,12023347,4171,6595479,4183,3850023,280,38639,93,8888,-,-
31,2019,2,13103,3,港区,Minato-ku,7957,838779,5586,571583,989,102972,733,111823,649,52401,18048,37012024,5233,19999864,11492,14536196,188,1557678,1054,845853,81,72433,9,54455,2912,18688690,9506,12219325,4374,5938813,1002,143796,254,21400,-,-
31,2019,2,13104,4,新宿区,Shinjuku-ku,25993,2652120,18037,1704083,2418,246708,4621,634732,917,66597,25154,23394139,4055,9541904,19438,12343354,283,977215,1186,483807,192,47859,6,25041,2160,10486568,12729,9667414,6959,2790881,2913,420126,393,29150,-,-
31,2019,2,13105,5,文京区,Bunkyo-ku,19613,2013609,15033,1480652,2093,210771,1998,282647,489,39539,16519,10699260,1401,2544006,14223,7516676,64,269715,710,245283,121,123580,4,114957,1249,4088739,7208,4645929,5765,1650216,2034,297805,263,16571,-,-
31,2019,2,13106,6,台東区,Taito-ku,16818,1496564,8837,717010,6034,566789,801,105611,1146,107154,21921,12302857,3136,3559449,17298,7878549,379,534559,1062,322490,46,7810,8,3666,1731,3758016,7042,5117945,11691,3264712,1134,131965,323,30219,-,-
31,2019,2,13107,7,墨田区,Sumida-ku,26322,2255863,17631,1386197,5811,557512,1467,184691,1413,127463,21651,11618994,1462,2057211,17803,8431032,102,198442,2221,883239,63,49070,2,37312,985,3183228,4885,4409727,12849,3663303,2643,346570,289,16166,-,-
