年次（平成）,Year,霜 Frost／初霜 First frost (月(Month)/日(Date)) ,霜 Frost／終霜 Last frost (月(Month)/日(Date))  ,雪 Snow／初雪 First snow (月(Month)/日(Date))  ,雪 Snow／終雪 Last snow (月(Month)/日(Date))  ,結氷 Freezing／初結氷 First freezing (月(Month)/日(Date))  ,結氷 Freezing／終結氷 Last freezing (月(Month)/日(Date))  
6,1994,1994-01-23,1994-01-23,1993-12-22,1994-02-12,1993-12-16,1994-02-25
7,1995,1995-02-06,1995-02-27,1995-02-05,1995-03-26,1994-12-17,1995-02-21
8,1996,1995-12-11,1995-12-11,1995-12-19,1996-03-19,1995-12-09,1996-03-06
9,1997,1996-12-30,1996-12-30,1997-01-25,1997-02-19,1996-12-02,1997-02-23
10,1998,1998-01-11,1998-01-26,1997-12-23,1998-03-17,1997-12-04,1998-03-18
11,1999,1998-12-14,1999-03-04,1998-12-03,1999-02-19,1999-01-01,1999-03-23
12,2000,1999-12-13,2000-03-27,2000-01-12,2000-02-26,1999-12-21,2000-03-14
13,2001,2000-12-09,2001-04-01,2001-01-07,2001-03-31,2000-12-07,2001-04-01
14,2002,2001-12-20,2002-02-12,2001-12-21,2002-02-10,2001-12-11,2002-02-16
15,2003,2002-12-11,2003-02-02,2002-12-09,2003-02-24,2002-12-11,2003-03-12
16,2004,2003-12-22,2004-02-08,2003-12-27,2004-03-07,2004-01-12,2004-03-08
17,2005,2004-12-30,2005-03-15,2004-12-29,2005-03-14,2004-12-30,2005-03-14
18,2006,2005-12-14,2006-03-04,2005-12-11,2006-03-14,2005-12-14,2006-03-14
19,2007,2007-01-01,2007-01-08,2007-03-16,2007-04-04,2007-01-01,2007-02-25
20,2008,2008-01-02,2008-02-05,2008-01-16,2008-02-10,2008-01-02,2008-02-25
21,2009,2008-12-15,2009-02-18,2009-01-09,2009-03-26,2008-12-27,2009-02-22
22,2010,2009-12-19,2010-03-30,2010-01-12,2010-04-17,2009-12-19,2010-03-30
23,2011,2010-12-27,2011-03-18,2010-12-30,2011-03-07,2011-01-07,2011-03-04
24,2012,2011-12-11,2012-01-30,2012-01-20,2012-03-10,2011-12-26,2012-02-20
25,2013,2012-12-10,2013-02-26,2013-01-14,2013-02-19,2012-12-10,2013-02-26
26,2014,2013-12-15,2014-02-05,2013-12-20,2014-03-07,2013-12-29,2014-03-11
27,2015,2014-12-18,2015-02-10,2014-12-14,2015-04-08,2014-12-15,2015-03-11
28,2016,2016-01-08,2016-03-02,2016-01-12,2016-03-01,2016-01-13,2016-01-27
29,2017,2016-12-17,2017-03-16,2016-11-24,2017-02-24,2017-01-12,2017-02-22
30,2018,2017-12-10,2018-02-24,2017-12-31,2018-03-21,2017-12-18,2018-02-24
,,,,,,,
東京都統計年鑑 （平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,
1-8  季節現象（平成6年～平成30年） SEASONAL PHENOMENON（ 1994-2018 ）,,,,,,,
注) 霜，雪，結氷は，前年8月から当年7月までの期間で算出している。,,,,,,,
Note: Frost， snow， and freezing data are for the 12 months to July each year.,,,,,,,
資料：気象庁 Source: Japan Meteorological Agency,,,,,,,
