年次(平成),Year,地域階層,地域コード,地域,district,項番 Item number,消防署,Fire station,出場件数 Number of dispatches,出場件数 Number of dispatches／うち従事 of which engaged,救助人員 Persons rescued／総数 Total,救助人員 Persons rescued／重症 Severe injury,救助人員 Persons rescued／中等症 Moderate injury,救助人員 Persons rescued／軽症 Minor injury,救助人員 Persons rescued／無症 No injury,救助人員 Persons rescued／死亡 Death,誘導人員 Persons guided to safety,出場車両数 Vehicles deployed／総数 Total,出場車両数 Vehicles deployed／ポンプ車 Pumpers,出場車両数 Vehicles deployed／救助車 Rescue trucks,出場車両数 Vehicles deployed／化学車 Foam pumpers,出場車両数 Vehicles deployed／はしご車 Aerial ladders,出場車両数 Vehicles deployed／救急車 Ambulances,出場車両数 Vehicles deployed／指揮隊車 Command vans,出場車両数 Vehicles deployed／その他 Others 1),従事台数 Vehicles engaged,出場人員 Persons deployed,従事人員 Persons engaged
28,2016,0,13000,総数,Tokyo-to,,,,21980,17078,18958,2641,6028,7231,1703,1355,89,69978,23270,7245,3463,319,23557,10496,1628,43607,284536,173731
29,2017,0,13000,総数,Tokyo-to,,,,21984,16829,18568,2657,5892,6907,1618,1494,45,69402,22870,7250,3328,304,23226,11100,1324,41957,281640,168130
30,2018,0,13000,総数,Tokyo-to,,,,23543,17730,19381,2814,6095,6897,1724,1851,68,75639,24576,8207,3727,313,24710,12230,1876,43807,307763,176655
30,2018,1,13100,区部,All ku,,,,16149,11885,13051,1859,3995,4575,1253,1369,60,53248,16752,7075,2601,267,16782,8609,1162,29604,219016,120624
30,2018,2,13101,千代田区,Chiyoda-ku,1,丸の内署,Marunouchi F. Sta.,52,37,50,11,9,29,-,1,-,155,60,8,2,-,64,19,2,98,638,391
30,2018,2,13101,千代田区,Chiyoda-ku,2,麹町署,Kojimachi F. Sta．,126,109,128,18,31,70,6,3,-,444,179,35,-,23,148,44,15,325,1767,1285
30,2018,2,13101,千代田区,Chiyoda-ku,3,神田署,Kanda F. Sta.,115,73,74,18,18,29,5,4,-,365,144,43,2,-,120,49,7,201,1549,846
30,2018,2,13102,中央区,Chuo-ku,4,京橋署,Kyobashi F. Sta.,152,115,125,20,24,71,4,6,1,485,146,49,47,4,166,64,9,307,1978,1227
30,2018,2,13102,中央区,Chuo-ku,5,日本橋署,Nihonbashi F. Sta.,210,173,213,25,49,121,11,7,1,627,252,59,10,2,222,64,18,436,2512,1683
30,2018,2,13102,中央区,Chuo-ku,6,臨港署,Rinko F. Sta.,123,91,70,6,13,11,24,16,-,661,105,68,86,3,129,111,159,361,2976,1610
30,2018,2,13103,港区,Minato-ku,7,芝署,Shiba F. Sta.,306,233,270,23,72,151,15,9,-,983,337,106,64,4,332,132,8,622,4134,2638
30,2018,2,13103,港区,Minato-ku,8,麻布署,Azabu F. Sta.,149,105,118,14,28,57,13,6,19,502,204,53,1,4,164,69,7,258,2035,1043
30,2018,2,13103,港区,Minato-ku,9,赤坂署,Akasaka  F. Sta.,103,70,89,11,31,34,12,1,-,312,112,36,1,-,111,52,-,170,1282,687
30,2018,2,13103,港区,Minato-ku,10,高輪署,Takanawa F. Sta.,143,94,89,8,23,38,10,10,-,456,111,64,53,-,148,76,4,216,1940,963
30,2018,2,13109,品川区,Shinagawa-ku,11,品川署,Shinagawa F. Sta.,225,174,201,33,65,80,11,12,-,721,225,87,40,1,238,116,14,448,2956,1813
30,2018,2,13109,品川区,Shinagawa-ku,12,大井署,Oi F. Sta.,219,170,194,13,47,112,12,10,1,729,254,71,31,28,241,98,6,448,3002,1794
30,2018,2,13109,品川区,Shinagawa-ku,13,荏原署,Ebara F. Sta.,178,136,146,26,65,37,5,13,2,585,236,67,2,7,180,82,11,326,2438,1378
30,2018,2,13111,大田区,Ota-ku,14,大森署,Omori F. Sta.,367,267,322,26,74,167,24,31,-,1177,323,155,123,4,391,176,5,638,4933,2592
30,2018,2,13111,大田区,Ota-ku,15,田園調布署,Denencyofu F. Sta.,221,184,178,33,87,39,4,15,2,764,241,92,82,2,229,101,17,444,3074,1707
30,2018,2,13111,大田区,Ota-ku,16,蒲田署,Kamata F. Sta.,298,230,251,28,80,85,28,30,-,1061,393,145,16,4,305,163,35,635,4392,2568
30,2018,2,13111,大田区,Ota-ku,17,矢口署,Yaguchi F. Sta.,186,144,145,20,59,35,11,20,-,622,160,85,60,-,189,105,23,342,2626,1372
