年次（平成）,Year,区分,Classification,港または空港,Seaport or airport ,総数 Total,アジア Asia,ヨーロッパ Europe,アフリカ Africa,北アメリカ North America,南アメリカ South America,オセアニア Oceania,無国籍 No nationality
28,2016,出国, Departure,総数,Total,10090107,7233530,1118736,28200,1240037,85488,383318,798
29,2017,出国, Departure,総数,Total,11348794,8223059,1195442,29984,1376114,104983,418540,672
30,2018,出国, Departure,総数,Total,12580147,9118000,1348002,33594,1502639,116889,460408,615
30,2018,出国, Departure,東京, Tokyo,431,321,104,-,1,-,5,-
30,2018,出国, Departure,羽田（空港）, Haneda(Airport),4036119,2835211,512285,10546,495753,30663,151476,185
30,2018,出国, Departure,成田（空港）, Narita(Airport),8543597,6282468,835613,23048,1006885,86226,308927,430
28,2016,入国, Entry,総数,Total,10086896,7192225,1128086,28891,1262773,88073,386072,776
29,2017,入国, Entry,総数,Total,11386683,8203922,1215078,30768,1403670,108006,424595,644
30,2018,入国, Entry,総数,Total,12648140,9117204,1372266,33966,1532701,123862,467553,588
30,2018,入国, Entry,東京, Tokyo,2884,1740,947,26,111,24,36,-
30,2018,入国, Entry,羽田（空港）, Haneda(Airport),4082250,2879234,514075,10005,496982,31822,149959,173
30,2018,入国, Entry,成田（空港）, Narita(Airport),8563006,6236230,857244,23935,1035608,92016,317558,415
,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,
4-26　港，地域別外国人出入国者数 (平成28～30年) 4-26 FOREIGNERS WHO ENTERED OR DEPARTED FROM TOKYO BY SEAPORT OR AIRPORT BY REGION ( 2016-2018 ) ,,,,,,,,,,,,,
資料：法務省 「出入国管理統計年報」 Source: Ministry of Justice,,,,,,,,,,,,,
