年度(平成),Fiscal year,月次,month,総数 Total,特別高圧 Extra high voltage,高圧 High voltage,低圧 Low voltage,低圧 Low voltage／特別需要 Regulated rates,低圧 Low voltage／自由料金 Non-regulated rates
28,2016,総数,Total,77850259,20118698,26579450,31152111,24134916,7017195
29,2017,総数,Total,78692235,20061383,26580905,32049947,21773851,10276096
30,2018,総数,Total,78199667,20285398,26440853,31473416,18465277,13008139
30,2018,4,Apr.,5701303,1556106,1938864,2206333,1353182,853151
30,2018,5,May,5674774,1663704,1923631,2087439,1303679,783760
30,2018,6,Jun,5902547,1738540,2147031,2016976,1222120,794856
30,2018,7,July,7178477,2014301,2548769,2615407,1631037,984370
30,2018,8,Aug. ,8053870,2013064,2775328,3265478,2015640,1249838
30,2018,9,Sept.,7043747,1763924,2462074,2817749,1691630,1126119
30,2018,10,Oct.,5902523,1714447,2072411,2115665,1229443,886222
30,2018,11,Nov.,5666874,1570615,1946070,2150189,1228026,922163
30,2018,12,Dec.,6217013,1589502,2050626,2576885,1469124,1107761
31,2018,1,Jan.,7288841,1592001,2234300,3462540,1975892,1486648
31,2018,2,Feb.,7233945,1504417,2296821,3432707,1872218,1560489
31,2018,3,Mar.,6335753,1564777,2044928,2726048,1473286,1252762
,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,
6-1  電力需要実績（平成28～30年度） 6-1  ELECTRICITY DEMAND ( Fiscal Years 2016-2018 ),,,,,,,,,
資料：資源エネルギー庁 「都道府県別電力需要実績」 Source: Agency for Natural Resources and Energy ,,,,,,,,,
（単位　1000キロワット時）(In 1000kWh),,,,,,,,,
