年度末(平成),End of fiscal year,地域階層,地区コード,地域,District,総人口 (A) Total population 1),排水区域 Areas served by sewerage system／人口 (B) Population,排水区域 Areas served by sewerage system／計画面積 Planned area (ha),排水区域 Areas served by sewerage system／面積 Area　(ha),処理区域 Areas served by sewerage system and sewage treatment system／人口 Population,処理区域 Areas served by sewerage system and sewage treatment system／計画面積 Planned area (ha),処理区域Areas served by sewerage system and sewage treatment system／面積 Area (ha),終末処理場数 Number of sewage treatment plants 2) ,終末処理場数 Number of sewage treatment plants,普及率 (B/A) Sewerage system coverage (%)
28,2016,0,13000,総数,Tokyo-to,13546703,13506971,109750,105821,13506368,109750,105715,7,27,100
29,2017,0,13000,総数,Tokyo-to,13644816,13606115,109767,105927,13605999,109767,105820,7,27,100
30,2018,0,13000,総数,Tokyo-to,13745967,13708281,109767,105971,13708230,109767,105893,7,27,100
30,2018,1,13100,区部,All ku,9514625,9505133,56375,56227,9505133,56375,56227,,13,100
30,2018,2,13101,千代田区,Chiyoda-ku,64584,64584,1102,1102,64584,1102,1102,,-,100
30,2018,2,13102,中央区,Chuo-ku,163752,163752,903,903,163752,903,903,,-,100
30,2018,2,13103,港区,Minato-ku,258696,258507,1986,1970,258507,1986,1970,,1,100
30,2018,2,13104,新宿区,Shinjuku-ku,346425,346425,1798,1798,346425,1798,1798,,1,100
30,2018,2,13105,文京区,Bunkyo-ku,223079,223079,1138,1138,223079,1138,1138,,-,100
30,2018,2,13106,台東区,Taito-ku,200003,200003,856,856,200003,856,856,,-,100
30,2018,2,13107,墨田区,Sumida-ku,272861,272861,1195,1195,272861,1195,1195,,-,100
30,2018,2,13108,江東区,Koto-ku,519259,517634,3432,3396,517634,3432,3396,,2,100
30,2018,2,13109,品川区,Shinagawa-ku,396996,396619,2051,2045,396619,2051,2045,,-,100
30,2018,2,13110,目黒区,Meguro-ku,280241,280241,1440,1440,280241,1440,1440,,-,100
30,2018,2,13111,大田区,Ota-ku,732618,732289,4804,4798,732289,4804,4798,,1,100
30,2018,2,13112,世田谷区,Setagaya-ku,912095,911591,5726,5708,911591,5726,5708,,-,100
30,2018,2,13113,渋谷区,Shibuya-ku,228070,228070,1511,1511,228070,1511,1511,,-,100
30,2018,2,13114,中野区,Nakano-ku,332957,332957,1566,1566,332957,1566,1566,,1,100
30,2018,2,13115,杉並区,Suginami-ku,571512,571178,3338,3332,571178,3338,3332,,-,100
30,2018,2,13116,豊島区,Toshima-ku,289573,289573,1299,1299,289573,1299,1299,,-,100
30,2018,2,13117,北区,Kita-ku,352289,352289,1836,1836,352289,1836,1836,,1,100
30,2018,2,13118,荒川区,Arakawa-ku,216063,216063,887,887,216063,887,887,,1,100
30,2018,2,13119,板橋区,Itabashi-ku,568721,568648,2997,2994,568648,2997,2994,,1,100
30,2018,2,13120,練馬区,Nerima-ku,734689,734448,4684,4677,734448,4684,4677,,-,100
30,2018,2,13121,足立区,Adachi-ku,689242,685796,4787,4778,685796,4787,4778,,2,100
30,2018,2,13122,葛飾区,Katsushika-ku,463099,461869,2996,2961,461869,2996,2961,,1,100
30,2018,2,13123,江戸川区,Edogawa-ku,697801,696657,4043,4037,696657,4043,4037,,1,100
30,2018,1,13200,市部,All shi,4171577,4145722,51375,48042,4145708,51375,47971,7,12,99
30,2018,2,13201,八王子市,Hachioji-shi,561407,557736,8739,8431,557736,8739,8431,1,2,99
30,2018,2,13202,立川市,Tachikawa-shi,183923,183923,2278,2173,183923,2278,2173,,1,100
30,2018,2,13203,武蔵野市,Musashino-shi,146645,146645,1073,1073,146645,1073,1073,,-,100
30,2018,2,13204,三鷹市,Mitaka-shi,187571,187571,1650,1650,187571,1650,1650,,1,100
30,2018,2,13205,青梅市,Ome-shi,133574,130694,2379,2168,130694,2379,2168,,-,98
30,2018,2,13206,府中市,Fuchu-shi,259573,259573,2725,2725,259573,2725,2725,1,1,100
30,2018,2,13207,昭島市,Akishima-shi,113360,113281,1504,1440,113281,1504,1440,1,1,100
30,2018,2,13208,調布市,Chofu-shi,235805,235805,2037,1955,235805,2037,1955,,-,100
30,2018,2,13209,町田市,Machida-shi,428706,423564,5439,5000,423564,5439,5000,,2,99
30,2018,2,13210,小金井市,Koganei-shi,121629,121629,1133,1133,121629,1133,1133,,-,100
30,2018,2,13211,小平市,Kodaira-shi,193588,193588,2046,2046,193588,2046,2046,,-,100
30,2018,2,13212,日野市,Hino-shi,185530,177548,2397,2251,177548,2397,2251,1,1,96
30,2018,2,13213,東村山市,Higashimurayama-shi,150748,150748,1696,1696,150748,1696,1696,,-,100
30,2018,2,13214,国分寺市,Kokubunji-shi,124312,124308,1148,1142,124308,1148,1142,,-,100
30,2018,2,13215,国立市,Kunitachi-shi,75984,75984,792,792,75984,792,792,1,1,100
30,2018,2,13218,福生市,Fussa-shi,57975,57975,1000,653,57975,1000,653,,-,100
30,2018,2,13219,狛江市,Komae-shi,82900,82900,582,582,82900,582,582,,-,100
30,2018,2,13220,東大和市,Higashiyamato-shi,85337,85337,1009,989,85337,1009,989,,-,100
30,2018,2,13221,清瀬市,Kiyose-shi,74714,74709,1019,874,74709,1019,874,1,1,100
30,2018,2,13222,東久留米市,Higashikurume-shi,116719,116719,1292,1292,116719,1292,1292,,-,100
30,2018,2,13223,武蔵村山市,Musashimurayama-shi,72433,72425,1522,1164,72425,1522,1164,,-,100
30,2018,2,13224,多摩市,Tama-shi,148691,148678,2019,2014,148678,2019,2014,,-,100
30,2018,2,13225,稲城市,Inagi-shi,90935,90191,1747,1086,90191,1747,1079,1,1,99
30,2018,2,13227,羽村市,Hamura-shi,55565,55352,905,795,55352,905,795,,-,100
30,2018,2,13228,あきる野市,Akiruno-shi,80731,75617,1659,1333,75603,1659,1269,,-,94
30,2018,2,13229,西東京市,Nishitokyo-shi,203222,203222,1585,1585,203222,1585,1585,,-,100
30,2018,1,13300,郡部,All gun,57072,55673,1930,1618,55636,1930,1611,,1,98
30,2018,2,13303,瑞穂町,Mizuho-machi,33031,32349,929,795,32312,929,788,,-,98
30,2018,2,13305,日の出町,Hinode-machi,16705,16700,700,527,16700,700,527,,-,100
30,2018,2,13307,檜原村,Hinohara-mura,2194,1928,102,97,1928,102,97,,-,88
30,2018,2,13308,奥多摩町,Okutama-machi,5142,4696,199,199,4696,199,199,,1,91
30,2018,1,13350,島部 ,All islands 3),2693,1753,87,84,1753,87,84,,1,65
30,2018,2,13363,新島村,Niijima-mura,2693,1753,87,84,1753,87,84,,1,65
,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,,,,,,,
6-6  地域別下水道の普及状況（平成28～30年度末） 6-6  SEWERAGE SERVICE BY DISTRICT ( End of Fiscal Years 2016-2018 ),,,,,,,,,,,,,,,
注 1) 総人口は，住民基本台帳人口である。　　,,,,,,,,,,,,,,,
2) 終末処理場の数値は流域下水道にかかるものであり，内数である。,,,,,,,,,,,,,,,
3) 島部に関しては，新島村のみ公共下水道である。,,,,,,,,,,,,,,,
Note: 1) Total population data from the Basic Resident Register.,,,,,,,,,,,,,,,
2) Figures in parentheses show the number of sewage treatment plants for a regional sewerage system within the total number (figures on the right).  ,,,,,,,,,,,,,,,
3) In the islands， only Niijima-mura is served by a public sewerage system.,,,,,,,,,,,,,,,
資料：都下水道局総務部広報サービス課，同都市整備局都市基盤部調整課 Source: Bureau of Sewerage， TMG; Bureau of Urban Development， TMG,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,
