年次（平成）,Year,港,Harbor,総数 Total／隻数 Number,総数 Total／総トン数 G/T,内航商船 Coastwise merchant ships／隻数 Number,内航商船 Coastwise merchant ships／総トン数 G/T,漁船，避難船，その他 Fishing boats， ships of refuge etc.／隻数 Number,漁船，避難船，その他 Fishing boats， ships of refuge etc.／総トン数 G/T
26,2014,総数,Total,26636,19912525,10734,19452794,15902,459731
27,2015,総数,Total,22757,18113590,9569,17335425,13188,778165
28,2016,総数,Total,24776,19930909,9814,19531893,14962,399016
29,2017,総数,Total,26172,20540350,9824,19878652,16348,661698
30,2018,総数,Total,27704,18397023,10470,17874823,17234,522200
30,2018,元町港,Motomachi Harbor,1612,816391,1611,816093,1,298
30,2018,岡田港,Okada Harbor,3178,3269941,3166,3266994,12,2947
30,2018,波浮港,Habu Harbor,397,121260,285,97120,112,24140
30,2018,利島港,Toshima Harbor,1221,2456865,1219,2456463,2,402
30,2018,新島港,Niijima Harbor,1449,2879678,1200,2715147,249,164531
30,2018,式根島港,Shikinejima Harbor,1564,12388,-,-,1564,12388
30,2018,神津島港,Kozushima Harbor,3940,737889,470,624419,3470,113470
30,2018,三池港,Miike Harbor,443,1891782,443,1891782,-,-
30,2018,御蔵島港,Mikurajima Harbor,499,2438589,499,2438589,-,-
30,2018,神湊港,Kaminato Harbor,590,1914483,589,1913986,1,497
30,2018,八重根港,Yaene Harbor,31,56002,31,56002,-,-
30,2018,青ヶ島港,Aogashima Harbor,228,120806,222,104776,6,16030
30,2018,二見港,Futami Harbor,9776,1526683,437,1362984,9339,163699
30,2018,沖港,Oki Harbor,2776,154266,298,130468,2478,23798
,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 4　運輸 4　TRANSPORT ,,,,,,,,,
4-21  入港船舶隻数及び総トン数 （平成26～30年）（島しょ港湾） 4-21 NUMBER AND GROSS TONNAGE OF ENTERING VESSELS ( 2014-2018 )( Harbors of Islands ),,,,,,,,,
資料：都港湾局港湾経営部振興課「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,,,,
