項番,観測地,Observatory,平成26年 2014 平均 Average,平成27年 2015 平均 Average,平成28年 2016 平均 Average,平成29年 2017 平均 Average,平成30年 2018 平均 Average,平成30年 2018 平均 Average／1月 Jan.,平成30年 2018 平均 Average／2月 Feb.,平成30年 2018 平均 Average／3月 Mar.,平成30年 2018 平均 Average／4月 Apr.,平成30年 2018 平均 Average／5月 May,平成30年 2018 平均 Average／6月 June,平成30年 2018 平均 Average／7月 July,平成30年 2018 平均 Average／8月 Aug.,平成30年 2018 平均 Average／9月 Sept.,平成30年 2018 平均 Average／10月 Oct.,平成30年 2018 平均 Average／11月 Nov.,平成30年 2018 平均 Average／12月 Dec.
1,東京,Tokyo,16.6,16.4,16.4,15.8,16.8,4.7,5.4,11.5,17,19.8,22.4,28.3,28.1,22.9,19.1,14,8.3
2,江戸川臨海,Edogawarinkai,15.9,16.3,16.5,15.9,16.9,5.2,5.7,11.3,16.8,19.5,22.2,27.6,27.7,23.3,19.6,14.6,8.7
3,練馬,Nerima,15.4,16.1,16.2,15.6,16.6,3.8,4.8,11.1,16.9,20,22.7,28.7,28.3,22.8,18.9,13.6,7.7
4,府中,Fuchu,15.1,15.7,15.8,15.2,16.2,3.5,4.5,10.8,16.5,19.5,22.2,28,27.8,22.4,18.4,13.3,7.4
5,八王子,Hachioji,14.5,15.2,15.3,14.6,15.7,2.6,3.9,10.3,15.9,19.1,22.1,28.1,27.6,22.1,17.8,12.5,6.7
6,青梅,Ome,14.3,15,15,14.4,15.4,2.5,3.3,10,15.5,18.9,21.8,27.9,27.3,21.7,17.5,12.2,6.4
7,小河内,Ogochi,12.1,12.8,12.8,12.1,13.2,1,1.4,7.6,13.6,16.6,19.5,24.9,24.4,19.4,15,9.9,4.8
8,羽田,Haneda,16.3,16.8,16.9,16.3,17.3,5.8,6.1,11.8,17.2,19.9,22.5,28.2,28.3,23.6,19.9,15.1,9.5
9,大島,Oshima,16.2,16.7,17,16.4,17.3,7.1,7.1,12.5,16.6,18.9,21.5,26.9,27,23.2,19.7,15.5,11.2
10,新島,Niijima,17.1,17.5,17.9,17.5,18.5,8.6,8.4,13.8,17.6,20,22.4,27.4,27.8,24.6,21.1,17.4,12.9
11,三宅島,Miyakejima,16.8,18,18.4,17.8,18.8,9.5,9.3,14.3,17.8,20.1,22.6,26.9,27.6,24.9,21.5,17.9,13.6
12,八丈島,Hachijojima,17.6,18.1,18.6,17.7,18.7,9.7,9.3,14.2,17.6,19.7,22.6,26.4,26.9,25.3,21.4,17.5,13.9
13,父島,Chichijima,22.9,23.8,24.2,23.4,24.1,18.4,18.1,20.2,22.3,24.7,27.2,27.8,28.5,28.4,27.5,24.1,21.9
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑 （平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,,,,,,
1-6  観測地別平均気温 （平成26～30年） 1-6  AVERAGE TEMPERATURE BY OBSERVATORY ( 2014-2018 ),,,,,,,,,,,,,,,,,,,
この表の観測地のうち，東京とは東京管区気象台をいい，その他は地域気象観測所又は測候所をいう。,,,,,,,,,,,,,,,,,,,
"""Tokyo"" in this table refers to the Tokyo District Meteorological Observatory， and the others are local observation stations and weather stations.    ",,,,,,,,,,,,,,,,,,,
注 1) 三宅島の平成26年の数値は，欠測等により統計を行う対象資料が許容範囲を越えて欠けている。,,,,,,,,,,,,,,,,,,,
Note: 1) Miyakejima's 2014 figures indicate that an unacceptably large portion of data needed for the calculation was missing due to measurement failure or other reasons. ,,,,,,,,,,,,,,,,,,,
資料：気象庁 Source: Japan Meteorological Agency,,,,,,,,,,,,,,,,,,,
（単位　℃）(In ℃),,,,,,,,,,,,,,,,,,,
