年度(平成),Fiscal year,総数 Total,消防吏員 Uniformed Personnel／計 Total,消防吏員 Uniformed Personnel／消防正監以上 1st Assistant chief or higher ranks,消防吏員 Uniformed Personnel／消防監・消防司令長 Fire warden & assistant chiefs,消防吏員 Uniformed Personnel／消防司令 Fire captains,消防吏員 Uniformed Personnel／消防司令補 Fire lieutenants,消防吏員 Uniformed Personnel／消防士長 Fire sergeants,消防吏員 Uniformed Personnel／消防副士長・消防士 Assistant fire sergeants， firefighters,一般職員 Non-uniformed
30,2018,"18,502",18078,22,413,1513,4518,4949,6663,424
,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,
22-5  職員数 (7) 消防 (平成30年4月1日) 22-5  GOVERNMENT EMPLOYEES (7) FIRE DEPARTMENT ( Apr. 1， 2018 ),,,,,,,,,,
この表の職員数は定数である。,,,,,,,,,,
Figures are the authorized number of staff.,,,,,,,,,,
資料：東京消防庁企画調整部企画課 「東京消防庁統計書」 Source: Tokyo Fire Department,,,,,,,,,,
