年度（平成）,Fiscal Year,人員 Passengers／総数 Total（千人 In thousands of persons),人員 Passengers／営業用 For business／バス Buses（千人 In thousands of persons),人員 Passengers／営業用 For business／乗用 Cars（千人 In thousands of persons),人キロ Passenger-km／総数 Total（千人 In thousands of persons),人キロ Passenger-km／営業用 For business／バス Buses（千人 In thousands of persons),人キロ Passenger-km／営業用 For business／乗用 Cars（千人 In thousands of persons)
25,2013,1165011,815691,349320,9304900,7708862,1596038
26,2014,1151263,821421,329842,8991362,7472885,1518477
27,2015,1157513,843439,314074,9644823,8171069,1473754
28,2016,1180899,866753,314146,10196792,8739225,1457567
29,2017,1215550,890261,325288,10929704,9490794,1438910
,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 4　運輸 4　TRANSPORT ,,,,,,,
4-18  旅客自動車の輸送状況 （平成25～29年度） 4-18 TRANSPORTATION BY PASSENGER CARS ( Fiscal Years 2013-2017 ),,,,,,,
注) 「バス」 とは乗車定員11人以上，「乗用」 とは乗用定員10人以下をいう。,,,,,,,
"Note: ""Bus"" refers to vehicles with a capacity of 11 or more persons and ""car"" refers to vehicles with a capacity up to 10.",,,,,,,
資料：国土交通省 「自動車輸送統計年報」 Source: Ministry of Land， Infrastructure， Transport and Tourism ,,,,,,,
