地域階層,地域コード,地域,District,総数 Total／所有者数 Number of owners,総数 Total／面積 Area,個人 Individual／所有者数 Number of owners,個人 Individual／面積 Area,法人 Companies／所有者数 Number of owners,法人 Companies／面積 Area
0,13100,区部,All ku,1280344,298921,1188552,208557,91792,90364
1,13101,千代田区,Chiyoda-ku,8392,3576,5045,599,3347,2977
1,13102,中央区,Chuo-ku,12336,3125,8026,713,4310,2412
1,13103,港区,Minato-ku,18264,8013,13223,1916,5041,6098
1,13104,新宿区,Shinjuku-ku,38217,8560,32955,4819,5262,3741
1,13105,文京区,Bunkyo-ku,28517,5048,25783,3292,2734,1756
1,13106,台東区,Taito-ku,26962,4320,22509,2431,4453,1889
1,13107,墨田区,Sumida-ku,32779,6222,29558,3919,3221,2302
1,13108,江東区,Koto-ku,34025,13126,30030,3908,3995,9219
1,13109,品川区,Shinagawa-ku,45230,11964,41635,5811,3595,6152
1,13110,目黒区,Meguro-ku,39304,8231,36466,6174,2838,2057
1,13111,大田区,Ota-ku,96532,23318,90121,15791,6411,7527
1,13112,世田谷区,Setagaya-ku,137700,33064,131237,26447,6463,6617
1,13113,渋谷区,Shibuya-ku,28489,7093,24095,3888,4394,3205
1,13114,中野区,Nakano-ku,51068,9428,47936,7575,3132,1853
1,13115,杉並区,Suginami-ku,98091,20761,93840,17707,4251,3054
1,13116,豊島区,Toshima-ku,38786,7376,35413,5270,3373,2106
1,13117,北区,Kita-ku,42740,9629,40213,6002,2527,3627
1,13118,荒川区,Arakawa-ku,26133,5241,24207,3480,1926,1761
1,13119,板橋区,Itabashi-ku,68000,16276,64131,11768,3869,4508
1,13120,練馬区,Nerima-ku,125612,29091,121553,25574,4059,3517
1,13121,足立区,Adachi-ku,107225,26766,102449,20902,4776,5864
1,13122,葛飾区,Katsushika-ku,75336,16253,71978,13018,3358,3235
1,13123,江戸川区,Edogawa-ku,100606,22442,96149,17553,4457,4888
0,13200,市部,All shi,932703,427978,901838,326079,30865,101899
1,13201,八王子市,Hachioji-shi,125357,90438,121303,63194,4054,27244
1,13202,立川市,Tachikawa-shi,31862,13897,30577,10441,1285,3455
1,13203,武蔵野市,Musashino-shi,23054,6779,22021,5426,1033,1353
1,13204,三鷹市,Mitaka-shi,33142,10309,32104,8763,1038,1545
1,13205,青梅市,Ome-shi,36991,60362,35771,41483,1220,18880
1,13206,府中市,Fuchu-shi,45872,15131,44449,11130,1423,4001
1,13207,昭島市,Akishima-shi,21813,9107,20973,5878,840,3229
1,13208,調布市,Chofu-shi,38535,12012,37214,9889,1321,2124
1,13209,町田市,Machida-shi,103115,41934,100247,34427,2868,7508
1,13210,小金井市,Koganei-shi,24204,6672,23462,5793,742,880
1,13211,小平市,Kodaira-shi,49584,13141,47938,10466,1646,2675
1,13212,日野市,Hino-shi,48861,14444,47204,11170,1657,3274
1,13213,東村山市,Higashimurayama-shi,33598,9936,32754,8594,844,1343
1,13214,国分寺市,Kokubunji-shi,27628,8073,26678,6750,950,1323
1,13215,国立市,Kunitachi-shi,13830,4782,13225,3944,605,838
1,13218,福生市,Fussa-shi,11084,3896,10684,3264,400,632
1,13219,狛江市,Komae-shi,18464,3976,17836,3571,628,405
1,13220,東大和市,Higashiyamato-shi,18555,6051,18057,5248,498,803
1,13221,清瀬市,Kiyose-shi,14429,5899,14118,5107,311,792
1,13222,東久留米市,Higashikurume-shi,37615,8463,36623,7200,992,1262
1,13223,武蔵村山市,Musashimurayama-shi,19811,8893,19231,7269,580,1623
1,13224,多摩市,Tama-shi,40989,10127,40129,6714,860,3414
1,13225,稲城市,Inagi-shi,14345,9373,13858,5943,487,3430
1,13227,羽村市,Hamura-shi,13078,6078,12700,4162,378,1916
1,13228,あきる野市,Akiruno-shi,28015,37771,27312,31168,703,6603
1,13229,西東京市,Nishitokyo-shi,58872,10434,55370,9086,3502,1348
,,,,,,,,,
東京都統計年鑑 （平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,
1-4  区市別，所有者別土地所有状況（全地目）（平成30年）1-4  LAND OWNERSHIP BY MUNICIPALITY AND OWNER ( ALL LAND CLASSIFICATION ）( 2018 ),,,,,,,,,
注 1) 課税資料（平成30年1月1日)より作成。,,,,,,,,,
2) 面積は評価総地積(免税点未満を含む)。,,,,,,,,,
3) 区部は区分所有に係る土地を除く。,,,,,,,,,
4) 端数処理のため，各項の和と表示した総数は必ずしも一致しない。,,,,,,,,,
Note: 1) Material prepared from taxation data (Jan. 1， 2018).,,,,,,,,,
2) Total appraised area (including land under the tax exemption limit).,,,,,,,,,
3) Ku area excludes land coming under condominium unit ownership.,,,,,,,,,
4) Figures may not add up to the totals shown due to rounding of figures.,,,,,,,,,
資料：都都市整備局都市づくり政策部広域調整課 「東京の土地(土地関係資料集)」 Source: Bureau of Urban Development， TMG,,,,,,,,,
地域階層（0:区部・市部　1:区市町村）,,,,,,,,,
（単位　面積　千m2）(Area in 1，000 m2),,,,,,,,,
