年度末(平成),End of fiscal year,地域階層,地域コード,地域,District,浄水場数 Purification plants,給水所数 Distribution stations,営業所数 Service stations,配水管 Water pipes／総延長 Total length (m),配水管 Water pipes／配水本管 Water mains (m),配水管 Water pipes／配水小管 Service pipes (m),消火栓数 Fire hydrants,制水弁数 Hydraulic control valves,空気弁数 Air relief valves,排水弁数 Drainage valves
26,2014,0,13000,総数,Tokyo-to,11,58,33,26774392,2428895,24345497,132616,385832,15910,10886
27,2015,0,13000,総数,Tokyo-to,11,58,33,26915097,2453386,24461711,132833,391026,15962,11073
28,2016,0,13000,総数,Tokyo-to,11,58,33,27038163,2476659,24561504,132993,396081,16034,11197
29,2017,0,13000,総数,Tokyo-to,11,58,33,27124951,2494219,24630733,133052,396584,16120,11326
30,2018,0,13000,総数,Tokyo-to,11,59,33,27195414,2504278,24691136,133157,399750,16107,11331
30,2018,1,13100,区部,All ku,5,24,21,16652047,1692171,14959876,90637,257898,9408,7575
30,2018,2,13101,千代田区,Chiyoda-ku,-,-,1,289905,46686,243220,1557,4239,318,216
30,2018,2,13102,中央区,Chuo-ku,-,1,-,316893,39574,277319,1848,5986,344,386
30,2018,2,13103,港　区,Minato-ku,-,1,1,432680,66267,366413,2594,6609,384,335
30,2018,2,13104,新宿区,Shinjuku-ku,-,1,1,554979,66547,488432,3679,8112,336,274
30,2018,2,13105,文京区,Bunkyo-ku,-,1,1,320804,41698,279107,1930,4922,263,208
30,2018,2,13106,台東区,Taito-ku,-,-,-,413448,33998,379450,2412,7456,232,211
30,2018,2,13107,墨田区,Sumida-ku,-,-,1,507465,56154,451312,2868,8597,373,318
30,2018,2,13108,江東区,Koto-ku,-,4,1,757664,107232,650433,3802,10600,689,579
30,2018,2,13109,品川区,Shinagawa-ku,-,-,1,591078,58335,532743,2867,8790,332,352
30,2018,2,13110,目黒区,Meguro-ku,-,1,1,452264,38159,414105,2430,7565,186,211
30,2018,2,13111,大田区,Ota-ku,-,2,1,1185320,117541,1067780,6245,19644,684,684
30,2018,2,13112,世田谷区,Setagaya-ku,2,3,1,1643910,167780,1476130,9078,24141,820,704
30,2018,2,13113,渋谷区,Shibuya-ku,-,-,1,399935,39400,360535,2285,6678,209,144
30,2018,2,13114,中野区,Nakano-ku,-,-,1,555891,48909,506982,2790,8523,302,181
30,2018,2,13115,杉並区,Suginami-ku,1,1,1,1092411,112166,980245,5494,15201,579,364
30,2018,2,13116,豊島区,Toshima-ku,-,-,1,476012,45560,430452,2502,7767,244,239
30,2018,2,13117,北区,Kita-ku,-,-,1,563636,51506,512130,3009,8572,302,235
30,2018,2,13118,荒川区,Arakawa-ku,-,1,1,328580,28813,299767,2083,5960,195,97
30,2018,2,13119,板橋区,Itabashi-ku,1,2,1,856478,97138,759340,4986,12882,462,323
30,2018,2,13120,練馬区,Nerima-ku,-,1,1,1309107,106848,1202259,7324,19129,475,338
30,2018,2,13121,足立区,Adachi-ku,-,2,1,1424446,123981,1300465,7349,21548,595,426
30,2018,2,13122,葛飾区,Katsushika-ku,1,1,1,936598,101829,834768,4801,14365,538,330
30,2018,2,13123,江戸川区,Edogawa-ku,-,2,1,1242542,96052,1146490,6704,20612,546,420
30,2018,1,,市郡部,shi and gun,3,35,12,10532545,801403,9731142,42519,141835,6670,3736
30,2018,2,13201,八王子市,Hachioji-shi,-,14,1,1641776,108560,1533216,6130,22175,1051,466
30,2018,2,13202,立川市,Tachikawa-shi,-,-,1,413221,36389,376832,2053,5608,189,115
30,2018,2,13204,三鷹市,Mitaka-shi,-,-,-,359743,21264,338479,1654,5422,92,62
30,2018,2,13205,青梅市,Ome-shi,-,3,1,596328,30822,565506,3562,7321,557,184
30,2018,2,13206,府中市,Fuchu-shi,-,-,1,596907,53027,543880,3034,8616,214,208
30,2018,2,13208,調布市,Chofu-shi,-,1,1,425482,20216,405267,1876,7029,137,62
30,2018,2,13209,町田市,Machida-shi,-,1,1,1303173,145874,1157299,3911,16030,910,521
30,2018,2,13210,小金井市,Koganei-shi,-,-,-,238627,16425,222202,1146,3233,98,109
