地域階層,地域コード,項番 Item number,地域,District,総数 Total／延長 Length,総数 Total／面積 Area,東京都管理道路 Metropolitan operated roads／延長 Length,東京都管理道路 Metropolitan operated roads／面積 Area,東京都管理道路 Metropolitan operated roads／一般国道(指定区間外) General national highways  a)／延長 Length,東京都管理道路 Metropolitan operated roads／一般国道(指定区間外) General national highways  a)／面積 Area,東京都管理道路 Metropolitan operated roads／主要地方道 Main regional roads／延長 Length,東京都管理道路 Metropolitan operated roads／主要地方道 Main regional roads／面積 Area,東京都管理道路 Metropolitan operated roads／一般都道 General metropolitan roads／延長 Length,東京都管理道路 Metropolitan operated roads／一般都道 General metropolitan roads／面積 Area,東京都管理道路 Metropolitan operated roads／特例都道 Specially authorized metropolitan roads／延長 Length,東京都管理道路 Metropolitan operated roads／特例都道 Specially authorized metropolitan roads／面積 Area,一般国道(指定区間) General national highways( Designated section )／延長 Length,一般国道(指定区間) General national highways( Designated section )／面積 Area,東・中日本高速道路(株) East Nippon Expressway Company Limited・Central Nippon Expressway Company Limited／延長 Length,東・中日本高速道路(株) East Nippon Expressway Company Limited・Central Nippon Expressway Company Limited／面積 Area,首都高速道路(株) Metropolitan Expressway Company Limited／延長 Length,首都高速道路(株) Metropolitan Expressway Company Limited／面積 Area,区市町村道 Roads of kushimachi and mura／延長 Length,区市町村道 Roads of kushimachi and mura／面積 Area
0,,,総数,Tokyo-to,24647916,188847170,2243270,41694553,74253,1217568,976746,21125277,811928,11102773,380343,8248935,245560,7454996,78247,3970977,201954,5485222,21878885,130241422
1,13100,,区部,All ku,11976665,103599046,892465,21515475,17889,452363,458443,12193945,35790,620232,380343,8248935,166999,5539606,15262,501028,201954,5485222,10699985,70557715
2,13101,1,千代田区,Chiyoda-ku,175573,2785250,24879,834241,-,-,9687,331724,-,-,15192,502517,10279,399747,-,-,9958,234063,130457,1317199
2,13102,2,中央区,Chuo-ku,194262,2977204,21161,795200,-,-,12331,481694,-,-,8830,313506,5151,161891,-,-,11841,325910,156109,1694203
2,13103,3,港区,Minato-ku,303739,4392587,47754,1532330,480,14309,19065,593760,-,-,28209,924261,13946,516830,-,-,20207,485791,221832,1857636
2,13104,4,新宿区,Shinjuku-ku,356822,3407629,50793,1350581,-,-,30843,796661,-,-,19950,553920,4257,126393,-,-,5230,128182,296542,1802473
2,13105,5,文京区,Bunkyo-ku,207455,1953964,26108,651096,-,-,7500,228276,-,-,18608,422820,8173,202824,-,-,2281,55425,170893,1044619
2,13106,6,台東区,Taito-ku,258517,2626083,21319,548096,-,-,8808,210001,-,-,12511,338095,6548,251841,-,-,2105,39693,228545,1786453
2,13107,7,墨田区,Sumida-ku,296931,2957466,26716,624144,-,-,9336,229065,-,-,17380,395079,6574,184394,-,-,9504,209661,254137,1939267
2,13108,8,江東区,Koto-ku,395914,5744012,55077,1736391,-,-,29984,1013329,-,-,25093,723062,9839,371071,-,-,16899,565663,314099,3070887
