年度,Fiscal year,系統,Line,営業キロ Length of line(km),駅数 Stations,在籍車両数／Vehicles owned,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets,使用車両数 Vehicles used,走行キロ数 Running distance km／列車 Trains,走行キロ数 Running distance km／客車 Vehicles,輸送人員 Passengers 1),旅客運賃収入 Passenger fares revenue(千円 1000yen),使用電力量 Electric power used(Kwh)
26,2014,総数,Total,106.2,105,1132,6296239,4040701,2255538,336656,14968214,114922289,901628728,138686672,242208502
27,2015,総数,Total,106.2,105,1146,6528128,4179198,2348930,337908,15005822,115813123,936899885,144872953,241504843
28,2016,総数,Total,106.2,105,1132,6699846,4308009,2391837,340756,15022075,117161240,959949517,147769075,241139060
29,2017,総数,Total,106.2,105,1142,6920468,4479676,2440792,348702,14985474,117668756,990223782,150957717,239839716
30,2018,総数,Total,106.2,105,1174,7111076,4608597,2502479,344942,15032237,118601619,1015046543,154647864,242169959
30,2018,浅草線,Asakusa Line,18.3,20,224,1470358,902108,568250,69212,2818157,22545252,279192662,34999525,42846051
30,2018,三田線,Mita Line,26.5,27,222,1633974,1133597,500377,63804,3531338,21188029,245549506,32552195,40128708
30,2018,新宿線,Shinjuku Line,20.7,20,264,1921985,1275507,646478,81258,3007387,29465486,274414500,40332840,57667200
30,2018,大江戸線,Oedo Line,40.7,38,464,2084759,1297386,787373,130668,5675356,45402852,356589209,46763304,101528000
,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,
4-14  地下鉄の運輸成績 (2)  都営　 (平成26～30年度） 4-14 TRANSPORTATION OF SUBWAYS (2) METROPOLITAN  ( Fiscal Years 2014-2018 ),,,,,,,,,,,,,,,
注 1) 「輸送人員」の総数は乗り換えによる重複分があるため， 内訳の計と一致しない。,,,,,,,,,,,,,,,
2) 新宿線の使用車両数， 旅客運賃収入及び使用電力量には， 都外分を含む。,,,,,,,,,,,,,,,
Note: 1) As the transfer passengers are doubly counted， the passenger total of each line differs from the summing up.,,,,,,,,,,,,,,,
2) “Vehicles used ” ， “Passenger fares revenue” and “Electric power used” of the Shinjuku Line include figures for another prefecture.,,,,,,,,,,,,,,,
資料：都交通局総務部企画調整課 Source: Bureau of Transportation， TMG,,,,,,,,,,,,,,,
