年度末(平成),End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,飲食店 Eateries／総数 Total,飲食店 Eateries／旅館・ホテル Ryokan ･ hotel,飲食店 Eateries／バー・キャバレー Bars ･ cabarets,飲食店 Eateries／一般飲食店 Restaurant,飲食店 Eateries／民生食堂 Low-cost eatery,飲食店 Eateries／すし屋 Sushi restaurant,飲食店 Eateries／そば屋 Soba restaurant,飲食店 Eateries／仕出し屋 Caterer,飲食店 Eateries／弁当屋 Bento shop,飲食店 Eateries／そうざい店 Deli,飲食店 Eateries／その他 Others,喫茶店 Caf?s／店舗 Shop,喫茶店 Caf?s／その他 Others,乳類販売業 Dairy product sales,食肉販売業 Processed meat sales,魚介類販売業 Seafood sales,食料品等販売業 Food sales,アイスクリーム販売業 Ice cream sales,菓子販売業 Confectionary sales,魚介類加工品販売業 Fishery products sales
26,2014,0,13000,,総数,Tokyo-to,191781,1806,9902,138770,31,4859,5481,1665,6894,8307,14066,2355,20895,27994,14511,15187,29542,20587,27571,13494
27,2015,0,13000,,総数,Tokyo-to,191591,1788,9894,138618,28,4696,5240,1640,6777,8211,14699,2487,20151,27298,14574,15196,29060,20679,27693,13594
28,2016,0,13000,,総数,Tokyo-to,192182,1809,9999,138807,28,4560,5039,1614,6770,8109,15447,2590,18992,26786,14625,15274,29244,20704,27734,13615
29,2017,0,13000,,総数,Tokyo-to,192469,1878,9860,139068,26,4492,4861,1619,6765,8074,15826,2676,17598,26209,14791,15376,29416,20621,27721,13614
30,2018,0,13000,,総数,Tokyo-to,192934,1928,9915,139188,23,4448,4706,1641,6688,8000,16397,2834,16588,25897,14909,15117,29788,20493,27629,13552
30,2018,1,13100,1,区部,All ku,158172,1235,8855,115811,23,3639,3861,1247,5019,6391,12091,2264,13172,19468,11351,11645,23008,13338,19807,8146
30,2018,2,13101,2,千代田区,Chiyoda-ku,8866,79,148,6846,-,180,298,14,199,390,712,158,1630,1239,427,423,1784,191,647,145
30,2018,2,13102,3,中央区,Chuo-ku,11413,132,1968,7500,1,467,243,34,216,222,630,315,1072,885,552,657,1457,294,715,171
30,2018,2,13103,4,港区,Minato-ku,15948,89,915,12524,2,393,275,55,181,545,969,173,2059,1489,707,643,1970,431,474,425
30,2018,2,13104,5,新宿区,Shinjuku-ku,14538,146,1604,11355,-,227,194,59,100,161,692,121,795,1129,653,625,1429,599,1305,291
30,2018,2,13105,6,文京区,Bunkyo-ku,3594,35,65,2803,2,82,125,36,139,70,237,49,302,511,237,235,593,313,515,168
30,2018,2,13106,7,台東区,Taito-ku,8100,230,436,5614,5,185,212,37,198,205,978,137,392,588,398,372,805,635,1108,263
30,2018,2,13107,8,墨田区,Sumida-ku,4729,46,438,3115,6,99,144,50,175,182,474,63,241,529,373,362,659,1269,1120,533
30,2018,2,13108,9,江東区,Koto-ku,5863,25,41,4304,1,117,137,68,263,205,702,76,911,1087,584,1108,1417,559,873,400
30,2018,2,13109,10,品川区,Shinagawa-ku,5958,57,317,4032,2,159,176,56,173,452,534,51,786,852,470,446,894,691,624,600
30,2018,2,13110,11,目黒区,Meguro-ku,4078,11,102,3047,-,103,91,49,112,224,339,96,211,460,257,237,525,132,386,104
30,2018,2,13111,12,大田区,Ota-ku,7763,55,231,5383,-,171,193,82,419,341,888,81,754,1452,815,892,1608,631,991,745
30,2018,2,13112,13,世田谷区,Setagaya-ku,8387,5,38,6432,-,172,220,113,342,364,701,142,441,1205,742,723,1361,1084,2012,605
30,2018,2,13113,14,渋谷区,Shibuya-ku,10081,91,765,7887,-,169,160,33,198,193,585,268,806,873,468,436,1088,343,1101,290
30,2018,2,13114,15,中野区,Nakano-ku,3817,3,187,2956,1,129,100,28,122,94,197,42,198,468,306,297,483,351,707,304
30,2018,2,13115,16,杉並区,Suginami-ku,5745,13,92,4465,-,118,141,58,225,249,384,75,220,694,452,436,772,712,752,388
30,2018,2,13116,17,豊島区,Toshima-ku,6922,100,546,5099,1,147,165,45,231,251,337,118,348,780,461,427,850,302,766,314
30,2018,2,13117,18,北区,Kita-ku,4051,16,202,2995,-,80,98,48,184,194,234,38,258,590,340,315,557,557,642,396
30,2018,2,13118,19,荒川区,Arakawa-ku,2299,17,30,1640,1,62,86,36,119,214,94,21,133,346,227,206,324,387,501,233
30,2018,2,13119,20,板橋区,Itabashi-ku,4768,4,75,3439,1,101,143,70,268,250,417,43,407,863,528,504,841,702,840,161
30,2018,2,13120,21,練馬区,Nerima-ku,4684,4,163,3205,-,110,158,91,265,241,447,64,275,830,555,523,819,596,809,460
30,2018,2,13121,22,足立区,Adachi-ku,6101,32,43,4122,-,132,198,81,341,633,519,44,396,996,694,708,1139,885,1250,214
30,2018,2,13122,23,葛飾区,Katsushika-ku,4572,11,163,3009,-,95,169,50,243,475,357,41,244,681,456,425,691,893,680,454
30,2018,2,13123,,江戸川区,Edogawa-ku,5895,34,286,4039,-,141,135,54,306,236,664,48,293,921,649,645,942,781,989,482
30,2018,1,13200,1,市部,All shi,33132,240,1046,22550,-,784,810,378,1598,1523,4203,541,3340,6161,3401,3302,6432,6763,7243,5196
30,2018,2,13201,2,八王子市,Hachioji-shi,4912,47,225,3272,-,106,97,47,161,135,822,70,506,877,474,474,928,848,1017,674
30,2018,2,13202,3,立川市,Tachikawa-shi,2575,31,152,1714,-,38,48,14,105,96,377,34,254,379,210,205,397,370,579,348
