年次（平成）,Year,月次,Month,旅客数 Passenger／国内線 Domestic／乗客 Embarked,旅客数 Passenger／国内線 Domestic／降客 Disembarked,旅客数 Passenger／国際線 International／乗客 Embarked,旅客数 Passenger／国際線 International／降客 Disembarked,旅客数 Passenger／国際線 International／通過 Direct transit,貨物 Freight／国内線 Domestic／積荷 Loaded(t),貨物 Freight／国内線 Domestic／降荷 Unloaded(t),貨物 Freight／国際線 International／積荷 Loaded(t),貨物 Freight／国際線 International／降荷 Unloaded(t),郵便物 Mail／国内線 Domestic／積荷 Loaded(t),郵便物 Mail／国内線 Domestic／降荷 Unloaded(t),郵便物 Mail／国際線 International／積荷 Loaded(t),郵便物 Mail／国際線 International／降荷 Unloaded(t)
26,2014,,,31088746,31074067,5297278,5214671,69001,360945,404600,123335,145770,33047,16086,10354,14952
27,2015,,,31268972,31231517,6326645,6310755,117053,354054,401774,156771,175294,33087,18648,18948,15176
28,2016,,,32453768,32481295,7535889,7506839,132011,350090,380687,194460,225555,33281,18394,19470,15993
29,2017,,,34187100,34218189,8382572,8347678,164762,349079,394463,249751,291388,32641,19918,20817,20297
30,2018,,,33430912,33493850,8895477,8890255,183248,324058,359554,281121,306410,32300,18227,22167,21147
30,2018,1,Jan.,2380737,2673042,691342,697255,20576,23308,26914,20791,23402,2596,1639,1957,1722
30,2018,2,Feb.,2498496,2498705,690696,658435,13372,23663,27005,19756,20128,2401,1406,1884,1468
30,2018,3,Mar.,2909338,2925420,752097,814150,10297,28811,33508,24634,25145,2888,1665,2031,1854
30,2018,4,Apr.,2626402,2535257,767903,723327,10856,25691,30201,23592,24786,2647,1506,1895,1719
30,2018,5,May,2696265,2808888,704582,717599,18057,23916,27804,22565,24005,2599,1495,2009,1748
30,2018,6,June,2677240,2649281,717042,724637,21932,25693,28002,23670,25737,2823,1544,1737,1617
30,2018,7,July,2836052,2775918,760641,756112,21233,28829,32785,23447,26805,2541,1387,1577,1595
30,2018,8,Aug.,3225895,3270300,804105,773906,14491,27579,30218,23372,26670,2475,1345,1639,1517
30,2018,9,Sept.,2724721,2787530,741647,775056,11887,27145,29247,25787,29454,2475,1272,1824,1648
30,2018,10,Oct.,2983125,2958650,760815,766527,12596,29263,30227,25726,26217,2892,1488,1772,1802
30,2018,11,Nov.,2963528,2962550,751637,743070,10719,27891,28895,24457,27510,2763,1662,1795,2129
30,2018,12,Dec.,2909113,2648309,752970,740181,17232,32269,34748,23324,26551,3199,1816,2048,2329
,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,
4-23　航空輸送量 (1)　東京国際空港 (羽田) (平成26～30年) 4-23 TRANSPORTATION BY ＡIR (1) TOKYO INTERNATIONAL AIRPORT ( HANEDA ) ( 2014-2018 ),,,,,,,,,,,,,,,,
資料：国土交通省「航空管理状況調書」 Source: Ministry of Land， Infrastructure， Transport and Tourism,,,,,,,,,,,,,,,,
