年次,Year,地域階層,地区コード,地域,District,総数 Total,男 Male,女 Female
平成27年,2015,0,13000,東京都,Tokyo-to,10922566,5359997,5562569
平成28年,2016,0,13000,東京都,Tokyo-to,11223882,5508260,5715622
平成29年,2017,0,13000,東京都,Tokyo-to,11296210,5537498,5758712
平成30年,2018,0,13000,東京都,Tokyo-to,11360577,5561267,5799310
令和元年,2019,0,13000,東京都,Tokyo-to,11430254,5589151,5841103
令和元年,2019,1,13100,区部,All ku,7873255,3842344,4030911
令和元年,2019,3,13101,千代田区,Chiyoda-ku,52556,26189,26367
令和元年,2019,3,13102,中央区,Chuo-ku,133773,62778,70995
令和元年,2019,3,13103,港区,Minato-ku,203251,93326,109925
令和元年,2019,3,13104,新宿区,Shinjuku-ku,273676,136567,137109
令和元年,2019,3,13105,文京区,Bunkyo-ku,182434,85675,96759
令和元年,2019,3,13106,台東区,Taito-ku,165638,84939,80699
令和元年,2019,3,13107,墨田区,Sumida-ku,229110,113685,115425
令和元年,2019,3,13108,江東区,Koto-ku,418740,205730,213010
令和元年,2019,3,13109,品川区,Shinagawa-ku,335166,163391,171775
令和元年,2019,3,13110,目黒区,Meguro-ku,237323,110368,126955
令和元年,2019,3,13111,大田区,Ota-ku ,618618,306517,312101
令和元年,2019,3,13112,世田谷区,Setagaya-ku,769272,358858,410414
令和元年,2019,3,13113,渋谷区,Shibuya-ku,192498,91032,101466
令和元年,2019,3,13114,中野区,Nakano-ku,282247,142045,140202
令和元年,2019,3,13115,杉並区,Suginami-ku,487736,231479,256257
令和元年,2019,3,13116,豊島区,Toshima-ku,232990,116719,116271
令和元年,2019,3,13117,北区,Kita-ku,290612,143474,147138
令和元年,2019,3,13118,荒川区,Arakawa-ku,170743,84607,86136
令和元年,2019,3,13119,板橋区,Itabashi-ku,472921,231194,241727
令和元年,2019,3,13120,練馬区,Nerima-ku,614671,296200,318471
令和元年,2019,3,13121,足立区,Adachi-ku,567195,284764,282431
令和元年,2019,3,13122,葛飾区,Katsushika-ku,380791,189640,191151
令和元年,2019,3,13123,江戸川区,Edogawa-ku,561294,283167,278127
令和元年,2019,1,13200,市部,All shi,3487348,1711686,1775662
令和元年,2019,3,13201,八王子市,Hachioji-shi,471117,234647,236470
令和元年,2019,3,13202,立川市,Tachikawa-shi,153773,76299,77474
令和元年,2019,3,13203,武蔵野市,Musashino-shi,124017,58606,65411
令和元年,2019,3,13204,三鷹市,Mitaka-shi,156957,75964,80993
令和元年,2019,3,13205,青梅市,Ome-shi,113867,57156,56711
令和元年,2019,3,13206,府中市,Fuchu-shi,215085,108193,106892
令和元年,2019,3,13207,昭島市,Akishima-shi,94154,46834,47320
令和元年,2019,3,13208,調布市,Chofu-shi,197671,95652,102019
令和元年,2019,3,13209,町田市,Machida-shi,357464,173535,183929
令和元年,2019,3,13210,小金井市,Koganei-shi,101896,49831,52065
令和元年,2019,3,13211,小平市,Kodaira-shi,159514,77792,81722
令和元年,2019,3,13212,日野市,Hino-shi,155018,77454,77564
令和元年,2019,3,13213,東村山市,Higashimurayama-shi,126882,61425,65457
令和元年,2019,3,13214,国分寺市,Kokubunji-shi,104509,51042,53467
令和元年,2019,3,13215,国立市,Kunitachi-shi,64176,31029,33147
令和元年,2019,3,13218,福生市,Fussa-shi,47151,23526,23625
令和元年,2019,3,13219,狛江市,Komae-shi,70650,33836,36814
令和元年,2019,3,13220,東大和市,Higashiyamato-shi,71039,34927,36112
令和元年,2019,3,13221,清瀬市,Kiyose-shi,62501,29934,32567
令和元年,2019,3,13222,東久留米市,Higashikurume-shi,97976,47425,50551
令和元年,2019,3,13223,武蔵村山市,Musashimurayama-shi,58835,29368,29467
令和元年,2019,3,13224,多摩市,Tama-shi,125731,61237,64494
令和元年,2019,3,13225,稲城市,Inagi-shi,73944,37018,36926
令和元年,2019,3,13227,羽村市,Hamura-shi,46012,23452,22560
令和元年,2019,3,13228,あきる野市,Akiruno-shi,67442,33478,33964
令和元年,2019,3,13229,西東京市,Nishitokyo-shi,169967,82026,87941
令和元年,2019,1,13300,郡部,All gun,48115,24074,24041
令和元年,2019,3,13303,瑞穂町,Mizuho-machi,27602,14021,13581
令和元年,2019,3,13305,日の出町,Hinode-machi,13886,6772,7114
令和元年,2019,3,13307,檜原村,Hinohara-mura,2000,982,1018
令和元年,2019,3,13308,奥多摩町,Okutama-machi,4627,2299,2328
令和元年,2019,1,13350,島部,All Islands,21536,11047,10489
令和元年,2019,2,13360,大島支庁,Oshima-shicho,10588,5308,5280
令和元年,2019,3,13361,大島町,Oshima-machi,6422,3224,3198
令和元年,2019,3,13362,利島村,Toshima-mura,255,144,111
令和元年,2019,3,13363,新島村,Niijima-mura,2350,1148,1202
令和元年,2019,3,13364,神津島村,Kouzushima-mura,1561,792,769
令和元年,2019,2,13380,三宅支庁,Miyake-shicho,2420,1333,1087
令和元年,2019,3,13381,三宅村,Miyake-mura,2171,1205,966
令和元年,2019,3,13382,御蔵島村,Mikurajima-mura,249,128,121
令和元年,2019,2,13400,八丈支庁,Hachijo-shicho,6409,3228,3181
令和元年,2019,3,13401,八丈町,Hachijo-machi,6263,3141,3122
令和元年,2019,3,13402,青ヶ島村,Aogashima-mura,146,87,59
令和元年,2019,2,13420,小笠原支庁,Ogasawara-shicho,2119,1178,941
令和元年,2019,3,13421,小笠原村,Ogasawara-mura,2119,1178,941
,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,
22-1  選挙人名簿登録者数 (平成27～令和元年) 22-1  PERSONS REGISTERED ON POLL BOOKS ( 2015-2019 ),,,,,,,,
平成28年までは各年9月2日現在。,,,,,,,,
平成29年からは9月1日現在。,,,,,,,,
Until 2016， figures are as of Sept. 2 of each year. ,,,,,,,,
From 2017， figures are as of Sept. 1 of each year.,,,,,,,,
注) 公職選挙法の改正により平成28年6月19日から，選挙人名簿登録の申請をすることができる者の年齢が，満18歳以上に引き下げされた。 ,,,,,,,,
Note: With the revision to the Public Offices Election Act， the minimum age to be registered on the poll book was lowered to 18 as of June 19， 2016.,,,,,,,,
資料：都選挙管理委員会事務局 「選挙人名簿登録者数」 Source: Metropolitan Election Administration Commission,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:各支庁　3:区市町村),,,,,,,,
