地域階層,地域コード,地域,District,除却 Removed／建築物数 Number,除却 Removed／床面積の合計 Total floor space,除却 Removed／建築物評価額 Estimated value,災害 Damaged by disasters／建築物数 Number,災 害Damaged by disasters／床面積の合計 Total floor space,災害 Damaged by disasters／建築物損害見積額 Estimated damages
0,13000,総数,Tokyo-to,7394,2493722,5446846,144,8647,70804
1,13100,区部,All ku,5052,2040722,4248698,115,6937,62317
2,13101,千代田区,Chiyoda-ku,128,311059,164219,1,96,3132
2,13102,中央区,Chuo-ku,338,453651,1832915,6,711,16645
2,13103,港区,Minato-ku,84,142991,574627,1,26,748
2,13104,新宿区,Shinjuku-ku,142,51275,87389,1,54,181
2,13105,文京区,Bunkyo-ku,72,22660,36506,-,-,-
2,13106,台東区,Taito-ku,113,77211,175913,4,119,845
2,13107,墨田区,Sumida-ku,97,29731,138208,6,213,213
2,13108,江東区,Koto-ku,113,68714,52772,11,315,942
2,13109,品川区,Shinagawa-ku,240,53779,58180,2,268,2560
2,13110,目黒区,Meguro-ku,181,47340,121836,-,-,-
2,13111,大田区,Ota-ku,392,78886,43492,7,653,1056
2,13112,世田谷区,Setagaya-ku,694,167905,132646,10,457,3199
2,13113,渋谷区,Shibuya-ku,100,76562,240798,3,242,625
2,13114,中野区,Nakano-ku,187,25266,28173,-,-,-
2,13115,杉並区,Suginami-ku,342,49416,57040,12,504,1521
2,13116,豊島区,Toshima-ku,195,36764,79180,-,-,-
2,13117,北区,Kita-ku,194,47271,27855,-,-,-
2,13118,荒川区,Arakawa-ku,105,18047,28594,1,54,494
2,13119,板橋区,Itabashi-ku,262,65471,39006,21,941,11494
2,13120,練馬区,Nerima-ku,440,70827,71534,3,78,440
2,13121,足立区,Adachi-ku,257,70806,177783,13,834,8090
2,13122,葛飾区,Katsushika-ku,169,22305,48890,-,-,-
2,13123,江戸川区,Edogawa-ku,207,52785,31142,13,1372,10132
1,13200,市部,All shi,2298,448402,1192632,29,1710,8487
2,13201,八王子市,Hachioji-shi,300,52721,218874,6,250,2601
2,13202,立川市,Tachikawa-shi,106,28861,18534,5,513,2052
2,13203,武蔵野市,Musashino-shi,134,22907,27655,2,270,-
2,13204,三鷹市,Mitaka-shi,91,11243,19960,2,117,1870
2,13205,青梅市,Ome-shi,41,5988,10408,-,-,-
2,13206,府中市,Fuchu-shi,122,16185,106687,-,-,-
2,13207,昭島市,Akishima-shi,69,9436,5118,-,-,-
2,13208,調布市,Chofu-shi,111,48462,18710,5,150,1
2,13209,町田市,Machida-shi,171,59256,497259,5,277,1210
2,13210,小金井市,Koganei-shi,74,12903,26820,-,-,-
2,13211,小平市,Kodaira-shi,129,19274,29892,-,-,-
2,13212,日野市,Hino-shi,101,34929,31716,2,58,245
2,13213,東村山市,Higashimurayama-shi,63,14441,4439,-,-,-
2,13214,国分寺市,Kokubunji-shi,86,14827,15866,-,-,-
2,13215,国立市,Kunitachi-shi,43,6356,5478,-,-,-
2,13218,福生市,Fussa-shi,26,3361,2425,-,-,-
2,13219,狛江市,Komae-shi,56,5604,4893,-,-,-
2,13220,東大和市,Higashiyamato-shi,41,3258,2906,-,-,-
2,13221,清瀬市,Kiyose-shi,40,3657,3333,-,-,-
2,13222,東久留米市,Higashikurume-shi,39,17862,5496,-,-,-
2,13223,武蔵村山市,Musashimurayama-shi,26,2730,2550,-,-,-
2,13224,多摩市,Tama-shi,48,20352,91093,-,-,-
2,13225,稲城市,Inagi-shi,39,5508,5914,-,-,-
2,13227,羽村市,Hamura-shi,21,2563,3351,-,-,-
2,13228,あきる野市,Akiruno-shi,237,13616,11214,-,-,-
2,13229,西東京市,Nishitokyo-shi,84,12102,22041,2,75,508
1,13300,郡部，島部,All gun and islands,44,4598,5516,-,-,-
,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,
3-13  地域別滅失建築物（平成30年） 3-13  DESTROYED BUILDINGS BY DISTRICT ( 2018 ),,,,,,,,,
この表は建築基準法により， 工事施工者から知事に届出のあった建築物除去届及び市町村長からの建築物災害報告によって作成されたもので，対象は床面積の合計が10平方メートルを越える建築物である。,,,,,,,,,
This table is based on notifications of building removal submitted to the Governor by contractors， and reports on buildings damaged by disasters submitted by the heads of shi， machi， and mura， and covers buildings with total floor space of  more than 10 square meters.  ,,,,,,,,,
資料：都都市整備局市街地建築部建築企画課 Source: Bureau of Urban Development， TMG,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部及び島部　 2:区市）,,,,,,,,,
（単位　面積　平方メートル， 金額　万円）(Space in m2， Value in 10 thousand of yen),,,,,,,,,
