年次（平成）,Year,月次,month,平均海面気圧 Average atmospheric pressure (sea level) (hPa),気温 Temperature／平均 Average (℃),気温 Temperature／最高気温平均 Average highs (℃) ,気温 Temperature／最低気温平均 Average lows (℃),湿度 Humidity／平均 Average (%),湿度 Humidity／最小湿度 Minimum humidity／湿度 Humidity (%),湿度 Humidity／最小湿度 Minimum humidity／月/日 Month/Date,平均雲量 Average amount of clouds (0-10),日照 Sunshine／日照時間 Duration of sunshine (Hour),日照 Sunshine／日照率 Percentage of sunshine (%),風速 Wind speed／平均 Average (m/s),風速 Wind speed／最大風速 Maximum wind speed／風速 Speed (m/s),風速 Wind speed／最大風速 Maximum wind speed／方向 Direction,風速 Wind speed／最大風速 Maximum wind speed／月/日 Month/Date,降水 Precipitation／総数 Total precipitation (mm),降水 Precipitation／最大日量 Maximum daily precipitation／降水量 Precipitation (mm),降水 Precipitation／最大日量 Maximum daily precipitation／月/日 Month/Date,降水 Precipitation／日数 Number of days／≧0.5mm,降水 Precipitation／日数 Number of days／≧1.0mm,降水 Precipitation／日数 Number of days／≧10mm,降水 Precipitation／日数 Number of days／≧30mm,天気日数 Weather days／快晴 Clear,天気日数 Weather days／曇天 Cloudy,天気日数 Weather days／雨 Rainy,天気日数 Weather days／雪 Snowy,天気日数 Weather days／積雪 Snow cover,天気日数 Weather days／霧 Fog,天気日数 Weather days／雷 Thunder storm,天気日数 Weather days／不照 No sunshine,天気日数 Weather days／風速10m以上 Maximum wind speed 10m/s or more,地震回数（震度1以上）Earthquakes on record (seismic intensity of one or greater)
8,1996,総数,Total,1013.9,15.8,19.7,12.3,62,11,1996/3/16,6.5,1984.2,45,3.3,17,北北西 NNW,1996/9/22,1333.5,259.5,1996/9/22,100,90,34,10,32,131,100,12,5,1,9,48,20,57
9,1997,総数,Total,1013.7,16.7,20.6,13.2,63,11,1997/4/25，1997/4/26,6.3,2063.9,47,3.4,15.4,南西 SW,1997/5/8,1302,98.5,1997/8/23,106,93,44,10,44,133,106,3,-,4,12,56,18,64
10,1998,総数,Total,1014.6,16.7,20.5,13.4,68,11,1998/1/24,7.2,1535.4,35,3.2,12.9,南西 SW,1998/3/20,1546.5,94,1998/9/16,132,119,52,16,30,182,132,11,14,2,13,77,13,24
11,1999,総数,Total,1013.6,17,20.9,13.6,62,11,1999/12/21,6.3,2008.1,45,3.3,13.9,北北西 NNW,1999/3/22,1622,130.5,1999/7/13,103,94,44,16,46,133,103,5,1,5,7,52,17,14
12,2000,総数,Total,1013.4,16.9,20.6,13.6,60,10,2000/1/21,6.4,1962.5,44,3.2,13.8,北西 NW,2000/3/20,1603,115,2000/7/8,112,96,52,13,33,131,112,7,2,1,22,60,18,27
13,2001,総数,Total,1013.3,16.5,20.4,13.1,59,10,2001/12/14,6.2,1976.5,45,3.2,17.7,北東 NE ,2001/9/11,1491,186,2001/10/10,103,93,46,10,49,139,103,13,7,-,12,54,10,24
14,2002,総数,Total,1013.4,16.7,20.5,13.4,59,9,2002/3/18,6.5,1990,45,3.2,13.9,西 W ,2002/10/1,1294.5,107.5,2002/9/6,105,94,37,11,48,150,105,5,-,-,17,77,16,42
15,2003,総数,Total,1014.4,16,19.6,12.8,61,6,2003/2/28,7,1723.2,39,3.1,11.4,北北西 NNW,2003/4/21,1854,151,2003/8/15,136,113,49,18,34,172,136,10,3,3,6,86,10,43
16,2004,総数,Total,1014.3,17.3,21.3,13.9,58,9,2004/4/29,6.3,2132.7,48,3.7,17.5,南西 SW,2004/12/5,1750,222.5,2004/10/9,105,93,47,11,33,128,105,7,1,2,14,59,38,67
17,2005,総数,Total,1012.8,16.2,20,12.8,57,9,2005/3/21,6.4,1965,44,3.4,13.4,北東 NE,2005/8/26,1482,74.5,2005/7/26,103,94,49,14,39,138,103,14,5,-,12,54,26,85
18,2006,総数,Total,1013.8,16.4,19.9,13.4,61,10,2006/3/24,7.1,1587.8,36,3.4,13.5,北北西 NNW,2006/10/6,1740,154.5,2006/12/26,121,106,50,15,34,175,121,12,5,2,20,80,27,55
19,2007,総数,Total,1013.6,17,20.7,13.7,58,10,2007/4/14,6.5,1996,45,3.4,14.9,東南東 ESE,2007/9/6,1332,88.5,2007/10/27,105,89,40,13,35,137,105,3,-,1,18,60,23,67
20,2008,総数,Total,1014,16.4,20.1,13.3,60,9,2008/4/22，2008/4/23,6.9,1857.8,42,2.8,14.2,北西 NW,2008/2/24,1857.5,111.5,2008/8/5,125,115,56,14,37,156,125,9,5,-,25,66,10,60
21,2009,総数,Total,1013.3,16.7,20.2,13.6,60,11,2009/4/9,7,1783.3,40,2.9,13.1,南 S,2009/10/8,1801.5,127,2009/10/8,116,105,48,19,31,171,116,8,2,-,11,73,13,49
22,2010,総数,Total,1014.1,16.9,20.7,13.6,61,11,2010/11/9,6.8,1987,45,2.9,14.6,南 S,2010/3/21,1679.5,102,2010/9/8,125,111,42,16,34,151,125,14,6,1,11,61,13,48
23,2011,総数,Total,1014,16.5,20.3,13.1,58,9,2011/1/16，2011/4/4,6.4,2056.2,46,2.9,16.9,南 S,2011/9/21,1479.5,124,2011/9/21,101,95,40,13,36,145,101,13,3,-,13,46,14,463
24,2012,総数,Total,1013.6,16.3,20,13.1,62,11,2012/2/2,6.8,2022.9,46,3,16.3,南 S,2012/6/19,1570,121.5,2012/5/3,123,109,49,14,29,149,123,10,5,1,26,53,11,131
25,2013,総数,Total,1013,17.1,21,13.6,61,13,2013/2/8，2013/2/25,6.3,2131.1,48,3.1,14.5,南南西 SSW,2013/3/13,1614,176.5,2013/10/16,111,93,38,17,53,137,111,5,6,-,19,44,20,91
26,2014,総数,Total,1013.8,16.6,20.5,13.3,62,8,2014/4/12,6.6,2104,47,2.9,11.8,南 S,2014/3/18,1808,148.5,2014/10/5,113,106,41,16,46,153,113,11,10,-,20,51,14,65
27,2015,総数,Total,1014.1,16.4,20.8,12.8,68,12,2015/2/13，2015/5/11,6.8,1966.6,44,2.8,11,北北西，南南西 NNW，SSW,2015/2/15，2015/12/11,1781.5,156.5,2015/9/9,129,115,51,17,39,165,129,11,2,-,13,67,14,66
28,2016,総数,Total,1014.5,16.4,20.9,12.7,69,9,2016/3/17,7.1,1841.7,41,2.8,12.6,南 S,2016/4/17,1779,106.5,2016/8/22,128,113,50,19,24,181,128,6,3,-,8,62,8,71
29,2017,総数,Total,1013.2,15.8,20.4,12.1,68,13,2017/3/20,6.7,2050.9,46,2.9,13.7,南南東 SSE,2017/10/23,1430,147.5,2017/10/22,114,95,41,12,39,163,114,7,1,-,14,56,10,60
30,2018,総数,Total,1014.1,16.8,21.2,13,70,14,2018/2/7,6.7,2112.2,48,3,18.2,南 S,2018/10/1,1445.5,58,2018/3/9,116,103,44,17,34,156,116,11,10,-,14,47,15,64
30,2018,1,Jan.,1014.4,4.7,9.4,0.6,54,17,2018/1/11,3.9,206.1,67,2.6,9.9,西北西 WNW,2018/1/3,48.5,24,2018/1/22,4,4,2,-,10,4,4,4,8,-,-,2,-,3
30,2018,2,Feb.,1016.8,5.4,10.1,1.3,56,14,2018/2/7,5.8,167.3,55,2.6,8.5,北北西 NNW,2018/2/17,20,9,2018/2/1,6,5,-,-,3,8,6,5,2,-,-,3,-,3
30,2018,3,Mar.,1017,11.5,16.9,6.5,65,16,2018/3/30,5.6,198,54,3,10,南 S,2018/3/5,220,58,2018/3/9,12,11,7,3,7,11,12,1,-,-,1,5,1,7
30,2018,4,Apr.,1014.2,17,22.1,12.4,66,17,2018/4/28,5.9,201.8,52,3.5,12.9,南南西 SSW,2018/4/11,109,57,2018/4/25,6,6,3,1,5,13,6,-,-,-,-,4,3,2
30,2018,5,May,1011.3,19.8,24.6,15.4,71,20,2018/5/21,7.3,199.3,46,3.3,10.3,南 S,2018/5/3,165.5,49,2018/5/13,10,10,5,2,1,15,10,-,-,-,1,3,2,6
30,2018,6,June,1009.2,22.4,26.6,19.1,80,28,2018/6/3,8.1,163.1,38,3.2,11.2,南南西 SSW,2018/6/27,155.5,50,2018/6/11,12,12,5,2,-,16,12,-,-,-,1,8,1,11
30,2018,7,July,1010.3,28.3,32.7,25,77,32,2018/7/23,7.7,227.2,51,3.5,11.1,南南西 SSW,2018/7/5,107,52,2018/7/28,7,7,3,1,1,16,7,-,-,-,1,1,1,6
