1,"東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　6  電気・上下水道 6  ELECTRICITY, WATERWORKS, AND SEWERAGE",,,,,,,,,,,,,,,,,,,,
2,,,,,6-5  工業用水道の業種・用途別基本水量（平成28～30年度末） 6-5  BASIC INDUSTRIAL WATER SUPPLY BY TYPE OF INDUSTRY AND WATER USE ( End of Fiscal Years 2016-2018 ),,,,,,,,,,,,,,,,
3,,,,,注 1) 集合住宅は含まない。,,,,,,,,,,,,,,,,
4,,,,,Note: 1) Excluding collective housing.,,,,,,,,,,,,,,,,
5,,,,,"資料：都水道局総務部企画調整課 Source: Bureau of Waterworks, TMG ",,,,,,,,,,,,,,,,
6,,,,,（単位　立方メ－トル／日）(In cubic meters per day),,,,,,,,,,,,,,,,
7,年度末(平成),End of fiscal year,業種,Type of industry,工業用水 Industrial use／給水件数 № of customers,工業用水 Industrial use／基本水量 Basic water supply,工業用水 Industrial use／用途別 Use of water／冷却For cooling,工業用水 Industrial use／用途別 Use of water／洗浄 For washing,工業用水 Industrial use／用途別 Use of water／製品処理 For product treatment,工業用水 Industrial use／用途別 Use of water／原料 For materials,工業用水 Industrial use／用途別 Use of water／温調 For heat adjustment,工業用水 Industrial use／用途別 Use of water／ボイラー For boilers,工業用水 Industrial use／用途別 Use of water／その他 Others,一般雑用水 General miscellaneous use 1)／給水件数 № of customers,一般雑用水 General miscellaneous use 1)／基本水量 Basic water supply,一般雑用水 General miscellaneous use 1)／用途別 Use of water／冷却 For cooling,一般雑用水 General miscellaneous use 1)／用途別 Use of water／洗浄 For washing,一般雑用水 General miscellaneous use 1)／用途別 Use of water／洗車 For car washing,一般雑用水 General miscellaneous use 1)／用途別 Use of water／散水 For watering,一般雑用水 General miscellaneous use 1)／用途別 Use of water／水洗トイレ For toilet flushing,一般雑用水 General miscellaneous use 1)／用途別 Use of water／その他 Others
8,28,2016,総数,Total,185,19505,6428,6419,1400,2125,353,1364,1416,302,12633,1176,789,925,862,6438,2443
9,29,2017,総数,Total,181,18756,6146,6303,1397,2148,273,1175,1314,298,12610,1168,790,902,862,6445,2443
10,30,2018,総数,Total,181,18790,6100,6413,1367,2092,318,1175,1325,294,12412,1168,792,899,847,6332,2374
11,30,2018,化学,Chemicals,31,2951,773,484,68,529,121,525,451,,,,,,,,
12,30,2018,鉄鋼,Iron and steel,5,3313,2940,240,-,-,-,78,55,,,,,,,,
13,30,2018,金属,Metalworking,11,380,91,97,114,-,8,3,67,,,,,,,,
14,30,2018,鍍金,Plating,13,354,39,268,44,-,-,-,3,,,,,,,,
15,30,2018,食品,Food,22,5540,1150,3376,378,129,120,120,267,,,,,,,,
16,30,2018,ゴム,Rubber,5,95,90,-,-,-,-,-,5,,,,,,,,
17,30,2018,皮革,Leather,42,1397,29,1058,206,42,6,56,-,,,,,,,,
18,30,2018,製紙,Paper manufacturing ,2,85,13,13,-,8,8,38,5,,,,,,,,
19,30,2018,繊維,Textiles,2,30,10,15,5,-,-,-,-,,,,,,,,
20,30,2018,染色,Dyeing,6,512,-,179,304,1,-,28,-,,,,,,,,
21,30,2018,窯業,Ceramics,16,1215,257,107,8,843,-,-,-,,,,,,,,
22,30,2018,印刷,Printing,8,1472,420,160,232,35,45,280,300,,,,,,,,
23,30,2018,ガス,Gas,-,-,-,-,-,-,-,-,-,,,,,,,,
24,30,2018,その他,Others,18,1446,288,416,8,505,10,47,172,,,,,,,,
