年度末（平成）,End of fiscal year,都電 Metropolitan trams／営業キロ Length of lines(km),都電 Metropolitan trams／運転系統 Operation routes／系統数 Number of routes,都電 Metropolitan trams／運転系統 Operation routes／総延長 Total length(km),都電 Metropolitan trams／停留場数 Stops,都電 Metropolitan trams／在籍車両数 Vehicles owned(両 Vehicles),都電 Metropolitan trams／平均定員 Average capacity in person(人 Persons),都バス Metropolitan Buses／営業キロ Length of lines(km),都バス Metropolitan Buses／運転系統 Operation routes／系統数 Number of routes,都バス Metropolitan Buses／運転系統 Operation routes／総延長 Total length(km),都バス Metropolitan Buses／停留所数 Stops,都バス Metropolitan Buses／在籍車両数 Vehicles owned(両 Vehicles),都バス Metropolitan Buses／平均定員 Average capacity in person(人 Persons)
26,2014,12.2,1,12.2,30,36,96,743.7,131,1091.2,3814,1455,71.4
27,2015,12.2,1,12.2,30,38,96,737.7,129,1072,3814,1453,71.6
28,2016,12.2,1,12.2,30,36,96,737.9,129,1072.1,3811,1464,72.1
29,2017,12.2,1,12.2,30,36,96,737.8,129,1072,3811,1476,72.7
30,2018,12.2,1,12.2,30,33,88.8,741.4,130,1081.8,3816,1485,73.2
,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,
4-9  都営交通の営業設備及び運輸成績 (1)  営業設備 (平成26～30年度末) ａ　都電 ｂ　都バス 4-9  OPERATION FACILITIES AND OPERATING RESULTS OF METROPOLITAN TRANSPORTATION (1)  OPERATION FACILITIES ( End of Fiscal Years 2014-2018 ) ａ　Metropolitan Trams ｂ　Metropolitan Buses,,,,,,,,,,,,,
資料：都交通局総務部企画調整課 Source: Bureau of Transportation， TMG,,,,,,,,,,,,,
