年次（平成）,Year,地域階層,地域コード,項番,地域,District,総数 Total ,宅地 Land for buildings／計  Total ,宅地 Land for buildings／商業地区 Commercial district ,宅地 Land for buildings／工業地区 Industrial district ,宅地 Land for buildings／住宅地区 Residential district ,宅地 Land for buildings／その他  Others  ,田 Paddy fields  ,畑 Ordinary fields  ,山林 Forests  ,原野 Waste land  ,池沼 Ponds and swamps  ,雑種地 Miscellaneous land  ,免税点未満 Land under the legal tax exemption limit  
27,2015,0,13000,,東京都,Tokyo-to,103546.68,57319.36,2825.52,3430.57,49649.54,1413.76,298.8,8193.64,25102.55,1795.72,11.94,4681.15,6143.58
28,2016,0,13000,,東京都,Tokyo-to,103375.81,57451.2,2830.37,3443.88,49759.38,1417.59,295.63,8099.22,24955.02,1792.09,11.84,4625.57,6145.16
29,2017,0,13000,,東京都,Tokyo-to,103199.68,57523.97,2812.47,3453,49844.51,1414,291.57,7978.77,24886.23,1791.31,12.07,4602.37,6113.42
30,2018,0,13000,,東京都,Tokyo-to,102931.49,57666,2870.74,3334.87,50045.26,1415.14,283.66,7858.27,24651.06,1795.86,12.06,4599.72,6064.82
31,2019,0,13000,,東京都,Tokyo-to,102748.64,57780.34,2875.56,3337.28,50138.75,1428.73,278.63,7749.26,24461.53,1792.55,12.06,4591.86,6082.37
31,2019,1,13100,,区部,All ku          　,33253.71,31580.12,2015.65,1564.94,27998.41,1.11,0.41,477.83,14.86,-,5.97,1160.88,13.64
31,2019,3,13101,1,千代田区,Chiyoda-ku,406.09,365.16,316.39,-,48.77,-,-,-,-,-,-,40.92,0.01
31,2019,3,13102,2,中央区,Chuo-ku,394.26,393.5,248.05,11.48,133.97,-,-,-,-,-,-,0.74,0.02
31,2019,3,13103,3,港区,Minato-ku,1003.07,932.23,301.05,21.28,609.9,-,-,-,-,-,0.06,70.74,0.04
31,2019,3,13104,4,新宿区,Shinjuku-ku,1018.93,988.57,119.72,9.11,859.74,-,-,-,-,-,-,30.15,0.21
31,2019,3,13105,5,文京区,Bunkyo-ku,595.02,587.76,73.5,4.95,509.31,-,-,-,-,-,-,7.05,0.21
31,2019,3,13106,6,台東区,Taito-ku,480.37,453.47,249.91,-,203.56,-,-,-,-,-,-,26.78,0.12
31,2019,3,13107,7,墨田区,Sumida-ku,709.42,684.6,45.91,117.76,520.93,-,-,-,-,-,-,24.56,0.26
31,2019,3,13108,8,江東区,Koto-ku,1561.57,1494.82,68.51,419.87,1006.44,-,-,-,-,-,4.72,61.69,0.34
31,2019,3,13109,9,品川区,Shinagawa-ku,1364.63,1151.49,79.91,134.63,936.95,-,-,-,-,-,-,212.74,0.4
31,2019,3,13110,10,目黒区,Meguro-ku,929.25,912.65,33.14,-,879.51,-,-,2.39,0.55,-,-,13.42,0.24
31,2019,3,13111,11,大田区,Ota-ku,2579.12,2502.02,31.48,230.22,2240.31,0.01,-,2.78,1.03,-,0.15,72.2,0.94
31,2019,3,13112,12,世田谷区,Setagaya-ku,3681.46,3483.12,21.61,-,3461.37,0.14,-,95.3,5.47,-,-,95.71,1.86
31,2019,3,13113,13,渋谷区,Shibuya-ku,848.03,811.7,126.29,-,685.41,-,-,-,-,-,-,36.24,0.09
31,2019,3,13114,14,中野区,Nakano-ku,1036.63,1007.09,17.7,-,989.39,-,-,2.61,0.14,-,-,26.13,0.66
31,2019,3,13115,15,杉並区,Suginami-ku,2239.4,2162.17,18.3,-,2143.83,0.04,-,35.94,1.42,-,0.16,38.92,0.79
31,2019,3,13116,16,豊島区,Toshima-ku,817.15,779.21,94.65,-,684.56,-,-,-,-,-,-,37.56,0.38
31,2019,3,13117,17,北区,Kita-ku,1046.7,955.59,20.32,59.36,875.91,-,-,0.3,0.7,-,-,89.53,0.58
31,2019,3,13118,18,荒川区,Arakawa-ku,588.42,538.8,16.04,71.65,451.11,-,-,-,-,-,-,49.34,0.28
31,2019,3,13119,19,板橋区,Itabashi-ku,1848.85,1805.74,15.77,132.05,1657.9,0.02,-,14.97,2.37,-,-,25.02,0.75
31,2019,3,13120,20,練馬区,Nerima-ku,3106.96,2846.6,7.07,-,2839.06,0.47,-,198.72,3.15,-,-,56.29,2.2
31,2019,3,13121,21,足立区,Adachi-ku,2850.78,2732.48,35.44,191.5,2505.46,0.08,0.37,47.67,0.02,-,-,68.63,1.61
31,2019,3,13122,22,葛飾区,Katsushika-ku,1742.09,1658.2,41.02,55.01,1562.13,0.04,-,32.32,-,-,0.04,50.59,0.94
31,2019,3,13123,23,江戸川区,Edogawa-ku,2405.46,2333.11,33.85,106.07,2192.88,0.31,0.04,44.84,-,-,0.84,25.9,0.73
31,2019,1,13200,,市部,All shi,42802.9,24547.01,836.11,1565.34,21422.57,722.98,269.47,4166.57,8731.05,1173.38,4.02,2927.73,983.65
31,2019,3,13201,1,八王子市,Hachioji-shi,9060.96,3839.88,59.44,146.69,3184.71,449.04,59.67,677.7,2940.38,443.13,2.85,771.8,325.55
31,2019,3,13202,2,立川市,Tachikawa-shi,1388.21,1081.72,70.29,109.75,900.55,1.13,-,247.64,2.59,-,-,51.21,5.05
