海区,Sea region,区分,Classification,区分,Classification,生産金額 Value
総数,Total,総数,Total,,,3869570
総数,Total,魚類,Fish,総数,Total,3252551
総数,Total,魚類,Fish,きんめだい,Alfonsino,1766191
総数,Total,魚類,Fish,かじき類,Swordfish,274170
総数,Total,魚類,Fish,いさき,Grunt,24456
総数,Total,その他の水産動物,Other marine animals,総数,Total,406729
総数,Total,その他の水産動物,Other marine animals,いせえび,Spiny lobster,138042
総数,Total,その他の水産動物,Other marine animals,いか,Squid,76468
総数,Total,その他の水産動物,Other marine animals,かめ ,Sea turtle　,5039
総数,Total,貝類,Shellfish,総数,Total,79534
総数,Total,貝類,Shellfish,さざえ,Top shell,21591
総数,Total,貝類,Shellfish,あさり類,Shortnecked clams,19371
総数,Total,貝類,Shellfish,とこぶし,Japanese abalone,23546
総数,Total,藻類,Seaweed,総数,Total,130754
総数,Total,藻類,Seaweed,てんぐさ,Tengusa,119933
総数,Total,藻類,Seaweed,とさかのり,Comb paste,8974
東京湾海区,Tokyo bay area,総数,Total,,,276680
東京湾海区,Tokyo bay area,魚類,Fish,総数,Total,253416
東京湾海区,Tokyo bay area,魚類,Fish,あなご,Conger,19291
東京湾海区,Tokyo bay area,魚類,Fish,すずき,Sea bass,138184
東京湾海区,Tokyo bay area,魚類,Fish,かれい類,Flounder,41801
東京湾海区,Tokyo bay area,その他の水産動物,Other marine animals,総数,Total,570
東京湾海区,Tokyo bay area,貝類,Shellfish,総数,Total,22554
東京湾海区,Tokyo bay area,貝類,Shellfish,あさり類,Shortnecked clams,19371
東京湾海区,Tokyo bay area,藻類,Seaweed,総数,Total,140
大島海区,Oshima sea area,総数,Total,,,1610563
大島海区,Oshima sea area,魚類,Fish,総数,Total,1279048
大島海区,Oshima sea area,魚類,Fish,きんめだい,Alfonsino,908140
大島海区,Oshima sea area,魚類,Fish,いさき,Grunt,24133
大島海区,Oshima sea area,魚類,Fish,たかべ,Yellow striped butterfish,66062
大島海区,Oshima sea area,その他の水産動物,Other marine animals,総数,Total,163559
大島海区,Oshima sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,124306
大島海区,Oshima sea area,その他の水産動物,Other marine animals,いか,Squid,38157
大島海区,Oshima sea area,貝類,Shellfish,総数,Total,53204
大島海区,Oshima sea area,貝類,Shellfish,さざえ,Top shell,21180
大島海区,Oshima sea area,貝類,Shellfish,とこぶし,Japanese abalone,20819
大島海区,Oshima sea area,貝類,Shellfish,くぼがい,Chlorostoma lischkei ,5603
大島海区,Oshima sea area,藻類,Seaweed,総数,Total,114751
大島海区,Oshima sea area,藻類,Seaweed,てんぐさ,Tengusa,104722
大島海区,Oshima sea area,藻類,Seaweed,とさかのり,Comb paste,8974
三宅海区,Miyake sea area,総数,Total,,,246638
三宅海区,Miyake sea area,魚類,Fish,総数,Total,216965
三宅海区,Miyake sea area,魚類,Fish,きんめだい,Alfonsino,129708
三宅海区,Miyake sea area,魚類,Fish,まぐろ類,Tuna,41059
三宅海区,Miyake sea area,魚類,Fish,かつお類,Skipjack,5802
三宅海区,Miyake sea area,その他の水産動物,Other marine animals,総数,Total,10515
三宅海区,Miyake sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,6713
三宅海区,Miyake sea area,その他の水産動物,Other marine animals,いか,Squid,3606
三宅海区,Miyake sea area,貝類,Shellfish,総数,Total,3296
三宅海区,Miyake sea area,貝類,Shellfish,さざえ,Top shell,411
三宅海区,Miyake sea area,貝類,Shellfish,とこぶし,Japanese abalone,2247
三宅海区,Miyake sea area,藻類,Seaweed,総数,Total,15862
三宅海区,Miyake sea area,藻類,Seaweed,てんぐさ,Tengusa,15211
三宅海区,Miyake sea area,藻類,Seaweed,いわのり,Spontaneous purple,339
八丈海区,Hachijo sea area,総数,Total,,,1006605
八丈海区,Hachijo sea area,魚類,Fish,総数,Total,998088
八丈海区,Hachijo sea area,魚類,Fish,きんめだい,Alfonsino,728319
八丈海区,Hachijo sea area,魚類,Fish,とびうお,Flying fish,52467
八丈海区,Hachijo sea area,魚類,Fish,かつお類,Skipjack,23874
八丈海区,Hachijo sea area,その他の水産動物,Other marine animals,総数,Total,8037
八丈海区,Hachijo sea area,その他の水産動物,Other marine animals,いか,Squid,7447
八丈海区,Hachijo sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,580
八丈海区,Hachijo sea area,貝類,Shellfish,総数,Total,481
八丈海区,Hachijo sea area,貝類,Shellfish,とこぶし,Japanese abalone,481
八丈海区,Hachijo sea area,藻類,Seaweed,総数,Total,-
八丈海区,Hachijo sea area,藻類,Seaweed,とさかのり,Comb paste,-
小笠原海区,Ogasawara sea areas,総数,Total,,,729084
小笠原海区,Ogasawara sea areas,魚類,Fish,総数,Total,505036
小笠原海区,Ogasawara sea areas,魚類,Fish,かじき類,Swordfish,256922
小笠原海区,Ogasawara sea areas,魚類,Fish,はまだい,Ruby snapper,110288
小笠原海区,Ogasawara sea areas,魚類,Fish,まぐろ類,Tuna,60759
小笠原海区,Ogasawara sea areas,その他の水産動物,Other marine animals,総数,Total,224049
小笠原海区,Ogasawara sea areas,その他の水産動物,Other marine animals,いせえび,Spiny lobster,6443
小笠原海区,Ogasawara sea areas,その他の水産動物,Other marine animals,かめ ,Sea turtle　,5039
小笠原海区,Ogasawara sea areas,その他の水産動物,Other marine animals,いか,Squid,27258
小笠原海区,Ogasawara sea areas,貝類,Shellfish,総数,Total,-
小笠原海区,Ogasawara sea areas,藻類,Seaweed,総数,Total,-
,,,,,,
