年次（平成）,Year,区分階層,種類,Kind,東京地方裁判所 Tokyo District Court／新受 Newly received,東京地方裁判所 Tokyo District Court／既済 Disposed,東京地方裁判所 Tokyo District Court／未済 Pending,立川支部 Tachikawa Branch／新受 Newly received,立川支部 Tachikawa Branch／既済 Disposed,立川支部 Tachikawa Branch／未済 Pending
26,2014,0,総数,Total,10541,10598,1940,2993,2975,349
27,2015,0,総数,Total,9591,9743,1788,3100,3104,345
28,2016,0,総数,Total,9360,9516,1632,2867,2915,297
29,2017,0,総数,Total,8880,8905,1607,2860,2831,326
30,2018,0,総数,Total,8724,8942,1389,2604,2621,309
30,2018,1,執行イ,Type A,1856,1856,215,414,410,57
30,2018,2,動産執行,Execution against movables ,1853,1851,215,414,410,57
30,2018,2,動産競売,Auction of movables,3,5,-,-,-,-
30,2018,1,執行ロ,Type B,3995,4023,544,1084,1090,132
30,2018,2,不動産等の引渡し,Delivery of immovables， etc.,3822,3880,477,1047,1052,127
30,2018,2,動産の引渡し,Delivery of movables,13,15,5,22,22,2
30,2018,2,船舶国籍証書等の取り上げ,Confiscation of vessel nationality certificates， etc.,-,-,-,-,-,-
30,2018,2,自動車・建設機械の引渡し,Delivery of automobiles and construction machinery,47,45,12,5,7,1
30,2018,2,代替執行,Execution by substitute ,109,76,38,10,9,2
30,2018,2,援助（民執法62等）,Assistance (Civil Execution Act 6 II， etc.),4,4,-,-,-,-
30,2018,2,保全処分（民執法551等）,Temporary restraining order (Civil Execution Act 55 I， etc.),-,2,4,-,-,-
30,2018,2,強制管理の管理人等,Administrator of sequestration， etc.,-,1,8,-,-,-
30,2018,1,執行ハ,Type C,496,698,471,76,90,44
30,2018,2,仮差押え,Provisional seizure ,15,16,16,3,1,2
30,2018,2,仮処分,Provisional disposition,478,680,454,73,89,42
30,2018,2,特別法による保全処分,Temporary restraining order under special laws,3,2,1,-,-,-
30,2018,1,不動産等売却,Sale of real property， etc.,960,944,56,440,427,43
30,2018,2,不動産・船舶・航空機,Real property， vessels， aircraft,953,937,56,435,423,42
30,2018,2,自動車・建設機械,Automobiles and construction machinery,3,3,-,2,1,1
30,2018,2,債権その他の財産権,Claims and other property rights,4,4,-,3,3,-
30,2018,1,現況調査等,Investigation into the current status， etc.,1417,1421,103,590,604,33
30,2018,2,現況調査,Investigation into the current status,1417,1421,103,590,604,33
30,2018,2,評価,Evaluation,-,-,-,-,-,-
30,2018,1,内覧,Preliminary inspection,-,-,-,-,-,-
30,2018,1,提訴前現況調査,Investigation prior to filing suits,-,-,-,-,-,-
30,2018,1,その他,Others,-,-,-,-,-,-
30,2018,2,拒絶証書の作成等,Preparation of certificates of refusal， etc.,-,-,-,-,-,-
30,2018,2,財産調査の援助・立会い・封印等,Asset investigation assistance， attendance， sealing， etc.,-,-,-,-,-,-
,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,
20-3  執行官事務の種類別件数 （平成26～30年） 20-3 WORK OF COURT ENFORCEMENT OFFICERS BY KIND ( 2014-2018 ),,,,,,,,,,
資料：東京地方裁判所事務局総務課 Source: Tokyo District Court,,,,,,,,,,
区分階層(0:総数　1:区分　2:区分内訳),,,,,,,,,,
