地域階層,地域コード,項番 Item number,地域,District,総数 Total／棟数 Number,総数 Total／床面積の合計 Total floor space,総数 Total／工事費予定額 Estimated construction cost,木造 Wooden／棟数 Number,木造 Wooden／床面積の合計 Total floor space,木造 Wooden／工事費予定額 Estimated building cost,鉄骨鉄筋コンクリート造 Steel reinforced concrete／棟数 Number,鉄骨鉄筋コンクリート造 Steel reinforced concrete／床面積の合計 Total floor space,鉄骨鉄筋コンクリート造 Steel reinforced concrete／工事費予定額 Estimated building cost,鉄筋コンクリート造 Reinforced concrete／棟数 Number,鉄筋コンクリート造 Reinforced concrete／床面積の合計 Total floor space,鉄筋コンクリート造 Reinforced concrete／工事費予定額 Estimated building cost,鉄骨造 Steel-frame／棟数 Number,鉄骨造 Steel-frame／床面積の合計 Total floor space,鉄骨造 Steel-frame／工事費予定額 Estimated building cost,コンクリートブロック造 Concrete-block／棟数 Number,コンクリートブロック造 Concrete-block／床面積の合計 Total floor space,コンクリートブロック造 Concrete-block／工事費予定額 Estimated building cost,その他 Others／棟数 Number,その他 Others／床面積の合計 Total floor space,その他 Others／工事費予定額 Estimated building cost
0,13000,,総数,Tokyo-to,48913,13987161,409232796,36064,4070483,72311765,106,391072,17406773,2960,4543990,147322591,9404,4967701,172055790,10,1243,52119,369,12672,83758
1,13100,,区部,All ku,28980,10279008,321154688,19612,2286084,41660807,88,332699,14913931,2545,3811314,126472186,6447,3837542,137994354,8,995,49647,280,10374,63763
3,13101,1,千代田区,Chiyoda-ku,169,523851,21796245,6,587,10557,7,21591,x,42,70526,2829702,112,430747,18133918,-,-,-,2,400,x
3,13102,2,中央区,Chuo-ku,178,321461,13395110,19,2141,36009,5,16910,643658,65,124029,4801068,89,178381,7914375,-,-,-,-,-,-
3,13103,3,港区,Minato-ku,401,870841,38317718,67,9061,162368,6,38594,2267800,126,349527,13752100,190,473425,22132645,-,-,-,12,234,2805
3,13104,4,新宿区,Shinjuku-ku,738,419710,15862257,382,47899,888613,6,9282,395812,143,212228,8052922,199,150122,6524040,-,-,-,8,179,870
3,13105,5,文京区,Bunkyo-ku,434,146538,5051215,254,29081,501122,-,-,-,57,66243,x,121,51119,2036546,-,-,-,2,95,x
3,13106,6,台東区,Taito-ku,540,321296,11487053,196,19918,429558,5,23791,x,158,179434,5976897,179,98127,4111808,-,-,-,2,26,x
3,13107,7,墨田区,Sumida-ku,731,255097,7561806,438,45190,788686,3,9669,x,98,114235,3585978,190,85708,2820369,-,-,-,2,295,x
3,13108,8,江東区,Koto-ku,979,880773,30202813,387,40856,752614,4,13295,x,124,487610,15610691,455,337903,13426808,1,24,x,8,1085,2400
3,13109,9,品川区,Shinagawa-ku,1076,450841,12993326,606,67364,1263983,5,17915,x,152,271792,7998197,291,90313,2801702,1,11,x,21,3446,29810
3,13110,10,目黒区,Meguro-ku,784,229080,8228964,505,72251,1369251,2,35530,x,102,74480,2664078,172,46761,1503957,-,-,-,3,58,x
3,13111,11,大田区,Ota-ku,2401,996453,29497505,1644,187012,3662705,4,35575,x,175,219068,7066719,554,554321,17938310,2,40,x,22,437,2145
3,13112,12,世田谷区,Setagaya-ku,3512,871680,22856910,2557,313587,5672681,19,25642,x,263,296154,9268836,641,234803,6695967,2,893,x,30,601,2027
3,13113,13,渋谷区,Shibuya-ku,582,321880,11697125,264,32873,592989,4,7201,x,174,162812,6496427,138,118969,4261509,-,-,-,2,25,x
3,13114,14,中野区,Nakano-ku,1057,233201,6085296,733,81856,1502327,2,5737,x,102,89421,2850292,213,56070,1708867,-,-,-,7,117,x
3,13115,15,杉並区,Suginami-ku,2227,403946,9914140,1734,197297,3652468,1,469,x,103,106770,3358876,360,98818,2880241,-,-,-,29,592,x
3,13116,16,豊島区,Toshima-ku,760,231995,6996499,466,56833,1203966,1,355,x,80,78109,x,213,96698,3315016,-,-,-,-,-,-
3,13117,17,北区,Kita-ku,998,300198,8477290,675,71404,1268201,-,-,-,90,152143,4530197,233,76651,2678892,-,-,-,-,-,-
3,13118,18,荒川区,Arakawa-ku,676,156226,4161665,502,56674,991502,3,14074,385500,49,50516,1637760,122,34962,1146903,-,-,-,-,-,-
3,13119,19,板橋区,Itabashi-ku,1510,443472,11771600,1075,131745,2505125,3,10123,x,110,187286,5753303,317,114101,2958092,1,11,x,4,206,3510
3,13120,20,練馬区,Nerima-ku,2812,566148,14088499,2176,242565,4242622,3,29334,x,131,172268,4921139,451,120852,3125020,1,16,x,50,1113,6558
3,13121,21,足立区,Adachi-ku,2781,572662,12766432,2074,250299,4403236,5,17612,320550,88,125148,3605673,563,178583,4432005,-,-,-,51,1020,4968
3,13122,22,葛飾区,Katsushika-ku,1695,351735,8259916,1366,152329,2660574,-,-,-,43,118506,3490294,271,80591,2107593,-,-,-,15,309,1455
3,13123,23,江戸川区,Edogawa-ku,1939,409924,9685304,1486,177262,3099650,-,-,-,70,103009,3245203,373,129517,3339771,-,-,-,10,136,680
1,13200,,市部,All shi,19577,3649325,86514874,16181,1753825,30111384,16,57954,2484842,392,717325,20053260,2898,1117697,33843021,2,248,x,88,2276,19895
3,13201,1,八王子市,Hachioji-shi,2177,410013,9061150,1795,214906,3742884,2,19444,x,39,81314,1935549,328,94003,2599641,1,111,x,12,235,1576
3,13202,2,立川市,Tachikawa-shi,810,216589,6542130,647,70688,1232041,1,12142,x,17,25530,669500,140,108134,3739764,-,-,-,5,95,x
3,13203,3,武蔵野市,Musashino-shi,486,136553,4521146,328,40361,732040,1,1051,x,32,43147,1294920,120,51695,2472736,-,-,-,5,299,x
3,13204,4,三鷹市,Mitaka-shi,783,179663,3909459,547,57760,1033274,-,-,-,17,88624,2174390,219,33279,701795,-,-,-,-,-,-
3,13205,5,青梅市,Ome-shi,474,62053,1118736,431,47969,787491,-,-,-,3,395,11722,40,13689,319523,-,-,-,-,-,-
3,13206,6,府中市,Fuchu-shi,1102,181807,4722883,890,92933,1646977,-,-,-,28,56209,2232173,167,32117,840589,1,137,x,16,411,x
3,13207,7,昭島市,Akishima-shi,521,59739,1112299,452,47020,786561,-,-,-,5,2308,82900,64,10411,242838,-,-,-,-,-,-
3,13208,8,調布市,Chofu-shi,913,156619,3532665,726,74491,1348382,1,930,x,28,36335,1031244,143,44590,1131268,-,-,-,15,273,x
3,13209,9,町田市,Machida-shi,1829,447738,10068831,1552,178041,2973079,5,18776,566257,43,69221,2142774,221,181442,4383221,-,-,-,8,258,3500
3,13210,10,小金井市,Koganei-shi,692,97444,2194371,571,55180,949092,1,1998,x,12,16961,x,108,23305,694397,-,-,-,-,-,-
3,13211,11,小平市,Kodaira-shi,1333,174386,3636867,1178,121863,2161692,3,1083,64585,11,17687,585318,141,33753,825272,-,-,-,-,-,-
3,13212,12,日野市,Hino-shi,1066,219483,4584764,798,88674,1488982,-,-,-,42,87277,2045395,215,43273,1047512,-,-,-,11,259,2875
3,13213,13,東村山市,Higashimurayama-shi,669,106782,2369560,577,58575,971967,1,1109,x,12,25059,x,79,22039,568121,-,-,-,-,-,-
3,13214,14,国分寺市,Kokubunji-shi,798,121920,2656081,648,65217,1087483,-,-,-,8,22550,607880,137,33903,955708,-,-,-,5,250,5010
3,13215,15,国立市,Kunitachi-shi,301,49763,1162843,233,25852,467635,-,-,-,6,6707,206030,62,17204,489178,-,-,-,-,-,-
3,13218,16,福生市,Fussa-shi,211,27681,529403,180,20916,334467,-,-,-,1,1071,x,30,5694,x,-,-,-,-,-,-
3,13219,17,狛江市,Komae-shi,477,77112,1742475,395,40241,709154,1,1421,x,7,16466,x,74,18984,532176,-,-,-,-,-,-
3,13220,18,東大和市,Higashiyamato-shi,513,76443,1500723,419,43647,715979,-,-,-,11,18632,472100,83,14164,312644,-,-,-,-,-,-
3,13221,19,清瀬市,Kiyose-shi,241,36282,722111,218,24710,406677,-,-,-,3,7910,230000,20,3662,85434,-,-,-,-,-,-
3,13222,20,東久留米市,Higashikurume-shi,523,114900,2422723,442,43231,719373,-,-,-,14,26704,822384,67,44965,880966,-,-,-,-,-,-
3,13223,21,武蔵村山市,Musashimurayama-shi,470,57812,1095194,422,45155,772072,-,-,-,1,120,x,47,12537,x,-,-,-,-,-,-
3,13224,22,多摩市,Tama-shi,637,224137,8451442,516,58971,990918,-,-,-,24,27124,590474,97,138042,6870050,-,-,-,-,-,-
3,13225,23,稲城市,Inagi-shi,713,113862,2050772,635,71854,1220480,-,-,-,9,4574,138843,69,37434,691449,-,-,-,-,-,-
3,13227,24,羽村市,Hamura-shi,235,72808,2395947,190,20955,368919,-,-,-,1,178,x,44,51675,x,-,-,-,-,-,-
3,13228,25,あきる野市,Akiruno-shi,509,73854,1304477,456,50839,864802,-,-,-,5,11294,330960,48,11721,108715,-,-,-,-,-,-
