会計,Account,区分,Classification,区分,Classification,区分,Classification,当初予算額 Original budget,最終予算額 Final budget,決算額 Settled account
病院,Hospitals,収益的収支 ,Balance of revenue and expenditure of profit-making business,収入 ,Revenue,,,168262,168262,161555
病院,Hospitals,収益的収支 ,Balance of revenue and expenditure of profit-making business,収入 ,Revenue,病院事業収益,Hospital,168262,168262,161555
病院,Hospitals,収益的収支 ,Balance of revenue and expenditure of profit-making business,支出 ,Expenditure,,,168262,168262,164608
病院,Hospitals,収益的収支 ,Balance of revenue and expenditure of profit-making business,支出 ,Expenditure,病院事業費用,Hospital,168262,168262,164608
病院,Hospitals,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,,,2623,2623,718
病院,Hospitals,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,資本的収入,Capital,2623,2623,718
病院,Hospitals,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,,,38504,38504,36648
病院,Hospitals,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,資本的支出,Capital,38504,38504,36648
中央卸売市場 ,Central wholesale market,収益的収支 ,Balance of revenue and expenditure of profit-making business,収入 ,Revenue,,,23638,519661,519081
中央卸売市場 ,Central wholesale market,収益的収支 ,Balance of revenue and expenditure of profit-making business,収入 ,Revenue,市場事業収益,Central wholesale market,23638,519661,519081
中央卸売市場 ,Central wholesale market,収益的収支 ,Balance of revenue and expenditure of profit-making business,支出 ,Expenditure,,,63556,63556,56182
中央卸売市場 ,Central wholesale market,収益的収支 ,Balance of revenue and expenditure of profit-making business,支出 ,Expenditure,市場事業費,Central wholesale market,63556,63556,56182
中央卸売市場 ,Central wholesale market,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,,,7559,73836,72253
中央卸売市場 ,Central wholesale market,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,市場資本的収入,Central wholesale market,7559,73836,72253
中央卸売市場 ,Central wholesale market,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,,,16641,19774,16277
中央卸売市場 ,Central wholesale market,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,市場資本的支出,Central wholesale market,16641,19774,16277
都市再開発事業 ,Urban renewal,収益的収支 ,Balance of revenue and expenditure of profit-making business,収入 ,Revenue,,,15,15,3
都市再開発事業 ,Urban renewal,収益的収支 ,Balance of revenue and expenditure of profit-making business,収入 ,Revenue,都市再開発事業収益,Urban renewal,15,15,3
都市再開発事業 ,Urban renewal,収益的収支 ,Balance of revenue and expenditure of profit-making business,支出 ,Expenditure,,,12,12,-
都市再開発事業 ,Urban renewal,収益的収支 ,Balance of revenue and expenditure of profit-making business,支出 ,Expenditure,都市再開発事業費用,Urban renewal,12,12,-
都市再開発事業 ,Urban renewal,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,,,3433,3433,638
都市再開発事業 ,Urban renewal,資本的収支 ,Capital revenue and expenditure,収入 ,Revenue,資本的収入,Capital,3433,3433,638
都市再開発事業 ,Urban renewal,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,,,3457,3457,608
都市再開発事業 ,Urban renewal,資本的収支 ,Capital revenue and expenditure,支出 ,Expenditure,資本的支出,Capital,3457,3457,608
