年次,Year,月次 ,Month,件数 Total,件数 Total／うち法人 (業種別) of which corporation (by industry)／計 Total,件数 Total／うち法人 (業種別) of which corporation (by industry)／製造 Manufacturing／繊維品 Textile products,件数 Total／うち法人 (業種別) of which corporation (by industry)／製造 Manufacturing／出版・印刷 Publishing and printing,件数 Total／うち法人 (業種別) of which corporation (by industry)／製造 Manufacturing／金属製品 Metal products,件数 Total／うち法人 (業種別) of which corporation (by industry)／製造 Manufacturing／機械 Machinary,件数 Total／うち法人 (業種別) of which corporation (by industry)／製造 Manufacturing／その他 Others,件数 Total／うち法人 (業種別) of which corporation (by industry)／卸売 Wholesale,件数 Total／うち法人 (業種別) of which corporation (by industry)／小売 Retail,件数 Total／うち法人 (業種別) of which corporation (by industry)／建設 Construction,件数 Total／うち法人 (業種別) of which corporation (by industry)／サービス Services,件数 Total／うち法人 (業種別) of which corporation (by industry)／不動産 Real estate,件数 Total／うち法人 (業種別) of which corporation (by industry)／運輸・通信 Transportation & communications,件数 Total／うち法人 (業種別) of which corporation (by industry)／その他 Others,枚数 Number,金額 Value
平成26,2014,総数,Total,382,371,3,40,12,8,58,65,61,76,22,9,17,-,971,2054754
平成27,2015,総数,Total,318,303,3,16,21,9,54,62,31,40,14,7,15,31,740,5086292
平成28,2016,総数,Total,310,292,6,22,18,2,42,74,25,41,28,6,13,15,759,1485389
平成29,2017,総数,Total,229,211,3,12,5,3,41,45,22,28,26,6,3,17,458,757581
平成30,2018,総数,Total,182,164,1,12,11,6,35,32,23,28,6,1,1,8,467,1107425
平成30,2018,1,Jan.,17,16,1,1,-,1,2,3,6,-,2,-,-,-,53,66133
平成30,2018,2,Feb.,15,14,-,-,2,-,6,3,2,1,-,-,-,-,54,82425
平成30,2018,3,Mar.,18,16,-,2,1,-,3,2,1,2,2,-,-,3,34,57503
平成30,2018,4,Apr.,17,17,-,2,2,-,5,4,2,1,-,-,-,1,131,138139
平成30,2018,5,May,16,14,-,1,-,2,3,-,3,3,-,-,-,2,29,28831
平成30,2018,6,June,4,2,-,-,-,-,-,1,-,1,-,-,-,-,8,5354
平成30,2018,7,July,16,15,-,-,2,-,1,4,1,6,1,-,-,-,26,82752
平成30,2018,8,Aug.,20,19,-,2,1,-,6,1,4,5,-,-,-,-,33,17283
平成30,2018,9,Sept.,22,18,-,2,2,1,2,6,1,4,-,-,-,-,26,590442
平成30,2018,10,Oct.,12,10,-,-,-,1,2,1,1,4,-,-,-,1,19,11264
平成30,2018,11,Nov.,10,8,-,-,1,-,2,3,1,-,-,-,1,-,15,7878
平成30,2018,12,Dec.,15,15,-,2,-,1,3,4,1,1,1,1,-,1,39,19421
"																			",,,,,,,,,,,,,,,,,,,
"東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　15  金融 15  FINANCE																			",,,,,,,,,,,,,,,,,,,
"15-9  東京手形交換所扱い銀行取引停止処分数 (平成26～30年) 15-9  SUSPENSION OF TRANSACTIONS WITH THE TOKYO CLEARING HOUSE MEMBER BANKS ( 2014-2018 )  																			",,,,,,,,,,,,,,,,,,,
"資料：（一社）全国銀行協会 「決済統計年報」，「全国手形交換高・不渡手形実数・取引停止処分数調」 Source: Japanese Bankers Association																			",,,,,,,,,,,,,,,,,,,
"（単位  金額  千円）(Value in thousands of yen)																			",,,,,,,,,,,,,,,,,,,
