年度（平成）,Fiscal Year,系統,line,駅,Station,マーク Mark,乗車人員 Passengers getting on trains／総数 Total,乗車人員 Passengers getting on trains／定期 Commuter Pass,乗車人員 Passengers getting on trains／普通 Tickets,降車人員 Passengers getting off trains／総数 Total,降車人員 Passengers getting off trains／定期 Commuter Pass,降車人員 Passengers getting off trains／普通 Tickets
26,2014,総数,Total,,,,25778,17085,8693,25778,17085,8693
27,2015,総数,Total,,,,27731,18520,9211,27731,18520,9211
28,2016,総数,Total,,,,29207,19728,9479,29207,19728,9479
29,2017,総数,Total,,,,31392,21618,9774,31392,21618,9774
30,2018,総数,Total,,,,32432,22470,9962,32432,22470,9962
30,2018,日暮里・舎人ライナー,Nippori-Toneri Liner,日暮里,Nippori,※,9698,7199,2498,9681,7199,2482
30,2018,日暮里・舎人ライナー,Nippori-Toneri Liner,西日暮里,Nishi-Nippori,※,5333,3525,1808,5707,3525,2182
30,2018,日暮里・舎人ライナー,Nippori-Toneri Liner,赤土小学校前,Akado-Shogakkomae,※,981,518,463,919,518,401
30,2018,日暮里・舎人ライナー,Nippori-Toneri Liner,熊野前,Kumanomae,※,1813,1053,760,1735,1053,682
30,2018,日暮里・舎人ライナー,Nippori-Toneri Liner,足立小台,Adachi-Odai,※,721,485,237,713,485,229
30,2018,日暮里・舎人ライナー,Nippori-Toneri Liner,扇大橋,Ogi-Ohashi,※,1822,1215,607,1782,1215,567
30,2018,日暮里・舎人ライナー,Nippori-Toneri Liner,高野,Koya,※,1137,818,319,1117,818,298
30,2018,日暮里・舎人ライナー,Nippori-Toneri Liner,江北,Kohoku,※,1929,1302,627,1905,1302,603
30,2018,日暮里・舎人ライナー,Nippori-Toneri Liner,西新井大師西,Nishiaraidaishi-Nishi,※,2195,1537,658,2177,1537,640
30,2018,日暮里・舎人ライナー,Nippori-Toneri Liner,谷在家,Yazaike,※,1943,1380,563,1901,1380,521
30,2018,日暮里・舎人ライナー,Nippori-Toneri Liner,舎人公園,Toneri-Koen,※,843,481,362,822,481,342
30,2018,日暮里・舎人ライナー,Nippori-Toneri Liner,舎人,Toneri,※,1560,1124,437,1547,1124,423
30,2018,日暮里・舎人ライナー,Nippori-Toneri Liner,見沼代親水公園,Minumadai-Shinsuikoen,※,2457,1833,624,2424,1833,591
,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,
4-11  都営日暮里・舎人ライナーの駅別乗降車人員 (平成26～30年度） 4-11 PASSENGERS OF METROPOLITAN NIPPORI-TONERI LINER BY STATION ( Fiscal Years 2014-2018 ),,,,,,,,,,,,
同一会社内の乗り継ぎは除く。  ※印は区部にある駅 (線) を示す。,,,,,,,,,,,,
Figures exclude transfer between other lines of the same company. The lines and stations marked with the mark ※ refer to the ones located in ku area.   ,,,,,,,,,,,,
資料：都交通局総務部企画調整課  Source: Bureau of Transportation， TMG,,,,,,,,,,,,
（単位　千人） (In thousands of persons),,,,,,,,,,,,
