年度末(平成),End of fiscal year,月末 ,End of month,銀行数 Number of banks,店舗数 Number of Branches,資産 Assets／貸出金 Loans and bills discounted／総額 Total,資産 Assets／貸出金 Loans and bills discounted／割引手形 Bills discounted,資産 Assets／貸出金 Loans and bills discounted／手形貸付 Loans on bills,資産 Assets／貸出金 Loans and bills discounted／証書貸付 Loans on deeds,資産 Assets／貸出金 Loans and bills discounted／当座貸越 Over drafts,資産 Assets／貸出金 Loans and bills discounted／(うち) 23区内 (of which) Ku area,資産 Assets／ｺｰﾙﾛｰﾝ･買入手形 Call loans and bills bought,資産 Assets／商品有価証券 Trading account securities,資産 Assets／有価証券 Securities,資産 Assets／現金・預け金 Cash and due from banks／現金 Cash,資産 Assets／現金・預け金 Cash and due from banks／(うち) 小切手・手形 (of which) Checks and bills,資産 Assets／現金・預け金 Cash and due from banks／預け金 Due from banks,負債 Liabilities／預金 Deposits／総額 Total,負債 Liabilities／預金 Deposits／要求払預金 Demand deposits,負債 Liabilities／預金 Deposits／定期性預金 Time deposits,負債 Liabilities／預金 Deposits／その他預金 Other deposits,負債 Liabilities／預金 Deposits／(うち) 一般預金 (of which) Private deposits,負債 Liabilities／預金 Deposits／(うち) 23区内 (of which) Ku area,負債 Liabilities／譲渡性預金 Negotiable  certificates of deposit ,負債 Liabilities／ｺｰﾙﾏﾈｰ・売渡手形 Call money and bills sold,負債 Liabilities／借用金 Borrowed money
26,2014,総数,Total,98,1133,1875314,3593,36261,1514416,320927,1812455,18498,1679,1643081,25756,11719,1003517,2029151,1198126,663991,166955,1866372,1844132,291274,136096,320158
27,2015,総数,Total,98,1152,1935843,3114,33136,1592299,307184,1872709,15806,3324,1492346,26064,9804,1342943,2200506,1368139,661177,171105,1985175,2014431,246309,45226,336049
28,2016,総数,Total,98,1160,1998968,2696,29904,1652622,313635,1935001,11641,741,1429516,25780,8338,1709827,2357380,1547766,637571,171962,2115373,2165234,235536,26487,469465
29,2017,総数,Total,98,1169,2032539,2792,28078,1683422,318136,1968136,23156,3052,1465186,19000,3988,1922175,2478807,1670719,632334,175674,2230031,2280113,216535,39144,511927
30,2018,総数,Total,97,1180,2109178,2477,28781,1750441,327369,2043843,8764,1597,1523598,20420,4221,1973457,2599191,1788552,626189,184371,2301221,2396263,199318,39880,543354
30,2018,4,Apr.,,1173,2035163,2545,32573,1697589,302364,1970768,27421,5807,1453193,19619,4363,1991624,2545820,1715170,634541,196033,2261395,2346097,213617,44794,530306
30,2018,5,May,,1175,2023737,2086,31357,1694006,296190,1959582,19841,5887,1438971,32779,16978,1980165,2566881,1674741,635117,256931,2252320,2367985,194038,35741,530771
30,2018,6,June,,1179,2049468,2404,32400,1708956,305597,1984417,19088,5446,1430885,17224,2491,1988435,2498200,1694467,636050,167601,2241732,2297083,190368,32669,529710
30,2018,7,July,,1180,2045060,2106,29230,1708306,305313,1980683,14167,4717,1412628,29659,14407,2006637,2533909,1682359,638618,212850,2238843,2334445,210754,34767,541482
30,2018,8,Aug.,,1180,2037945,2003,28259,1704925,302659,1973436,27068,1157,1411328,26384,11460,2008614,2511898,1657474,634717,219628,2219220,2312407,205905,55353,541111
30,2018,9,Sept.,,1181,2067267,2332,26751,1716902,321183,2002434,17740,1309,1509699,18818,4309,2014882,2534832,1718537,636226,179989,2266338,2334833,194675,39601,547349
30,2018,10,Oct.,,1181,2055501,1999,27151,1721571,304674,1990999,16177,894,1433630,25348,13145,2031385,2554305,1703007,636714,214500,2259769,2354638,213610,36373,551558
30,2018,11,Nov.,,1182,2073340,1960,27348,1730814,313110,2008781,20470,1199,1440689,23045,10330,1990725,2582765,1683505,633697,265477,2269023,2383832,208080,38754,551665
30,2018,12,Dec.,,1182,2095563,2352,28245,1730026,334825,2030728,17720,2400,1433855,16481,3253,1926410,2530512,1709177,634617,186637,2250215,2328998,207894,32996,536080
31,2019,1,Jan.,,1182,2077595,2078,25307,1729835,320270,2013059,22287,2088,1449630,27976,14693,1911358,2548400,1697337,630799,220185,2244255,2348433,219812,41750,535790
31,2019,2,Feb.,,1184,2076778,2061,24350,1733872,316387,2012270,20164,2132,1453062,19742,6516,1894567,2528263,1674420,627349,226404,2238665,2328117,209861,63502,534082
31,2019,3,Mar.,,1184,2109178,2477,28781,1750441,327369,2043843,8764,1597,1523598,20420,4221,1973457,2599191,1788552,626189,184371,2301221,2396263,199318,39880,543354
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
15-1  銀行の主要勘定 (平成26～30年度末) 15-1  MAIN ACCOUNTS OF BANKS ( End of Fiscal Years 2014-2018 ),,,,,,,,,,,,,,,,,,,,,,,,,,
この表の「銀行」とは都市銀行，地方銀行，第二地方銀行協会加盟の地方銀行，信託銀行，　新生銀行，あおぞら銀行及び農林中央金庫をいう。,,,,,,,,,,,,,,,,,,,,,,,,,,
"In this table， ""banks"" refer to city banks， regional banks， member banks of the Second Association of Regional Banks (regional banks II)， trust banks， Shinsei Bank， Aozora Bank and Norinchukin Bank.",,,,,,,,,,,,,,,,,,,,,,,,,,
資料：（一社）全国銀行協会パブリック・リレーション部 Source: Japanese Bankers Association,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位  億円）(In hundred millions of yen),,,,,,,,,,,,,,,,,,,,,,,,,,
