年度（平成）,Fiscal Year,総数 Total,営業用 For business／普通車 Medium,営業用 For business／小型車 Light,営業用 For business／特殊用途車 Special purpose,営業用 For business／軽自動車 Minicar,自家用 For private use／普通車 Medium,自家用 For private use／小型車 Light
25,2013,171442,87387,5517,24727,3583,37705,12523
26,2014,168485,88615,4559,21093,2980,39408,11829
27,2015,167719,88443,4865,19895,2838,39451,12227
28,2016,168773,90895,4580,18969,2657,39956,11717
29,2017,164685,86586,4517,18646,2566,41068,11303
,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 4　運輸 4　TRANSPORT ,,,,,,,,
4-17  貨物自動車輸送量 （平成25～29年度） 4-17 QUANTITY TRANSPORTED BY TRUCKS ( Fiscal Years 2013-2017 ),,,,,,,,
資料：国土交通省 「自動車輸送統計年報」 Source: Ministry of Land， Infrastructure， Transport and Tourism ,,,,,,,,
（単位  千トン） (In thousands of tons),,,,,,,,
