年度（平成）,Fiscal Year,系統,Line,駅,Station,マーク Mark,総数 Total／発 Departure,総数 Total／着 Arrival,車扱貨物 Freight charged per car／発 Departure,車扱貨物 Freight charged per car／着 Arrival,コンテナ貨物 Container freight／発 Departure,コンテナ貨物 Container freight／着 Arrival
26,2014,総数,Total,,,,2116735,3121561,82638,677877,2034097,2443684
27,2015,総数,Total,,,,2272453,3155631,76876,656521,2195577,2499110
28,2016,総数,Total,,,,2337074,3111723,80444,678457,2256630,2433266
29,2017,総数,Total,,,,2399560,3129921,82625,681949,2316935,2447972
30,2018,総数,Total,,,,2257532,2918510,82811,668227,2174721,2250283
30,2018,うち区部,Ku area only,,,,2163306,2215299,13087,5071,2150219,2210228
30,2018,東海道本線,Tokaido Line,,,※,1412258,1451404,165,1659,1412093,1449745
30,2018,東海道本線,Tokaido Line,品川,Shinagawa,,-,-,-,-,-,-
30,2018,東海道本線,Tokaido Line,東京貨物ターミナル,Tokyo freight terminal,,1412258,1451404,165,1659,1412093,1449745
30,2018,中央線,Chuo Line,,,,85426,654475,60924,614420,24502,40055
30,2018,中央線,Chuo Line,中野,Nakano,※,800,800,800,800,-,-
30,2018,中央線,Chuo Line,八王子,Hachioji,,84626,653675,60124,613620,24502,40055
30,2018,青梅線,Ome Line,,,,9600,49536,9600,49536,-,-
30,2018,青梅線,Ome Line,拝島,Haijima,,9600,49536,9600,49536,-,-
30,2018,東北本線,Tohoku Line,,,※,-,-,-,-,-,-
30,2018,東北本線,Tohoku Line,田端操,Tabataso,,-,-,-,-,-,-
30,2018,東北本線,Tohoku Line,北王子,Kitaoji,,-,-,-,-,-,-
30,2018,常磐線,Joban Line,,,※,738926,761283,800,800,738126,760483
30,2018,常磐線,Joban Line,金町,Kanamachi,,-,-,-,-,-,-
30,2018,常磐線,Joban Line,綾瀬,Ayase,,800,800,800,800,-,-
30,2018,常磐線,Joban Line,隅田川,Sumidagawa,,738126,760483,-,-,738126,760483
30,2018,総武線,Sobu Line,,,※,11322,1812,11322,1812,-,-
30,2018,総武線,Sobu Line,新小岩操,Shinkoiwaso,,10012,-,10012,-,-,-
30,2018,総武線,Sobu Line,越中島,Etchujima,,1310,1812,1310,1812,-,-
,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,
4-16  J R 貨物の駅別貨物発着量 (平成26～30年度) 4-16  QUANTITY OF FREIGHT TRANSPORTED THROUGH JAPAN FREIGHT RAILWAY COMPANY BY STATION ( Fiscal Years 2014-2018 ),,,,,,,,,,,,
注) ※印は区部にある駅 （線） を示す。,,,,,,,,,,,,
Note: Lines and stations marked with  a ※ refer to those located in the ku area.,,,,,,,,,,,,
資料：日本貨物鉄道株式会社関東支社営業部 Source: Japan Freight Railway Company,,,,,,,,,,,,
（単位　トン） (In tons),,,,,,,,,,,,
