年次（平成）,Year,港,Harbor,総数 Total,乗船人員 Embarked,降船人員 Left
26,2014,総数,Total,709798,363309,346489
27,2015,総数,Total,725402,354011,371391
28,2016,総数,Total,789958,384364,405594
29,2017,総数,Total,794736,392632,402104
30,2018,総数,Total,819030,401371,417659
30,2018,元町港（大島町）,Motomachi Harbor (Oshima-machi),120767,67436,53331
30,2018,岡田港（大島町）,Okada Harbor (Oshima-machi),360063,173010,187053
30,2018,波浮港（大島町）,Habu Harbor (Oshima-machi),-,-,-
30,2018,利島港（利島村）,Toshima Harbor (Toshima-mura),10767,5084,5683
30,2018,新島港（新島村）,Niijima Harbor (Niijima-mura),51751,24113,27638
30,2018,式根島港（新島村）,Shikinejima Harbor (Niijima-mura),-,-,-
30,2018,神津島港（神津島村）,Kozushima Harbor (Kozushima-mura),35871,18664,17207
30,2018,三池港（三宅村）,Miike Harbor (Miyake-mura),28188,12409,15779
30,2018,御蔵島港（御蔵島村）,Mikurajima Harbor (Mikurajima-mura),13829,6516,7313
30,2018,神湊港（八丈町）,Kaminato Harbor (Hachijo-machi),34378,12272,22106
30,2018,八重根港（八丈町）,Yaene Harbor (Hachijo-machi),880,301,579
30,2018,青ヶ島港（青ヶ島村）,Aogashima Harbor (Aogashima-mura),2055,1050,1005
30,2018,二見港（小笠原村）,Futami Harbor (Ogasawara-mura),132073,66334,65739
30,2018,沖港（小笠原村）,Oki Harbor (Ogasawara-mura),28408,14182,14226
,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 4　運輸 4　TRANSPORT ,,,,,,
4-22　港別乗降船人員 (平成26～30年）（島しょ港湾） 4-22 VESSEL PASSENGERS BY HARBOR ( 2014-2018 )( Harbors of Islands ),,,,,,
資料：都港湾局港湾経営部振興課「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,
