年次（平成）,Year,地域階層,地域コード,区分,Classification,,構造及び地域,Structure  and District,項番 Item number,区分,Classification,総数 Total／橋数 Number,総数 Total／橋長 Length,総数 Total／橋面積 Area,一般国道 （指定区間外） General national highways (outside designated sections)／橋数 Number,一般国道 （指定区間外） General national highways (outside designated sections)／橋長 Length,一般国道 （指定区間外） General national highways (outside designated sections)／橋面積 Area,主要地方道 Main regional roads／橋数 Number,主要地方道 Main regional roads／橋長 Length,主要地方道 Main regional roads／橋面積 Area,一般都道 General metropolitan roads／橋数 Number,一般都道 General metropolitan roads／橋長 Length,一般都道 General metropolitan roads／橋面積 Area
27,2015,0,13000,総数,Tokyo-to,,,,,,,1230,77395,1188728,48,4384,49506,561,45380,714426,621,27631,424796
28,2016,0,13000,総数,Tokyo-to,,,,,,,1226,77124,1181471,48,4384,49506,557,45188,707631,621,27551,424334
29,2017,0,13000,総数,Tokyo-to,,,,,,,1226,77102,1180871,48,4384,49506,556,45162,707010,622,27556,424355
30,2018,0,13000,総数,Tokyo-to,,,,,,,1226,77101,1180871,48,4384,49506,556,45161,707010,622,27556,424355
31,2019,0,13000,総数,Tokyo-to,,,,,,,1225,77520,1186976,48,4384,49506,557,45499,713429,620,27637,424041
31,2019,0,13000,構造・橋長別, By structure and length,,,,1,15ｍ未満,less than 15ｍ,539,3905,56887,13,99,2034,207,1665,36087,319,2141,18766
31,2019,0,13000,構造・橋長別, By structure and length,,,,2,15～30ｍ未満,less than 15～30ｍ,226,5038,75411,6,94,1437,111,2353,31550,109,2591,42424
31,2019,0,13000,構造・橋長別, By structure and length,,,,3,30～100ｍ未満,less than 30～100ｍ,253,13647,221413,21,1446,16135,106,5695,114055,126,6506,91223
31,2019,0,13000,構造・橋長別, By structure and length,,,,4,100ｍ以上,100ｍ and over,207,54929,833266,8,2745,29900,133,35785,531738,66,16399,271628
31,2019,0,13000,構造・橋長別, By structure and length,,鋼橋, Steel bridges,,,,503,50401,745966,36,4128,44698,267,32362,439392,200,13911,261876
31,2019,0,13000,構造・橋長別, By structure and length,,鋼橋, Steel bridges,1,15ｍ未満,less than 15ｍ,69,690,8843,6,60,209,29,317,2598,34,313,6036
31,2019,0,13000,構造・橋長別, By structure and length,,鋼橋, Steel bridges,2,15～30ｍ未満,less than 15～30ｍ,113,2447,17259,3,42,614,73,1663,6080,37,742,10565
31,2019,0,13000,構造・橋長別, By structure and length,,鋼橋, Steel bridges,3,30～100ｍ未満,less than 30～100ｍ,172,9090,148250,19,1281,13975,72,3146,71614,81,4663,62661
31,2019,0,13000,構造・橋長別, By structure and length,,鋼橋, Steel bridges,4,100ｍ以上,100ｍ and over,149,38174,571614,8,2745,29900,93,27236,359100,48,8193,182614
31,2019,0,13000,構造・橋長別, By structure and length,,コンクリート橋, Concrete bridges,,,,654,14823,236714,12,256,4808,250,6350,111599,392,8217,120307
31,2019,0,13000,構造・橋長別, By structure and length,,コンクリート橋, Concrete bridges,1,15ｍ未満,less than 15ｍ,464,3172,47412,7,39,1825,176,1328,33349,281,1805,12238
31,2019,0,13000,構造・橋長別, By structure and length,,コンクリート橋, Concrete bridges,2,15～30ｍ未満,less than 15～30ｍ,102,2351,42594,3,52,823,32,573,14331,67,1726,27440
31,2019,0,13000,構造・橋長別, By structure and length,,コンクリート橋, Concrete bridges,3,30～100ｍ未満,less than 30～100ｍ,65,3604,57350,2,165,2160,24,2035,34145,39,1404,21045
31,2019,0,13000,構造・橋長別, By structure and length,,コンクリート橋, Concrete bridges,4,100ｍ以上,100ｍ and over,23,5696,89358,-,-,-,18,2414,29774,5,3282,59584
31,2019,0,13000,構造・橋長別, By structure and length,,鋼橋とコンクリート橋の混合物, Steel-concrete composite bridges,,,,68,12295,204296,-,-,-,40,6786,162438,28,5509,41858
31,2019,0,13000,構造・橋長別, By structure and length,,鋼橋とコンクリート橋の混合物, Steel-concrete composite bridges,1,15ｍ未満,less than 15ｍ,6,43,631,-,-,-,2,20,139,4,23,492
31,2019,0,13000,構造・橋長別, By structure and length,,鋼橋とコンクリート橋の混合物, Steel-concrete composite bridges,2,15～30ｍ未満,less than 15～30ｍ,11,240,15558,-,-,-,6,117,11139,5,123,4419
31,2019,0,13000,構造・橋長別, By structure and length,,鋼橋とコンクリート橋の混合物, Steel-concrete composite bridges,3,30～100ｍ未満,less than 30～100ｍ,16,953,15813,-,-,-,10,514,8296,6,439,7517
31,2019,0,13000,構造・橋長別, By structure and length,,鋼橋とコンクリート橋の混合物, Steel-concrete composite bridges,4,100ｍ以上,100ｍ and over,35,11059,172294,-,-,-,22,6135,142864,13,4924,29430
31,2019,0,13000,構造・橋長別, By structure and length,,石橋, Stone bridges,,,,-,-,-,-,-,-,-,-,-,-,-,-
31,2019,0,13000,構造・橋長別, By structure and length,,石橋, Stone bridges,1,15ｍ未満,less than 15ｍ,-,-,-,-,-,-,-,-,-,-,-,-
31,2019,0,13000,構造・橋長別, By structure and length,,石橋, Stone bridges,2,15～30ｍ未満,less than 15～30ｍ,-,-,-,-,-,-,-,-,-,-,-,-
