年度(平成),Fiscal year,科名,Courses,入校者 Enrolled,修了者 Completed,就職状況 Placement／就職 Employed,就職状況 Placement／自営 Self-employed,就職状況 Placement／就職率 Employment rate (%)
29,2017,総数,Total,4042,3424,2572,47,76.5
30,2018,総数,Total,3945,3340,2476,62,76
30,2018,メカトロニクス,Mechatronics (2 years),31,20,18,-,90
30,2018,自動車整備工学,Automobile mechanics (2 years),64,47,46,-,97.9
30,2018,機械加工,Machining (2 years),13,5,5,-,100
30,2018,自動車車体整備,Automobile body repair (2 years),10,5,5,-,100
30,2018,エンジニア養成,Engineering (2 years),5,6,6,-,100
30,2018,精密加工,Precision machining,10,9,8,-,88.9
30,2018,木工技術,Woodworking,40,29,27,-,93.1
30,2018,インテリアサービス,Interior decoration,20,12,10,-,83.3
30,2018,電気工事,Electrical wiring ,97,78,75,1,97.4
30,2018,コンピュータ制御システム,Embedded computer system development,10,4,3,-,75
30,2018,電気設備技術,Electrical work,22,10,10,-,100
30,2018,環境分析,Environmental analysis,14,7,4,-,57.1
30,2018,自動車塗装,Automobile body painting,19,13,11,-,84.6
30,2018,パソコングラフィック,Computer graphics,30,18,18,-,100
30,2018,ＯＡシステム開発,OA system development,51,42,34,1,83.3
30,2018,ネットワークプログラミング,Network programming,30,14,13,-,92.9
30,2018,金型加工,Die and mold machining,7,5,4,1,100
30,2018,3ＤＣＡＤ・ＣＡＭ,3D CAD/CAM,25,24,19,1,83.3
30,2018,建築設備,Building equipment installation,14,11,10,-,90.9
30,2018,広告美術,Advertising art,9,8,5,-,62.5
30,2018,サイン・ディスプレイ,Signs and displays,19,17,16,1,100
30,2018,測量設計,Survey and planning,12,9,9,-,100
30,2018,環境空調サービス,Air conditioning services,23,19,18,-,94.7
30,2018,和装技術,Kimono-making,30,24,21,-,87.5
30,2018,電気設備システム,Electrical facilities management,29,22,18,-,81.8
30,2018,Ｗｅｂ設計,Web design,28,12,11,-,91.7
30,2018,組込みシステム技術,Embedded systems technology,19,7,6,-,85.7
30,2018,若年者就業支援科 (塗装コース),Employment support course for young people(painting course),16,10,8,-,80
30,2018,若年者就業支援科 (建築塗装),Employment support course for young people(Construction painting),2,1,1,-,100
30,2018,若年者就業支援科 (溶接コース),Employment support course for young people(welding course),12,9,9,-,100
30,2018,エンジニア基礎養成,Basic engineer training,14,10,5,-,50
30,2018,電気制御基礎養成,Basic electric control training,7,6,4,-,66.7
30,2018,ネットワーク施工,Network technology,45,40,33,1,85
30,2018,プラスチック加工,Plastics processing,10,9,6,-,66.7
30,2018,アパレルパタンナー,Fashion pattern making,29,17,15,-,88.2
30,2018,製くつ,Shoemaking,21,21,20,1,100
30,2018,財務管理,Financial accounting,113,93,57,-,61.3
30,2018,ＣＡＤ,CAD,74,64,45,-,70.3
30,2018,建築ＣＡＤ,Architecture CAD,56,49,35,1,73.5
30,2018,溶接,Welding,22,29,26,1,93.1
30,2018,住宅内外装仕上,Interior and exterior finishing,48,41,33,-,80.5
30,2018,建築設備施工,Equipment installation,23,21,18,1,90.5
30,2018,住宅リフォーム,Home renovation,56,42,33,5,90.5
