項番 Item number,出火原因,Causes of fire,出火件数 Number of fires,焼損面積 Area burned (m2),焼損棟数 Buildings burned,り災世帯数 Households affected
,総数,Total,4025,20297,3052,2225
1,たばこ,Cigarettes,654,2400,411,495
2,こんろ,Gas table,464,1042,477,387
3,かまど,Kitchen stove,2,-,2,-
4,風呂かまど,Bathtub water heater ,4,10,3,5
5,炉,Furnace,16,180,16,5
6,焼却炉,Incinerator,1,120,4,1
7,ストーブ,Space heater ,85,1323,104,113
8,こたつ,Kotatsu， a Japanese table with a heating device,1,-,1,2
9,ボイラー,Hot water boiler,17,2,12,6
10,煙突・煙道,Chimney and flue,5,-,5,1
11,排気管,Exhaust pipe,45,646,12,3
12,電気機器,Electric machinery and appliances,365,964,325,145
13,電気装置,Electric equipment,92,326,73,20
14,電灯電話配線,Lighting and telephone wiring,203,1090,117,79
15,内燃機関,Internal-combustion engine,4,-,1,-
16,配線器具,Wiring devices ,255,885,250,137
17,火遊び,Playing with matches/lighters,33,10,12,7
18,マッチ・ライター,Matches and lighters,33,6,24,16
19,たき火,Bonfire,40,375,23,11
20,切断機・溶接機,Welding and cutting machines,31,657,17,3
21,灯火,Lighting,41,911,46,51
22,衝突の火花,Sparks caused by collision,5,-,-,-
23,取灰,Ash,7,3,6,4
24,火入れ,Kindling,-,-,-,-
25,放火,Arson,643,1130,276,120
26,放火の疑い,Suspected arson,66,46,22,6
27,交通機関内配線,Wiring installed in transportation facilities ,26,-,4,1
28,その他,Others　,569,1407,468,261
29,不明・調査中,Unknown and currently under investigation,318,6764,341,346
,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,
20-18  出火原因別出火件数及び焼損面積 （平成30年） 20-18  NUMBER OF FIRES BY CAUSE AND AREA BURNED ( 2018 ),,,,,,
資料：都総務局総合防災部防災管理課 Source: Bureau of General Affairs， TMG,,,,,,
