年度（平成）,Fiscal year,区分,Classification,都電 Metropolitan trams／使用車両数 Vehicles used(両 Vehicles),都電 Metropolitan trams／走行キロ数 Running distance km(1000km),都電 Metropolitan trams／乗車人員 Passengers getting on trams／総数 Total(千人 a)),都電 Metropolitan trams／乗車人員 Passengers getting on trams／定期 Commuter Pass(千人 a)),都電 Metropolitan trams／乗車人員 Passengers getting on trams／普通 Tickets(千人 a)),都電 Metropolitan trams／乗車料収入 Passengers fares revenue／総数 Total(千円 1000yen),都電 Metropolitan trams／乗車料収入 Passengers fares revenue／定期 Commuter Pass(千円 1000yen),都電 Metropolitan trams／乗車料収入 Passengers fares revenue／普通 Tickets(千円 1000yen),都電 Metropolitan trams／使用電力量 Electric power used(1000kWh),都電 Metropolitan trams／1日1車平均 Per a day per a vehicle／走行キロ数 Running distance(km),都電 Metropolitan trams／1日1車平均 Per a day per a vehicle／乗車人員 Passengers(人 Persons),都電 Metropolitan trams／1日1車平均 Per a day per a vehicle／乗車料収入 Passenger fares revenue(円 yen)
26,2014,,,12183,1484,16608,7547,9061,2181619,815076,1366543,3930,122,1363,179071
26,2014,消費税差引後,Exclude consumption taxes,,,,,,2054590,789273,1265317,,,,170576
27,2015,,,11823,1491,16711,7693,9018,2187232,830375,1356857,3827,126,1413,184998
27,2015,消費税差引後,Exclude consumption taxes,,,,,,2058326,801977,1256349,,,,175745
28,2016,,,11710,1489,16672,7722,8950,2181382,834244,1347138,3416,127,1424,186284
28,2016,消費税差引後,Exclude consumption taxes,,,,,,2052909,805559,1247350,,,,175763
29,2017,,,11343,1491,17437,8405,9032,2269274,911891,1357383,3242,131,1537,193723
29,2017,消費税差引後,Exclude consumption taxes,,,,,,2139402,882566,1256836,,,,182636
30,2018,,,11128,1484,17339,8419,8920,2254283,914338,1339945,3198,133,1558,202578
30,2018,消費税差引後,Exclude consumption taxes,,,,,,2125522,884832,1240690,,,,194112
,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,
4-9  都営交通の営業設備及び運輸成績 (2)　都電の運輸成績 (平成26～30年度) 4-9  OPERATION FACILITIES AND OPERATING RESULTS OF METROPOLITAN TRANSPORTATION (2)  OPERATING RESULTS OF METROPOLITAN TRAMS ( Fiscal Years 2014-2018 ),,,,,,,,,,,,,,,
a) Thousand persons,,,,,,,,,,,,,,,
資料：都交通局総務部企画調整課 Source: Bureau of Transportation， TMG,,,,,,,,,,,,,,,
