年次（平成）及び種類,Year and kind,月末,End of month,製造工業 Manufacturing,製造工業 Manufacturing／鉄鋼業 Iron and steel,製造工業 Manufacturing／非鉄金属工業 Non-ferrous metals,製造工業 Manufacturing／金属製品工業 Fabricated metals,製造工業 Manufacturing／汎用・生産用・業務用機械工業 a),製造工業 Manufacturing／汎用・生産用・業務用機械工業 a)／汎用機械工業 General-purpose machinery,製造工業 Manufacturing／汎用・生産用・業務用機械工業 a)／生産用機械工業 Production machinery,製造工業 Manufacturing／汎用・生産用・業務用機械工業 a)／業務用機械工業 Business use machinery,製造工業 Manufacturing／電子部品・デバイス工業 Electronic parts and devices,製造工業 Manufacturing／電気機械工業 Electrical machinery,製造工業 Manufacturing／情報通信機械工業 b),製造工業 Manufacturing／輸送機械工業 Transport equipment,製造工業 Manufacturing／窯業・土石製品工業 Ceramics， stone and clay products,製造工業 Manufacturing／化学工業 Chemicals,製造工業 Manufacturing／プラスチック製品工業 Plastic products,製造工業 Manufacturing／紙・紙加工品工業 Paper and paper products,製造工業 Manufacturing／繊維工業 Textiles,製造工業 Manufacturing／食料品工業 Foods,製造工業 Manufacturing／その他工業 Other manufacturing,製造工業 Manufacturing／その他工業 Other manufacturing／ゴム製品工業 Rubber products,製造工業 Manufacturing／その他工業 Other manufacturing／皮革製品工業 Leather products,製造工業 Manufacturing／その他工業 Other manufacturing／家具工業 Furniture,製造工業 Manufacturing／その他工業 Other manufacturing／木材・木製品工業 Wood and wood products,製造工業 Manufacturing／その他工業 Other manufacturing／その他製品工業 Other products
品目数,Items,,,67,8,5,3,11,2,3,6,1,2,1,1,10,7,2,3,2,2,9,2,2,1,2,2
ウェイト,Weight,,,10000,410.1,290.3,370.6,2503.4,209.6,644.4,1649.4,203.6,855.6,895,1074.1,706.8,845.5,241.2,66.9,173.9,175.7,1187.3,137.2,389.5,130.3,42.2,488.1
26,2014,,,98.2,98.3,99.5,113.4,77.5,72.8,97.9,70.2,98.5,107.1,111.4,111.8,95.4,106.5,120.9,102.3,70.7,68.7,107.4,100,110.3,123.3,87,104.6
27,2015,,,99.7,112.5,101.3,81.1,111.2,74.4,139.8,104.7,100.1,94.3,99.2,92,106.5,79,107.4,102.1,102,66.4,101.3,100,101.3,113,111.5,97.7
28,2016,,,97.2,112.4,105,102,91.7,81.6,151.7,69.6,55.6,105,101.5,88.7,111.6,76.4,115.2,90.8,89.2,69.3,114,100,108.4,115.6,99.7,123.3
29,2017,,,96.9,100.4,103.4,90.4,106.8,150.1,170.9,76.3,56.1,73.7,94.1,84.2,116.7,80,118.4,100.5,105.5,62.3,112.4,100,118.8,129.1,63.2,110.5
30,2018,,,108.3,100.8,123,102,107.3,166,171.8,74.7,29.3,84.5,115.4,114.2,120.8,90.1,116.8,113.8,111.3,59,141.2,12.5,144.8,113.7,70.4,187.9
30,2018,1,Jan.,93.7,100.5,102.2,93.7,97,165.4,138.6,69.8,16.2,80.3,92.1,79.9,119.5,80.6,115.8,105.3,100.1,88.9,102,13.7,120.9,108.4,57.6,112.8
30,2018,2,Feb.,94.1,101.9,103.5,92.3,97.3,151,137.3,73.1,17.1,83.1,89.2,88.3,121.3,84.9,115,105.6,86.4,87,100.5,14.6,121.7,111.7,58.3,104.1
30,2018,3,Mar.,95.7,101.6,104,91.6,100.9,178.2,139.2,74.2,12.6,86.1,90.2,90.8,120.2,83.5,119.9,102.7,93.8,91,100,16.2,130.6,104.3,56.8,101.3
